StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation
MA,Boston,2507000,25025091600,2507000-25025091600,3138,18.2,16,"(42.30603639680, -71.0611893994)"
MA,Boston,2507000,25025090100,2507000-25025090100,4571,18.8,17.4,"(42.30237583110, -71.0820198138)"
MA,Boston,2507000,25025120700,2507000-25025120700,2014,10.3,7.5,"(42.32425573940, -71.1112109874)"
MA,Boston,2507000,25025060301,2507000-25025060301,3076,11.1,7.8,"(42.33346695110, -71.0369483424)"
MA,Boston,2507000,25025120105,2507000-25025120105,2444,9.2,9.3,"(42.30935134990, -71.1286068744)"
MA,Boston,2507000,25025091700,2507000-25025091700,3069,19.2,16,"(42.30361111090, -71.0659136377)"
MA,Boston,2507000,25025081100,2507000-25025081100,4091,13.6,10.8,"(42.32839057710, -71.1074807597)"
MA,Boston,2507000,25025080300,2507000-25025080300,1769,16.3,14.5,"(42.32745195090, -71.0790503634)"
MA,Boston,2507000,25025100500,2507000-25025100500,5989,16.3,14.5,"(42.28823441880, -71.0707473000)"
MA,Boston,2507000,25025110301,2507000-25025110301,2405,12.2,10.5,"(42.28680520900, -71.1132774688)"
MA,Boston,2507000,25025040300,2507000-25025040300,3882,11.4,7.7,"(42.37873466290, -71.0633840838)"
MA,Boston,2507000,25025060800,2507000-25025060800,3964,11,6.6,"(42.33540340920, -71.0514926353)"
MA,Boston,2507000,25025020301,2507000-25025020301,2023,9.4,6.6,"(42.36342544340, -71.0681679411)"
MA,Boston,2507000,25025020302,2507000-25025020302,1181,9.9,5.3,"(42.35934420700, -71.0639956129)"
MA,Boston,2507000,25025020303,2507000-25025020303,3400,10.8,8,"(42.36598888990, -71.0634636132)"
MA,Boston,2507000,25025000202,2507000-25025000202,3885,13,9.1,"(42.35260513420, -71.1543441945)"
MA,Boston,2507000,25025000201,2507000-25025000201,3854,11.7,6.9,"(42.35406622320, -71.1611676235)"
MA,Boston,2507000,25025070300,2507000-25025070300,3909,10.1,7.9,"(42.34841055860, -71.0703570363)"
MA,Boston,2507000,25025010500,2507000-25025010500,3044,12.8,7.7,"(42.34469514660, -71.0841679792)"
MA,Boston,2507000,25025082000,2507000-25025082000,2815,15.7,15,"(42.31374792300, -71.0839483413)"
MA,Boston,2507000,25025120104,2507000-25025120104,2095,11.1,7.7,"(42.30568629680, -71.1173049372)"
MA,Boston,2507000,25025010600,2507000-25025010600,2858,8.9,6.6,"(42.34763844050, -71.0793850633)"
MA,Boston,2507000,25025061000,2507000-25025061000,3098,17.3,14,"(42.33162058620, -71.0499170921)"
MA,Boston,2507000,25025091100,2507000-25025091100,4861,12.9,9.7,"(42.31564104370, -71.0555949012)"
MA,Boston,2507000,25025050700,2507000-25025050700,4504,17,13.7,"(42.37535753140, -71.0332713325)"
MA,Boston,2507000,25025030400,2507000-25025030400,2451,11.2,6.2,"(42.36443667710, -71.0541677951)"
MA,Boston,2507000,25025100100,2507000-25025100100,5510,17.3,15.5,"(42.29018715200, -71.0874302771)"
MA,Boston,2507000,25025092101,2507000-25025092101,6451,15.8,14,"(42.29842959140, -71.0534815372)"
MA,Boston,2507000,25025081200,2507000-25025081200,3265,16.7,14.9,"(42.32443154160, -71.1038625357)"
MA,Boston,2507000,25025000502,2507000-25025000502,6303,14.1,6,"(42.33631848420, -71.1589684157)"
MA,Boston,2507000,25025080100,2507000-25025080100,3350,17.7,14.5,"(42.32933174200, -71.0705289602)"
MA,Boston,2507000,25025050300,2507000-25025050300,2251,19.5,19.4,"(42.37236282720, -71.0429794594)"
MA,Boston,2507000,25025090901,2507000-25025090901,3730,15.7,9.5,"(42.31648515740, -71.0411574614)"
MA,Boston,2507000,25025000602,2507000-25025000602,3974,14.9,10.9,"(42.34925137980, -71.1424568300)"
MA,Boston,2507000,25025000601,2507000-25025000601,3571,12,7.9,"(42.35174395710, -71.1474442870)"
MA,Boston,2507000,25025981300,2507000-25025981300,389,10.6,6.7,"(42.36345271230, -71.0122398933)"
MA,Boston,2507000,25025040600,2507000-25025040600,2444,9.7,6.3,"(42.38346860480, -71.0698578276)"
