Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
25025091600,25,025,091600,73.8,1.5879,2
25025090100,25,025,090100,80.1,2.338,1
25025120700,25,025,120700,84.4,2.1805,3
25025060301,25,025,060301,79.8,2.5953,3
25025091700,25,025,091700,77.2,1.5788,2
25025081100,25,025,081100,76,1.5892,3
25025080300,25,025,080300,76.9,1.9752,2
25025100500,25,025,100500,80.3,3.7315,3
25025110301,25,025,110301,80.1,2.207,3
25025040300,25,025,040300,78.2,1.413,3
25025060800,25,025,060800,77.4,2.4773,3
25025020301,25,025,020301,82.6,2.1676,3
25025020302,25,025,020302,81.5,3.1709,2
25025020303,25,025,020303,81.3,1.7894,2
25025000202,25,025,000202,82.4,1.4902,3
25025070300,25,025,070300,86.2,3.8418,3
25025010500,25,025,010500,80.1,2.4994,3
25025082000,25,025,082000,79,3.1887,3
25025010600,25,025,010600,87.7,2.5413,3
25025061000,25,025,061000,78,2.2869,2
25025091100,25,025,091100,82.7,2.727,3
25025050700,25,025,050700,82.2,2.1728,3
25025101101,25,025,101101,82,2.2191,3
25025100100,25,025,100100,83.8,3.8422,3
25025081200,25,025,081200,78,1.9395,2
25025000502,25,025,000502,88.1,3.4934,3
25025080100,25,025,080100,80.2,3.6713,3
25025050300,25,025,050300,76.3,1.5794,2
25025090901,25,025,090901,80,3.7851,3
25025000602,25,025,000602,79,1.4292,2
25025081800,25,025,081800,76.9,1.5814,2
25025040600,25,025,040600,75.8,1.4279,3
25025092000,25,025,092000,77.2,1.2629,2
25025060700,25,025,060700,75.6,3.2517,2
25025091500,25,025,091500,76.9,1.4617,2
25025110501,25,025,110501,84,3.025,3
25025010801,25,025,010801,81.5,1.3993,2
25025010802,25,025,010802,81.5,1.4441,2
25025050400,25,025,050400,77.9,1.6997,3
25025100200,25,025,100200,74.8,2.1754,3
25025000100,25,025,000100,79.1,1.5063,3
25025050901,25,025,050901,78.2,1.6336,3
25025092400,25,025,092400,75.6,1.6077,2
25025010203,25,025,010203,79.2,3.8792,3
25025101102,25,025,101102,77.4,1.8677,3
25025110201,25,025,110201,77.5,1.7199,3
25025070800,25,025,070800,81.3,2.66,2
25025000601,25,025,000601,79.4,2.2308,3
25025100800,25,025,100800,79.8,1.2723,2
25025040200,25,025,040200,76,2.0938,3
25025020200,25,025,020200,81.5,2.4105,2
25025080601,25,025,080601,75.1,1.6994,2
25025010701,25,025,010701,81.5,2.4025,2
25025081700,25,025,081700,73.2,1.6023,3
25025071201,25,025,071201,74,2.7448,3
25025010702,25,025,010702,81.5,3.0899,2
25025090600,25,025,090600,77.6,2.367,3
25025060501,25,025,060501,76.3,1.7,3
25025120301,25,025,120301,79.5,1.6751,3
25025091001,25,025,091001,76.6,1.5513,3
25025030500,25,025,030500,82.3,1.6333,2
25025120400,25,025,120400,85.4,2.8579,3
25025140107,25,025,140107,77.3,1.0858,3
25025120201,25,025,120201,80.9,1.691,2
25025140105,25,025,140105,78.2,1.4907,3
25025070402,25,025,070402,85,2.6878,3
25025060600,25,025,060600,79.9,3.4631,3
25025040100,25,025,040100,82.2,2.4059,3
25025081900,25,025,081900,79.5,2.8727,3
25025100601,25,025,100601,81.9,2.8936,3
25025100603,25,025,100603,76.5,2.0768,3
25025081300,25,025,081300,77.6,3.0355,3
25025051000,25,025,051000,80.2,1.8295,3
25025030200,25,025,030200,81.4,1.9021,2
25025100700,25,025,100700,77.1,1.1075,3
25025092101,25,025,092101,80.1,2.1636,3
25025000802,25,025,000802,80.2,1.8691,2
25025091400,25,025,091400,80.1,3.0825,3
25025110502,25,025,110502,78.2,1.1135,3
25025130402,25,025,130402,79.5,1.5169,3
25025090300,25,025,090300,75.6,1.6527,2
25025051200,25,025,051200,80.5,2.8375,3
25025070101,25,025,070101,83.1,2.1075,3
25025050500,25,025,050500,82.3,3.5966,3
25025110103,25,025,110103,82.8,3.2731,3
25025130200,25,025,130200,83.7,1.3624,3
25025101001,25,025,101001,78.2,1.5736,3
25025101002,25,025,101002,76.5,2.6231,3
25025060200,25,025,060200,79.1,2.1854,3
25025070900,25,025,070900,79.3,3.6483,3
25025100900,25,025,100900,77.9,1.4148,3
25025030100,25,025,030100,81.5,1.5052,2
25025100300,25,025,100300,79.9,2.666,3
25025081400,25,025,081400,78.4,2.8643,3
25025090700,25,025,090700,76.5,1.7876,3
25025092200,25,025,092200,79.8,2.1063,2
25025090200,25,025,090200,75.6,1.7027,2
25025091900,25,025,091900,76.7,2.3393,3
25025050101,25,025,050101,77.7,1.4451,2
25025140201,25,025,140201,78.5,1.8904,3
25025140202,25,025,140202,82.3,1.5605,3
25025000401,25,025,000401,85.1,1.757,3
25025000402,25,025,000402,87,3.515,3
25025040401,25,025,040401,81.5,1.6872,2
25025061101,25,025,061101,76.7,3.7992,3
25025120500,25,025,120500,83.2,3.149,3
25025020101,25,025,020101,82.3,2.3028,2
25025070500,25,025,070500,82.6,1.7296,2
25025070200,25,025,070200,87.9,3.1206,3
25025060400,25,025,060400,76.7,1.2852,3
25025040801,25,025,040801,79.9,3.1466,3
25025030300,25,025,030300,82.4,1.9241,3
25025100400,25,025,100400,79.7,2.4454,3
25025130100,25,025,130100,84.2,2.0341,3
25025130300,25,025,130300,81.9,1.3553,3
25025090400,25,025,090400,78.5,3.407,3
25025110403,25,025,110403,79.3,1.867,3
25025110401,25,025,110401,83.4,2.3912,3
25025051101,25,025,051101,81.1,1.5244,3
25025140106,25,025,140106,79.3,2.5433,2
25025080401,25,025,080401,78,3.5855,3
25025000302,25,025,000302,83.9,2.4654,3
25025071101,25,025,071101,77.4,3.1912,3
25025000301,25,025,000301,75.3,1.9619,3
25025082100,25,025,082100,76.9,1.6952,2
25025120105,25,025,120105,80.9,1.9099,3
25025060101,25,025,060101,76.7,1.631,3
25025091300,25,025,091300,76.9,2.3503,2
25025140102,25,025,140102,78.7,0.9896,2
25025091200,25,025,091200,78.4,2.0547,3
25025050600,25,025,050600,76.1,2.4985,3
25025070700,25,025,070700,81.3,2.8921,2
25025120103,25,025,120103,81.5,3.0092,3
25025081500,25,025,081500,76.1,2.3609,3
25025130404,25,025,130404,82.2,1.569,3
25025130406,25,025,130406,79.9,1.9925,3
25025092300,25,025,092300,81.6,3.9554,3
25025091800,25,025,091800,75.6,1.534,2
25025050200,25,025,050200,80.2,2.0054,3
25025140300,25,025,140300,81.1,3.201,3
25025110607,25,025,110607,78.8,1.0444,3
25025110601,25,025,110601,87.3,1.888,3
25025061200,25,025,061200,80.1,3.5572,3
25025140400,25,025,140400,80.4,1.4931,1
25025120600,25,025,120600,81.7,2.9715,2
