StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
MA,Boston,2507000,25025080801,2507000-25025080801,"3,885",15,"(12.2, 19.1)",13.6,"(13.0, 14.2)",22.2,"(20.6, 23.7)",20.6,"(19.8, 21.4)",64.8,"(63.0, 66.4)",2.5,"( 2.4,  2.5)",12.9,"(11.8, 14.5)",3.6,"( 3.4,  3.9)",70.7,"(68.8, 72.4)",54.3,"(50.4, 57.8)",52.9,"(49.6, 56.0)",5.4,"( 4.6,  6.3)",17.5,"(14.7, 20.7)",19.1,"(16.4, 21.9)",20.1,"(16.1, 24.5)",53.7,"(47.0, 59.4)",8.4,"( 8.0,  8.8)",25.8,"(24.5, 27.4)",2.5,"( 2.3,  2.6)",25.3,"(22.2, 28.9)",84.8,"(82.9, 86.5)",19.1,"(16.5, 22.2)",24.3,"(22.9, 25.7)",82.8,"(80.9, 84.5)",12.1,"(10.8, 13.7)",37.9,"(35.7, 39.8)",2.3,"( 2.1,  2.5)",25.3,"(20.0, 31.3)","(42.33460573810, -71.0962094582)"
MA,Boston,2507000,25025081001,2507000-25025081001,"4,890",12.4,"(10.3, 15.1)",18.8,"(18.2, 19.4)",18.7,"(17.9, 19.6)",25.8,"(25.1, 26.5)",73.1,"(71.8, 74.2)",4.2,"( 4.1,  4.3)",12.3,"(11.5, 13.5)",5.8,"( 5.5,  6.1)",72.9,"(71.8, 73.9)",63.1,"(59.9, 65.7)",54.9,"(52.7, 57.0)",6.7,"( 6.0,  7.5)",22.2,"(18.9, 25.6)",21.2,"(18.7, 23.7)",19.1,"(15.9, 22.5)",55.4,"(50.4, 59.7)",10.5,"(10.1, 10.9)",31.2,"(30.0, 32.6)",3.1,"( 3.0,  3.3)",25.8,"(23.4, 28.6)",82.3,"(80.5, 83.9)",17.2,"(15.1, 19.6)",23.3,"(22.3, 24.3)",80.9,"(77.9, 83.2)",13,"(12.0, 14.3)",36.6,"(35.0, 38.1)",3.3,"( 3.1,  3.6)",23.6,"(18.7, 29.5)","(42.33456664610, -71.1068303460)"
MA,Boston,2507000,25025000803,2507000-25025000803,"6,584",8.6,"( 6.9, 10.6)",5.3,"( 4.9,  5.8)",26.9,"(25.7, 28.2)",9.2,"( 8.6,  9.8)",36.3,"(34.6, 37.9)",1.2,"( 1.1,  1.2)",11.7,"(10.8, 12.6)",1.1,"( 1.0,  1.2)",68.2,"(66.6, 69.7)",49.9,"(46.1, 53.4)",61.2,"(59.2, 63.2)",2.6,"( 2.1,  3.1)",25.8,"(22.1, 30.1)",25.6,"(22.9, 28.5)",14.8,"(11.2, 18.3)",66.3,"(61.1, 71.3)",2.1,"( 2.0,  2.2)",12.8,"(12.1, 13.5)",1,"( 0.9,  1.1)",15,"(12.5, 17.8)",82.5,"(80.8, 84.1)",16.2,"(13.6, 18.4)",14.8,"(13.3, 16.1)",78.7,"(74.9, 82.1)",6,"( 5.1,  6.9)",33.6,"(31.1, 35.9)",0.6,"( 0.6,  0.7)",15.6,"(12.1, 19.5)","(42.35947776880, -71.1212627964)"
MA,Boston,2507000,25025981100,2507000-25025981100,418,14.5,"(12.3, 16.7)",16.8,"(16.0, 17.6)",24.3,"(23.6, 25.0)",32.4,"(31.2, 33.5)",67.8,"(66.6, 69.1)",3.1,"( 3.0,  3.2)",11.5,"(10.9, 12.2)",4.3,"( 3.9,  4.6)",73.8,"(72.9, 74.6)",67.6,"(65.3, 69.9)",54.8,"(51.3, 58.2)",5.6,"( 5.0,  6.2)",16.1,"(10.8, 22.3)",22.4,"(18.3, 26.7)",24.2,"(21.4, 26.7)",54.8,"(51.5, 58.5)",10,"( 9.3, 10.6)",30.3,"(29.3, 31.4)",2.5,"( 2.4,  2.7)",24.5,"(22.3, 26.7)",85.3,"(83.2, 87.3)",15.7,"(14.5, 17.0)",32.9,"(31.7, 34.0)",86.8,"(85.3, 88.1)",13,"(11.8, 14.1)",43.5,"(42.2, 44.7)",2.8,"( 2.5,  3.1)",20.8,"(13.2, 29.2)","(42.28792984670, -71.1047138930)"
MA,Boston,2507000,25025080500,2507000-25025080500,"3,096",18.4,"(16.5, 20.4)",23.3,"(22.6, 23.9)",16.2,"(15.8, 16.6)",36.1,"(35.3, 36.8)",76.4,"(75.7, 77.0)",4.2,"( 4.1,  4.3)",13.8,"(13.2, 14.5)",6.6,"( 6.2,  6.9)",76.5,"(75.9, 77.0)",66.1,"(64.6, 67.7)",52.4,"(49.9, 55.0)",7.9,"( 7.3,  8.6)",17.1,"(14.6, 19.7)",18.5,"(16.2, 21.0)",22.5,"(20.7, 24.3)",48.2,"(45.5, 50.9)",15.4,"(14.8, 16.0)",35.4,"(34.6, 36.3)",4,"( 3.9,  4.2)",32.9,"(31.0, 34.9)",84.9,"(83.4, 86.4)",18.6,"(17.5, 19.8)",34.2,"(33.4, 35.1)",85.4,"(84.2, 86.5)",17.2,"(16.3, 18.3)",42.1,"(41.2, 43.0)",4.6,"( 4.3,  5.0)",29.7,"(24.3, 35.0)","(42.33568235950, -71.0825418095)"
MA,Boston,2507000,25025010204,2507000-25025010204,"3,173",7.5,"( 5.7,  9.6)",6.1,"( 5.5,  6.6)",27.1,"(25.6, 28.8)",10,"( 9.2, 10.8)",41.1,"(38.9, 43.4)",1.4,"( 1.3,  1.4)",11.4,"(10.4, 12.4)",1.4,"( 1.2,  1.5)",68.5,"(66.6, 70.4)",51.4,"(46.7, 55.8)",62.1,"(58.9, 65.1)",2.7,"( 2.1,  3.2)",27.2,"(22.8, 31.4)",27.7,"(23.6, 32.1)",14.4,"(10.2, 18.5)",68.5,"(62.6, 74.1)",2.3,"( 2.1,  2.4)",14.5,"(13.5, 15.5)",1.1,"( 1.0,  1.1)",14.2,"(11.3, 17.4)",83.7,"(81.3, 86.0)",15.6,"(12.5, 18.2)",14.8,"(13.2, 16.4)",77.8,"(72.5, 82.4)",6.1,"( 4.9,  7.1)",33,"(29.9, 35.9)",0.7,"( 0.6,  0.8)",15.5,"(10.9, 20.4)","(42.34628872430, -71.1033879487)"
MA,Boston,2507000,25025010300,2507000-25025010300,"4,861",8.4,"( 6.7, 10.3)",5.3,"( 4.8,  5.6)",27.8,"(26.0, 29.4)",8.6,"( 8.0,  9.3)",35.1,"(33.3, 36.9)",1.1,"( 1.0,  1.1)",13.2,"(12.2, 14.3)",1,"( 1.0,  1.1)",69.2,"(67.3, 71.0)",47.9,"(43.4, 52.1)",62.3,"(60.5, 64.3)",2.8,"( 2.2,  3.1)",23,"(19.7, 26.6)",23.8,"(20.5, 27.1)",15.5,"(11.9, 18.4)",68.2,"(63.9, 72.8)",2,"( 1.8,  2.1)",12,"(11.3, 12.7)",1,"( 0.9,  1.0)",15,"(12.5, 17.5)",84.6,"(83.2, 85.9)",18.3,"(15.3, 20.0)",15.2,"(13.5, 16.6)",75.9,"(72.1, 79.5)",6.3,"( 5.3,  7.0)",33.2,"(30.3, 35.2)",0.6,"( 0.5,  0.6)",15,"(12.1, 18.3)","(42.33942512300, -71.1017927876)"
MA,Boston,2507000,25025010403,2507000-25025010403,"3,003",7.7,"( 6.2,  9.7)",14.2,"(13.6, 14.8)",23.1,"(22.3, 23.9)",20.8,"(20.1, 21.6)",69.8,"(68.2, 71.1)",3.8,"( 3.7,  3.9)",10.2,"( 9.6, 11.0)",4.1,"( 3.8,  4.4)",72.1,"(71.1, 73.0)",64.9,"(61.7, 67.2)",66.2,"(64.0, 68.2)",4,"( 3.5,  4.7)",26.6,"(22.8, 30.2)",26.2,"(23.5, 29.2)",13.5,"(10.8, 16.9)",67.5,"(63.4, 71.1)",6.7,"( 6.4,  7.1)",26.1,"(25.3, 27.2)",2.2,"( 2.1,  2.3)",16.9,"(15.0, 19.1)",83.7,"(81.7, 85.4)",12.8,"(11.3, 14.7)",18.5,"(17.5, 19.6)",82.7,"(79.4, 85.1)",8.3,"( 7.4,  9.3)",33.4,"(31.7, 35.3)",2.1,"( 1.9,  2.3)",14,"(10.3, 18.5)","(42.34507499310, -71.0880610223)"
MA,Boston,2507000,25025010404,2507000-25025010404,"5,817",10.1,"( 7.2, 13.3)",6.7,"( 6.0,  7.3)",24.7,"(22.6, 26.7)",10.7,"( 9.6, 11.7)",39.7,"(37.2, 42.5)",1.2,"( 1.2,  1.3)",12.6,"(11.2, 14.2)",1.6,"( 1.5,  1.8)",67.7,"(65.0, 70.0)",45.7,"(40.6, 50.5)",55.3,"(52.8, 57.8)",3.7,"( 2.7,  4.6)",22.8,"(19.3, 27.0)",22,"(18.9, 25.4)",17.8,"(11.7, 23.2)",58.7,"(50.9, 67.1)",2.8,"( 2.6,  3.0)",14.7,"(13.5, 15.9)",1.3,"( 1.2,  1.4)",18.4,"(14.2, 23.0)",82.5,"(80.4, 84.5)",19.4,"(15.0, 22.6)",17.4,"(15.1, 19.5)",76.2,"(70.8, 81.1)",7.9,"( 6.2,  9.4)",34.5,"(30.7, 37.6)",0.9,"( 0.8,  1.0)",22.8,"(17.8, 28.1)","(42.34196670870, -71.0886374471)"
MA,Boston,2507000,25025120104,2507000-25025120104,"2,095",5.5,"( 4.5,  7.2)",15.2,"(14.4, 16.1)",25,"(24.2, 25.7)",19.5,"(18.6, 20.5)",68.4,"(67.0, 69.8)",4.4,"( 4.3,  4.6)",10.2,"( 9.7, 11.0)",3.1,"( 2.8,  3.4)",73.5,"(72.5, 74.4)",78.8,"(76.2, 80.4)",68.3,"(64.6, 70.9)",3.5,"( 2.9,  4.3)",32,"(26.4, 37.2)",31.9,"(27.3, 36.0)",12.1,"( 9.5, 15.6)",76.8,"(72.8, 79.7)",5.5,"( 5.2,  6.0)",25.5,"(24.7, 26.5)",1.9,"( 1.8,  2.0)",13.3,"(11.5, 15.4)",85.7,"(83.2, 87.5)",11.1,"( 9.8, 12.9)",20.4,"(19.3, 21.6)",88.7,"(86.6, 90.1)",7.7,"( 6.8,  8.9)",32,"(30.6, 33.7)",1.6,"( 1.4,  1.8)",8.2,"( 5.1, 13.7)","(42.30568629680, -71.1173049372)"
MA,Boston,2507000,25025000201,2507000-25025000201,"3,854",6.2,"( 4.6,  8.7)",12.3,"(11.5, 13.1)",29.2,"(28.1, 30.4)",17,"(16.1, 17.9)",64.2,"(62.1, 66.1)",3.7,"( 3.6,  3.9)",10.2,"( 9.4, 11.4)",2.8,"( 2.5,  3.1)",71.2,"(69.8, 72.4)",71,"(67.0, 74.1)",68.5,"(65.0, 71.3)",3.2,"( 2.6,  4.0)",31.7,"(26.6, 36.7)",31.8,"(27.1, 36.2)",13.3,"( 9.7, 18.4)",75.6,"(69.8, 79.7)",4.4,"( 4.1,  4.8)",22.9,"(21.9, 24.1)",1.6,"( 1.5,  1.7)",12.8,"(10.6, 15.7)",84.4,"(81.6, 86.4)",11.7,"( 9.8, 14.4)",17.6,"(16.1, 19.1)",85.7,"(82.0, 88.0)",6.9,"( 5.9,  8.2)",31.8,"(29.6, 34.2)",1.3,"( 1.2,  1.5)",9.3,"( 5.5, 15.5)","(42.35406622320, -71.1611676235)"
MA,Boston,2507000,25025010408,2507000-25025010408,"1,426",5.2,"( 4.2,  7.0)",7.1,"( 6.7,  7.7)",30.4,"(29.2, 31.5)",10.7,"(10.0, 11.5)",49.3,"(47.0, 51.4)",2.1,"( 2.0,  2.2)",9.5,"( 9.0, 10.3)",1.5,"( 1.4,  1.6)",68.9,"(67.6, 70.1)",66.9,"(62.1, 69.7)",68.4,"(64.6, 71.1)",2,"( 1.7,  2.5)",31.9,"(27.6, 36.1)",33.1,"(28.1, 37.7)",10.7,"( 8.4, 14.4)",77.2,"(72.6, 80.1)",2.5,"( 2.3,  2.7)",16.1,"(15.4, 17.2)",1.1,"( 1.0,  1.2)",10.2,"( 8.8, 12.3)",86.1,"(83.9, 87.9)",10.9,"( 9.6, 13.0)",15.1,"(14.0, 16.5)",85.5,"(82.1, 87.6)",4.9,"( 4.3,  5.8)",30.5,"(28.8, 32.7)",0.7,"( 0.7,  0.8)",7,"( 4.7, 11.0)","(42.34316822750, -71.0958460853)"
MA,Boston,2507000,25025000503,2507000-25025000503,"2,211",5.4,"( 4.2,  7.4)",10.5,"( 9.9, 11.1)",29.3,"(28.1, 30.5)",14.4,"(13.7, 15.3)",59.5,"(57.3, 61.6)",3.2,"( 3.1,  3.4)",10,"( 9.4, 10.7)",2.3,"( 2.1,  2.5)",70,"(68.7, 71.3)",68.6,"(65.5, 71.1)",69.8,"(67.0, 72.0)",2.8,"( 2.3,  3.3)",31.7,"(26.4, 36.9)",30.2,"(25.2, 35.0)",12.4,"( 9.3, 16.4)",75.8,"(71.3, 79.2)",3.4,"( 3.2,  3.7)",20,"(19.3, 20.9)",1.4,"( 1.3,  1.5)",11.8,"(10.1, 14.0)",84.3,"(81.7, 86.3)",11.7,"(10.1, 13.7)",16.4,"(15.1, 17.9)",85.7,"(82.6, 87.7)",6.1,"( 5.3,  7.0)",31.4,"(29.5, 33.7)",1.1,"( 1.0,  1.3)",9.4,"( 5.9, 15.9)","(42.33963598400, -71.1500991889)"
MA,Boston,2507000,25025000504,2507000-25025000504,"4,985",6.7,"( 4.9,  9.6)",15.3,"(14.5, 16.3)",24.5,"(23.3, 25.7)",20.1,"(19.1, 21.2)",71.2,"(69.2, 73.1)",4.8,"( 4.6,  5.1)",10.7,"( 9.9, 12.0)",4.3,"( 3.8,  5.0)",72.5,"(71.1, 73.8)",67.7,"(63.5, 70.5)",68.2,"(65.3, 70.8)",4.1,"( 3.4,  5.1)",29.8,"(23.6, 35.6)",27.8,"(22.8, 32.7)",12.7,"( 9.4, 17.2)",72,"(66.1, 76.3)",5.7,"( 5.2,  6.2)",25.5,"(24.3, 27.0)",2.2,"( 2.0,  2.4)",15.3,"(13.0, 18.6)",82.9,"(80.2, 85.1)",12.6,"(10.6, 15.5)",17.1,"(15.7, 18.6)",83.8,"(78.5, 87.0)",7.9,"( 6.8,  9.4)",30.7,"(28.7, 33.1)",2.1,"( 1.8,  2.6)",13,"( 7.7, 23.7)","(42.34147184890, -71.1438262063)"
MA,Boston,2507000,25025010405,2507000-25025010405,"5,522",10,"( 7.7, 14.4)",9.3,"( 8.6,  9.9)",25.3,"(23.2, 27.3)",13.9,"(13.0, 14.9)",54.6,"(52.0, 57.4)",2,"( 1.9,  2.1)",12.8,"(11.5, 14.9)",2.7,"( 2.6,  3.0)",69.3,"(66.8, 71.3)",48.2,"(42.5, 52.8)",58.2,"(56.0, 60.3)",4.4,"( 3.6,  5.5)",21.9,"(19.3, 24.8)",22.1,"(19.4, 24.8)",17.8,"(13.3, 23.1)",60.2,"(52.0, 66.8)",4.4,"( 4.2,  4.6)",19.1,"(17.9, 20.9)",1.7,"( 1.5,  1.8)",19,"(15.7, 23.3)",80.1,"(78.2, 82.1)",19.1,"(15.8, 23.0)",18,"(16.3, 19.8)",75.1,"(69.1, 80.1)",8.7,"( 7.4, 10.6)",34.7,"(31.5, 37.3)",1.5,"( 1.4,  1.6)",22.9,"(19.0, 27.4)","(42.33986547370, -71.0896051896)"
MA,Boston,2507000,25025070600,2507000-25025070600,"2,240",3.5,"( 3.0,  4.3)",14.4,"(13.9, 15.1)",28.9,"(28.3, 29.6)",19.4,"(18.8, 20.0)",70.6,"(69.5, 71.6)",5.1,"( 4.9,  5.3)",8.7,"( 8.5,  9.1)",3.2,"( 3.0,  3.5)",74.4,"(73.7, 75.0)",83.8,"(82.5, 84.7)",75.7,"(73.8, 77.3)",2.7,"( 2.4,  3.1)",38,"(32.6, 42.4)",39.9,"(36.1, 42.9)",9.2,"( 7.7, 11.1)",84.1,"(82.0, 85.6)",4.9,"( 4.6,  5.2)",26.1,"(25.5, 26.7)",1.6,"( 1.5,  1.7)",9.4,"( 8.5, 10.5)",85.7,"(84.0, 87.0)",8.3,"( 7.7,  9.2)",17.3,"(16.6, 18.1)",89.2,"(87.9, 90.1)",5.8,"( 5.3,  6.4)",29.3,"(28.4, 30.4)",1.3,"( 1.2,  1.4)",4.7,"( 3.4,  7.6)","(42.34325843550, -71.0753770418)"
MA,Boston,2507000,25025030400,2507000-25025030400,"2,451",4.9,"( 3.5,  7.5)",12.2,"(11.4, 13.1)",30.4,"(29.1, 31.6)",15.6,"(14.7, 16.6)",64.3,"(61.8, 66.3)",4.1,"( 3.9,  4.2)",10.2,"( 9.4, 11.6)",2.8,"( 2.5,  3.1)",71,"(69.4, 72.2)",72.6,"(67.6, 75.5)",72.7,"(68.4, 75.7)",3,"( 2.4,  3.9)",34.5,"(28.3, 39.6)",34.3,"(28.7, 39.3)",11.8,"( 8.5, 17.6)",78.9,"(72.8, 82.6)",3.6,"( 3.3,  4.0)",21.7,"(20.8, 23.0)",1.5,"( 1.4,  1.6)",10.9,"( 8.9, 14.0)",84.6,"(81.3, 86.9)",11.2,"( 9.4, 14.1)",16.4,"(15.0, 18.2)",86.7,"(82.5, 89.1)",6.2,"( 5.2,  7.7)",29.5,"(27.4, 32.2)",1.3,"( 1.1,  1.5)",8.3,"( 4.6, 15.6)","(42.36443667710, -71.0541677951)"
MA,Boston,2507000,25025980300,2507000-25025980300,338,23.4,"(20.6, 26.3)",32,"(30.6, 33.4)",15.8,"(15.1, 16.5)",46.8,"(45.5, 48.0)",77.4,"(76.4, 78.4)",4.6,"( 4.4,  4.8)",14.1,"(13.1, 15.0)",13,"(11.8, 14.1)",72.7,"(71.7, 73.6)",65,"(62.8, 67.2)",38,"(34.1, 42.1)",15.9,"(14.0, 17.6)",13.9,"(10.3, 18.1)",14.4,"(10.5, 18.9)",39,"(35.5, 41.9)",30.1,"(27.0, 33.5)",22.7,"(21.4, 23.9)",43.8,"(42.4, 45.2)",5.7,"( 5.3,  6.1)",44.2,"(41.0, 46.9)",81.4,"(77.6, 84.9)",24.5,"(22.7, 26.2)",43.1,"(41.8, 44.3)",83.4,"(81.4, 85.4)",27.9,"(25.7, 30.1)",46.6,"(45.3, 47.8)",8.4,"( 7.5,  9.3)",47.7,"(35.4, 58.9)","(42.30267657910, -71.0949337268)"
MA,Boston,2507000,25025981800,2507000-25025981800,82,3.3,"( 2.5,  4.2)",31.8,"(29.5, 34.0)",14.2,"(13.7, 14.8)",39.2,"(37.0, 41.3)",86.8,"(85.9, 87.5)",12.2,"(11.4, 12.9)",9.4,"( 8.9,  9.9)",8.2,"( 7.2,  9.3)",85.8,"(85.2, 86.3)",91.4,"(90.5, 92.2)",80.5,"(77.8, 82.8)",5.6,"( 4.4,  6.9)",38.5,"(32.1, 44.4)",38.5,"(32.9, 44.0)",7.4,"( 5.4,  9.6)",84.7,"(81.6, 87.6)",10.3,"( 9.1, 11.5)",41.7,"(40.2, 43.2)",3.1,"( 2.9,  3.5)",14.7,"(11.8, 17.7)",85,"(82.3, 87.3)",7.3,"( 6.3,  8.4)",17.4,"(15.8, 19.0)",86.8,"(83.9, 89.2)",9,"( 7.5, 10.6)",25.5,"(23.7, 27.4)",3.1,"( 2.6,  3.7)",6.3,"( 3.6,  9.8)","(42.32857493380, -71.1110740086)"
MA,Boston,2507000,25025000703,2507000-25025000703,"2,791",7.5,"( 6.1,  9.2)",6.5,"( 6.1,  7.0)",26,"(24.8, 27.2)",11.3,"(10.6, 12.0)",44.8,"(43.1, 46.7)",1.5,"( 1.4,  1.5)",10.8,"(10.0, 11.7)",1.5,"( 1.4,  1.6)",68.2,"(66.8, 69.5)",53.5,"(49.4, 56.7)",59,"(56.7, 61.2)",2.6,"( 2.2,  3.2)",24.4,"(20.2, 29.2)",26.5,"(23.5, 30.1)",13.8,"(10.7, 17.5)",67.2,"(62.1, 71.5)",2.8,"( 2.7,  3.0)",16.1,"(15.4, 17.0)",1.2,"( 1.1,  1.3)",14.4,"(12.3, 17.0)",83.9,"(82.3, 85.4)",14.6,"(12.5, 17.0)",15.4,"(14.1, 16.9)",79.1,"(75.0, 82.5)",6.2,"( 5.3,  7.2)",33.3,"(30.9, 35.7)",0.8,"( 0.7,  0.9)",12,"( 8.7, 16.6)","(42.35132903280, -71.1282158470)"
