StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
MA,Boston,2507000,25025091600,2507000-25025091600,"3,138",15.7,"(13.8, 17.4)",21.9,"(21.2, 22.5)",15.8,"(15.3, 16.2)",31.9,"(31.2, 32.7)",74.2,"(73.4, 75.0)",4.2,"( 4.1,  4.3)",12.9,"(12.3, 13.6)",6.4,"( 6.0,  6.7)",75.1,"(74.4, 75.7)",67.6,"(65.9, 69.3)",49.3,"(46.6, 51.8)",7.8,"( 7.2,  8.5)",18.6,"(15.7, 21.8)",19.9,"(17.5, 22.5)",24.4,"(22.6, 26.4)",48.3,"(45.4, 51.0)",13.5,"(12.9, 14.1)",33.8,"(32.9, 34.6)",3.5,"( 3.3,  3.6)",32,"(30.1, 34.0)",81.4,"(79.4, 83.2)",18.2,"(17.1, 19.4)",28.2,"(27.4, 29.0)",80.8,"(79.3, 82.4)",16,"(15.0, 17.0)",43.6,"(42.6, 44.5)",4.1,"( 3.8,  4.4)",27.3,"(22.6, 32.5)","(42.30603639680, -71.0611893994)"
MA,Boston,2507000,25025090100,2507000-25025090100,"4,571",17.1,"(14.5, 19.9)",24.9,"(23.8, 26.0)",16,"(15.4, 16.7)",38,"(36.8, 39.3)",77.3,"(76.4, 78.4)",4.5,"( 4.3,  4.7)",15.2,"(14.2, 16.5)",6.8,"( 6.2,  7.4)",79.5,"(78.6, 80.3)",70.3,"(67.7, 72.9)",55.2,"(51.0, 59.4)",8.5,"( 7.4,  9.6)",16.6,"(13.1, 20.5)",18.5,"(14.7, 22.4)",24.4,"(21.3, 27.5)",48.2,"(43.5, 52.5)",16,"(15.0, 17.0)",33.2,"(32.0, 34.6)",4,"( 3.8,  4.3)",32.6,"(29.7, 35.6)",85.9,"(83.6, 87.8)",18.8,"(17.1, 20.6)",36.2,"(34.8, 37.4)",86,"(84.0, 87.9)",17.4,"(15.7, 19.1)",44.9,"(43.4, 46.2)",5.2,"( 4.7,  5.8)",32.1,"(22.5, 41.8)","(42.30237583110, -71.0820198138)"
MA,Boston,2507000,25025120700,2507000-25025120700,"2,014",6.1,"( 4.8,  7.7)",15.9,"(15.2, 16.8)",25.1,"(24.4, 25.8)",21.2,"(20.3, 22.0)",71.9,"(70.6, 73.1)",5.1,"( 4.9,  5.3)",9.6,"( 9.1, 10.2)",3.9,"( 3.5,  4.3)",74.3,"(73.4, 75.1)",78.1,"(75.8, 79.9)",71.2,"(68.3, 73.6)",3.6,"( 3.0,  4.3)",32.7,"(27.5, 37.2)",32.6,"(27.9, 37.2)",11.5,"( 9.1, 14.6)",77,"(73.6, 79.9)",6.2,"( 5.8,  6.6)",26.7,"(25.9, 27.6)",2,"( 1.9,  2.1)",13.7,"(12.0, 15.6)",84.8,"(82.4, 86.6)",10.3,"( 9.1, 11.8)",19,"(18.0, 20.1)",87,"(84.7, 88.8)",7.5,"( 6.7,  8.4)",31.3,"(29.9, 32.7)",1.8,"( 1.6,  2.0)",9,"( 5.3, 15.0)","(42.32425573940, -71.1112109874)"
MA,Boston,2507000,25025060301,2507000-25025060301,"3,076",5.2,"( 3.5,  7.6)",17.5,"(16.3, 18.8)",28,"(27.0, 29.1)",22.7,"(21.4, 24.1)",72.7,"(70.8, 74.6)",5.8,"( 5.5,  6.1)",10.2,"( 9.4, 11.4)",4.1,"( 3.6,  4.7)",73.5,"(72.0, 74.8)",76.1,"(71.9, 79.5)",72.4,"(67.4, 76.2)",4.2,"( 3.3,  5.3)",34.5,"(27.4, 40.9)",35.3,"(29.8, 41.0)",13.6,"( 9.6, 18.5)",78.1,"(72.2, 82.7)",5.4,"( 4.8,  6.0)",28.8,"(27.4, 30.4)",1.9,"( 1.7,  2.1)",13.1,"(10.6, 16.3)",82.7,"(79.1, 85.7)",11.1,"( 9.2, 13.6)",18.1,"(16.6, 19.5)",86.6,"(82.8, 89.3)",7.8,"( 6.5,  9.4)",30,"(28.0, 32.3)",1.8,"( 1.5,  2.2)",9.6,"( 4.4, 16.5)","(42.33346695110, -71.0369483424)"
MA,Boston,2507000,25025120105,2507000-25025120105,"2,444",4,"( 3.3,  5.0)",26.1,"(24.7, 27.8)",18.6,"(18.1, 19.1)",31,"(29.6, 32.6)",82,"(81.0, 82.9)",9,"( 8.5,  9.5)",9.7,"( 9.3, 10.4)",6.5,"( 5.8,  7.3)",80.9,"(80.2, 81.5)",87.2,"(85.8, 88.3)",74.6,"(71.7, 77.1)",5.2,"( 4.3,  6.4)",34.9,"(29.3, 40.5)",34.8,"(29.6, 39.5)",10,"( 7.9, 12.4)",81.4,"(78.4, 84.0)",8.7,"( 7.9,  9.6)",35.8,"(34.7, 37.0)",2.7,"( 2.5,  3.0)",14.9,"(12.8, 17.4)",84.4,"(81.8, 86.7)",9.2,"( 8.1, 10.4)",18.8,"(17.6, 20.1)",86.9,"(84.4, 88.9)",9.3,"( 8.1, 10.8)",29.2,"(27.7, 30.8)",2.7,"( 2.4,  3.2)",8.1,"( 4.7, 12.9)","(42.30935134990, -71.1286068744)"
MA,Boston,2507000,25025091700,2507000-25025091700,"3,069",16.4,"(14.3, 18.4)",21.5,"(20.7, 22.3)",18.6,"(18.1, 19.2)",31.5,"(30.6, 32.4)",72.5,"(71.5, 73.4)",4.1,"( 4.0,  4.2)",14.7,"(13.9, 15.6)",5.5,"( 5.2,  5.9)",75.7,"(75.0, 76.4)",67.5,"(65.5, 69.6)",54.2,"(51.2, 57.2)",7.7,"( 7.0,  8.3)",18.1,"(14.5, 21.9)",19.9,"(17.4, 22.9)",25.2,"(22.9, 27.5)",52,"(48.9, 55.3)",12.1,"(11.5, 12.6)",31.2,"(30.2, 32.2)",3.2,"( 3.0,  3.3)",28.9,"(26.9, 31.1)",82.6,"(80.7, 84.4)",19.2,"(17.9, 20.6)",31.2,"(30.2, 32.0)",83.2,"(81.6, 84.7)",16,"(14.9, 17.1)",43.7,"(42.6, 44.7)",3.8,"( 3.6,  4.1)",27.2,"(21.3, 33.1)","(42.30361111090, -71.0659136377)"
MA,Boston,2507000,25025081100,2507000-25025081100,"4,091",9.3,"( 7.9, 11.0)",19.5,"(19.0, 20.1)",20.6,"(20.0, 21.2)",26.9,"(26.4, 27.5)",77,"(76.1, 77.8)",5.1,"( 5.0,  5.3)",11,"(10.5, 11.6)",5.9,"( 5.5,  6.3)",74.8,"(74.1, 75.4)",69.3,"(67.1, 71.1)",61.9,"(60.1, 63.5)",5.4,"( 4.9,  6.0)",23.2,"(20.7, 25.4)",21.7,"(19.3, 24.1)",14.8,"(12.9, 17.1)",63.9,"(60.8, 66.7)",10.1,"( 9.7, 10.6)",29.7,"(29.0, 30.7)",3.1,"( 3.0,  3.3)",21.3,"(19.8, 23.1)",84.6,"(83.3, 85.7)",13.6,"(12.4, 15.0)",21.8,"(21.0, 22.6)",83.3,"(81.2, 85.0)",10.8,"(10.0, 11.7)",34.4,"(33.3, 35.6)",3.5,"( 3.2,  3.9)",19,"(14.2, 25.1)","(42.32839057710, -71.1074807597)"
MA,Boston,2507000,25025080300,2507000-25025080300,"1,769",13.7,"(11.3, 16.3)",22.5,"(21.4, 23.7)",17,"(16.4, 17.6)",36.3,"(35.0, 37.6)",77.2,"(76.1, 78.3)",4.5,"( 4.3,  4.6)",13.8,"(12.9, 14.9)",5.6,"( 5.1,  6.1)",79.3,"(78.5, 80.0)",70.9,"(68.4, 73.2)",58.4,"(54.2, 62.5)",6.7,"( 5.7,  7.6)",18.4,"(14.8, 22.4)",20.9,"(17.1, 24.8)",19.5,"(16.6, 22.4)",56.4,"(52.0, 60.5)",13.6,"(12.6, 14.6)",32.8,"(31.6, 34.0)",3.5,"( 3.3,  3.8)",27.2,"(24.3, 30.4)",86.7,"(84.2, 88.6)",16.3,"(14.6, 18.0)",32.9,"(31.4, 34.3)",87.4,"(85.7, 89.1)",14.5,"(12.9, 16.1)",41.9,"(40.2, 43.5)",4.1,"( 3.6,  4.7)",24,"(16.1, 32.9)","(42.32745195090, -71.0790503634)"
MA,Boston,2507000,25025100500,2507000-25025100500,"5,989",13.3,"(11.3, 15.4)",22.8,"(21.9, 23.8)",17.5,"(17.0, 18.1)",34.2,"(33.1, 35.2)",76.5,"(75.6, 77.3)",4.7,"( 4.5,  4.8)",13.5,"(12.7, 14.5)",6,"( 5.6,  6.4)",78.6,"(78.0, 79.3)",73.6,"(71.6, 75.6)",59.1,"(56.0, 62.1)",7.1,"( 6.4,  8.0)",20.7,"(17.6, 24.0)",23,"(19.9, 26.4)",21.7,"(19.2, 24.2)",56,"(52.5, 59.5)",13.2,"(12.4, 14.0)",32.5,"(31.5, 33.6)",3.3,"( 3.1,  3.5)",27.7,"(25.3, 30.0)",84.5,"(82.4, 86.3)",16.3,"(14.9, 17.8)",30.7,"(29.4, 31.7)",84.6,"(83.1, 86.2)",14.5,"(13.3, 15.9)",42.6,"(41.2, 43.8)",3.9,"( 3.6,  4.4)",23.5,"(18.3, 29.3)","(42.28823441880, -71.0707473000)"
MA,Boston,2507000,25025110301,2507000-25025110301,"2,405",8.5,"( 7.3,  9.9)",20.3,"(19.5, 21.2)",22,"(21.6, 22.5)",28,"(27.1, 28.9)",74.8,"(74.0, 75.5)",5.4,"( 5.3,  5.6)",11,"(10.5, 11.5)",4.7,"( 4.4,  5.1)",77.5,"(77.0, 78.1)",79.7,"(78.3, 81.1)",66.5,"(64.0, 68.9)",5,"( 4.5,  5.6)",29.7,"(25.4, 33.9)",29.9,"(26.8, 33.0)",14.9,"(13.1, 16.6)",72.2,"(69.7, 74.6)",8.9,"( 8.4,  9.5)",31.1,"(30.3, 31.9)",2.5,"( 2.4,  2.6)",18.7,"(17.0, 20.3)",84.7,"(83.1, 86.3)",12.2,"(11.2, 13.1)",24.8,"(23.9, 25.7)",87.1,"(85.7, 88.3)",10.5,"( 9.7, 11.5)",35.7,"(34.6, 36.7)",2.5,"( 2.2,  2.7)",12.3,"( 8.6, 16.7)","(42.28680520900, -71.1132774688)"
