FID,SOURCE_ID,Dist_HLTH,GiZScore,GiPValue,NNeighbors,Gi_Bin
0,0,5.5,3.913321463,9.10352E-05,98,3
1,1,5.5,4.243364194,2.20194E-05,100,3
2,2,5.5,-2.051976761,0.040171921,47,-2
3,3,5.5,2.130805532,0.033105166,107,2
4,4,5.5,2.089272703,0.036683182,112,2
5,5,5.5,4.780206298,1.75115E-06,70,3
6,6,5.5,-0.445615314,0.655875148,29,0
7,7,5.5,3.037064815,0.002388941,110,3
8,8,4.5,0.360170196,0.718719862,112,0
9,9,5.5,2.981161604,0.002871572,107,3
10,10,5.5,-2.392818343,0.016719517,52,-2
11,11,5.5,4.864451682,1.14775E-06,82,3
12,12,3.5,-1.873419998,0.061010411,67,-1
13,13,5.5,3.611153608,0.000304838,105,3
14,14,5.5,2.168575801,0.030114904,113,2
15,15,5.5,1.066326746,0.286275979,114,0
16,16,4.5,2.070065813,0.038446182,107,2
17,17,5.5,-2.336287347,0.019476271,61,-2
18,18,4.5,3.505397248,0.000455926,82,3
19,19,5.5,-1.501521412,0.133220753,48,0
20,20,5.5,2.441595649,0.014622514,111,2
21,21,4.5,1.644887777,0.099992956,107,1
22,22,5.5,0.977706806,0.328219367,112,0
23,23,5.5,4.424418163,9.67026E-06,92,3
24,24,5.5,2.600241137,0.009315827,106,3
25,25,5.5,3.231496486,0.001231438,104,3
26,26,5.5,3.46707936,0.000526147,107,3
27,27,5.5,-2.257008884,0.02400752,62,-2
28,28,4.5,3.823896164,0.000131359,74,3
29,29,3.5,-1.845594937,0.064951042,39,-1
30,30,5.5,2.920421885,0.003495578,107,3
31,31,4.5,-0.142801634,0.886446847,104,0
32,32,4.5,3.164566201,0.001553143,73,3
33,33,3.5,2.973213399,0.002946995,68,3
34,34,4.5,1.065552886,0.286625822,62,0
35,35,5.5,-2.117332851,0.034231609,63,-2
36,36,4.5,-2.037359738,0.041614005,35,-2
37,37,5.5,2.257008884,0.02400752,111,2
38,38,5.5,3.126251309,0.001770502,78,3
39,39,5.5,2.151026364,0.031474119,112,2
40,40,5.5,3.139084939,0.001694763,112,3
41,41,5.5,-1.7487187,0.080339656,40,-1
42,42,5.5,2.43450413,0.01491221,107,2
43,43,4.5,4.627368213,3.70342E-06,63,3
44,44,5.5,3.262592261,0.001103982,112,3
45,45,4.5,4.837324677,1.31598E-06,73,3
46,46,4.5,-2.205170342,0.027442144,58,-2
47,47,5.5,2.651172556,0.008021285,109,3
48,48,4.5,0.662051433,0.507938264,106,0
49,49,5.5,-2.412572901,0.015840369,57,-2
50,50,5.5,1.517680309,0.12909501,115,0
51,51,4.5,0.843257546,0.399084429,116,0
52,52,3.5,0.982283447,0.32596024,58,0
53,53,5.5,3.228120748,0.001246064,59,3
54,54,5.5,1.937663919,0.052664239,114,1
55,55,4.5,3.699005608,0.000216446,71,3
56,56,5.5,1.955173966,0.05056254,115,1
57,57,4.5,2.146326011,0.031846978,108,2
58,58,5.5,3.445641188,0.000569706,109,3
