FID,Join_Count,OID,Join_Count,TARGET_FID,Join_Cou_1,Target_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32,Field33,Field34,Field35,Field36,Field37,Field38,Field39,Field40,Field41,Field42,Field43,Field44,Field45,Field46,LPA_CrudeP,Field48,Field49,Field50,Field51,Field52,Field53,Field54,Field55,Field56,PHLTH_Cr_1,MHLTH,PHLTH,Health,Distance,Dist_HLTH
0,1,0,1,0,0,0,MA,Boston,2507000,25025091600,2507000-25025091600,3138,18.2,16,"(42.30603639680, -71.0611893994)",42.3060364,-71.0611894,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
1,1,1,1,1,0,0,MA,Boston,2507000,25025090100,2507000-25025090100,4571,18.8,17.4,"(42.30237583110, -71.0820198138)",42.30237583,-71.08201981,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
2,1,2,1,2,0,0,MA,Boston,2507000,25025050101,2507000-25025050101,5115,17,14.6,"(42.38145657320, -71.0396165196)",42.38145657,-71.03961652,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
3,1,3,1,3,0,0,MA,Boston,2507000,25025081100,2507000-25025081100,4091,13.6,10.8,"(42.32839057710, -71.1074807597)",42.32839058,-71.10748076,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
4,1,4,1,4,0,0,MA,Boston,2507000,25025080300,2507000-25025080300,1769,16.3,14.5,"(42.32745195090, -71.0790503634)",42.32745195,-71.07905036,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
5,1,5,1,5,0,0,MA,Boston,2507000,25025100500,2507000-25025100500,5989,16.3,14.5,"(42.28823441880, -71.0707473000)",42.28823442,-71.0707473,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
6,1,6,1,6,0,0,MA,Boston,2507000,25025051000,2507000-25025051000,4089,14.4,13.1,"(42.38725188170, -71.0157245895)",42.38725188,-71.01572459,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
7,1,7,1,7,0,0,MA,Boston,2507000,25025082000,2507000-25025082000,2815,15.7,15,"(42.31374792300, -71.0839483413)",42.31374792,-71.08394834,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
8,1,8,1,8,0,0,MA,Boston,2507000,25025010405,2507000-25025010405,5522,19.1,8.7,"(42.33986547370, -71.0896051896)",42.33986547,-71.08960519,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,3,4.5
9,1,9,1,9,0,0,MA,Boston,2507000,25025061000,2507000-25025061000,3098,17.3,14,"(42.33162058620, -71.0499170921)",42.33162059,-71.04991709,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
10,1,10,1,10,0,0,MA,Boston,2507000,25025050700,2507000-25025050700,4504,17,13.7,"(42.37535753140, -71.0332713325)",42.37535753,-71.03327133,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
11,1,11,1,11,0,0,MA,Boston,2507000,25025100100,2507000-25025100100,5510,17.3,15.5,"(42.29018715200, -71.0874302771)",42.29018715,-71.08743028,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
12,1,12,1,12,0,0,MA,Boston,2507000,25025000803,2507000-25025000803,6584,16.2,6,"(42.35947776880, -71.1212627964)",42.35947777,-71.1212628,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,2,3.5
13,1,13,1,13,0,0,MA,Boston,2507000,25025091800,2507000-25025091800,3452,17.7,15.3,"(42.30736638880, -71.0705166945)",42.30736639,-71.07051669,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
14,1,14,1,14,0,0,MA,Boston,2507000,25025081200,2507000-25025081200,3265,16.7,14.9,"(42.32443154160, -71.1038625357)",42.32443154,-71.10386254,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
15,1,15,1,15,0,0,MA,Boston,2507000,25025080601,2507000-25025080601,4271,22,11.6,"(42.33336675810, -71.0880448124)",42.33336676,-71.08804481,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
16,1,16,1,16,0,0,MA,Boston,2507000,25025080100,2507000-25025080100,3350,17.7,14.5,"(42.32933174200, -71.0705289602)",42.32933174,-71.07052896,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
17,1,17,1,17,0,0,MA,Boston,2507000,25025050300,2507000-25025050300,2251,19.5,19.4,"(42.37236282720, -71.0429794594)",42.37236283,-71.04297946,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
