Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
08001007801,08,001,007801,74.4,3.97,1
08001007802,08,001,007802,74.3,2.3108,3
08001007900,08,001,007900,69.8,1.6002,1
08001008000,08,001,008000,77.2,1.2953,3
08001008100,08,001,008100,80.9,1.9692,2
08001008200,08,001,008200,76.6,1.9883,3
08001008308,08,001,008308,72.3,1.4037,3
08001008309,08,001,008309,75,1.8138,3
08001008353,08,001,008353,79.4,2.8771,3
08001008401,08,001,008401,76.1,1.2401,3
08001008402,08,001,008402,77.3,1.7285,3
08001008505,08,001,008505,77.1,1.7483,3
08001008506,08,001,008506,72.7,1.4114,3
08001008507,08,001,008507,79.6,2.1426,1
08001008508,08,001,008508,76.4,2.0196,3
08001008523,08,001,008523,79.2,2.0632,3
08001008524,08,001,008524,78.6,1.7587,3
08001008529,08,001,008529,80,2.0129,3
08001008533,08,001,008533,76.4,1.1718,1
08001008534,08,001,008534,78.9,2.0182,3
08001008535,08,001,008535,78.4,2.8893,3
08001008537,08,001,008537,80.4,2.0788,2
08001008538,08,001,008538,81.3,2.1303,2
08001008539,08,001,008539,81,2.7481,2
08001008540,08,001,008540,82.4,3.1703,2
08001008541,08,001,008541,83.1,3.3451,3
08001008542,08,001,008542,76.8,2.2467,1
08001008543,08,001,008543,76.6,1.2678,3
08001008544,08,001,008544,81.3,1.9838,2
08001008545,08,001,008545,81.7,2.3146,3
08001008546,08,001,008546,81.3,3.0625,2
08001008547,08,001,008547,75,1.597,3
08001008550,08,001,008550,83.2,3.2379,3
08001008603,08,001,008603,74.8,1.5534,3
08001008604,08,001,008604,77.7,1.2864,2
08001008605,08,001,008605,77.1,1.1454,3
08001008606,08,001,008606,79,1.9341,3
08001008705,08,001,008705,74.9,1.4372,3
08001008706,08,001,008706,72.9,1.3796,3
08001008709,08,001,008709,76.8,1.8181,1
08001008801,08,001,008801,74.8,1.4562,3
08001008802,08,001,008802,74.7,1.9982,3
08001008901,08,001,008901,75.8,2.2178,3
08001009001,08,001,009001,76.8,1.7503,3
08001009002,08,001,009002,77.8,1.4321,3
08001009101,08,001,009101,75.5,1.4283,3
08001009103,08,001,009103,77.5,2.7109,1
08001009104,08,001,009104,77.3,2.6535,3
08001009202,08,001,009202,76.5,1.3665,3
08001009203,08,001,009203,77.1,2.1526,2
08001009204,08,001,009204,77.9,2.3559,1
08001009206,08,001,009206,79.3,3.122,3
08001009207,08,001,009207,79.4,2.1417,2
08001009304,08,001,009304,77.8,1.7281,3
08001009306,08,001,009306,81.3,3.828,3
08001009307,08,001,009307,79.6,3.4205,3
08001009308,08,001,009308,79.5,2.0626,3
08001009309,08,001,009309,78.7,1.239,2
08001009310,08,001,009310,79.5,1.7962,3
08001009316,08,001,009316,78.7,1.3895,2
08001009318,08,001,009318,77.1,2.5375,3
08001009319,08,001,009319,67.7,1.1628,3
08001009320,08,001,009320,72.4,2.0638,3
08001009321,08,001,009321,77.4,1.954,3
08001009322,08,001,009322,80.8,2.2976,3
08001009323,08,001,009323,78.8,2.4321,3
08001009325,08,001,009325,84.1,2.7486,3
08001009326,08,001,009326,82.3,1.7344,2
08001009327,08,001,009327,79.8,1.4748,3
08001009401,08,001,009401,79.7,1.4076,3
08001009406,08,001,009406,80.4,1.8318,3
08001009407,08,001,009407,78.5,1.9464,3
08001009408,08,001,009408,86.3,3.6573,3
08001009409,08,001,009409,82.2,2.3282,3
08001009410,08,001,009410,80,1.2841,3
08001009411,08,001,009411,79.2,1.4043,3
08001009501,08,001,009501,78.7,1.2681,2
08001009502,08,001,009502,79.3,2.1996,3
08001009553,08,001,009553,74.3,2.3586,3
08001009603,08,001,009603,76.1,1.4496,3
08001009604,08,001,009604,76,1.1697,3
08001009606,08,001,009606,77.8,2.6643,3
08001009607,08,001,009607,77.3,1.6181,1
08001009608,08,001,009608,82.3,3.5224,3
08001009751,08,001,009751,72.3,2.1048,3
08001009752,08,001,009752,79.4,2.966,3
08001015000,08,001,015000,74.2,1.5053,3
08001060100,08,001,060100,83.2,3.3076,1
08001060200,08,001,060200,79,3.1167,2
08003960000,08,003,960000,81,1.178,2
08003960100,08,003,960100,81,1.3011,2
08003960200,08,003,960200,75.5,0.9393,3
08003960300,08,003,960300,75.1,1.6303,3
08005004952,08,005,004952,79.7,3.318,2
08005005551,08,005,005551,71,1.9581,3
08005005552,08,005,005552,76.5,1.8017,3
08005005553,08,005,005553,79.3,2.1555,3
08005005611,08,005,005611,81.3,1.8598,3
08005005612,08,005,005612,80.8,1.9205,3
08005005614,08,005,005614,79.7,1.6195,3
08005005619,08,005,005619,81.1,1.1222,3
08005005620,08,005,005620,84.7,1.9845,3
08005005621,08,005,005621,82.2,1.2838,3
08005005622,08,005,005622,85,2.3083,3
08005005623,08,005,005623,80.9,1.2124,3
08005005624,08,005,005624,82.5,2.0131,3
08005005625,08,005,005625,79.7,2.4372,3
08005005626,08,005,005626,81.2,1.3942,3
08005005627,08,005,005627,82.2,1.4649,3
08005005628,08,005,005628,81.3,1.3079,3
08005005629,08,005,005629,84.6,2.7184,3
08005005630,08,005,005630,82.1,1.8724,3
08005005631,08,005,005631,80.6,1.6752,3
08005005632,08,005,005632,85.6,3.0027,3
08005005633,08,005,005633,87.8,3.6902,3
08005005634,08,005,005634,84.1,1.7488,3
08005005635,08,005,005635,83.3,1.2326,3
08005005636,08,005,005636,81.7,1.583,2
08005005700,08,005,005700,75.2,3.8054,3
08005005800,08,005,005800,78.3,1.6649,3
08005005951,08,005,005951,77,0.9755,2
08005005952,08,005,005952,83.9,2.1487,3
08005006000,08,005,006000,76.1,2.1632,3
08005006100,08,005,006100,73.2,1.4155,3
08005006200,08,005,006200,75.6,1.3518,3
08005006300,08,005,006300,76.6,1.6739,3
08005006400,08,005,006400,79.6,2.624,3
08005006501,08,005,006501,75.1,2.2478,3
08005006502,08,005,006502,77,1.8124,3
08005006601,08,005,006601,74.7,1.5059,3
08005006603,08,005,006603,80.8,1.4965,3
08005006604,08,005,006604,78.1,1.4835,3
