StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
CO,Denver,820000,8031012001,0820000-08031012001,"2,032",9.5,"( 7.9, 11.3)",27.6,"(26.0, 29.2)",19.5,"(19.0, 20.0)",31.7,"(30.1, 33.2)",76.3,"(75.3, 77.3)",9.1,"( 8.7,  9.5)",8.1,"( 7.6,  8.6)",6.7,"( 5.8,  7.6)",67.3,"(66.4, 68.0)",82.5,"(81.0, 83.7)",69.9,"(66.5, 73.0)",5.1,"( 4.2,  6.1)",43.6,"(36.6, 49.4)",37.1,"(31.8, 41.9)",13.2,"(10.9, 15.7)",74,"(70.4, 77.0)",7.4,"( 6.7,  8.1)",36.5,"(35.4, 37.7)",2.9,"( 2.7,  3.2)",14,"(12.0, 16.1)",73.7,"(70.2, 76.6)",8.8,"( 7.9,  9.9)",17.5,"(16.4, 18.5)",84.4,"(81.6, 86.6)",10.4,"( 9.1, 11.9)",24.9,"(23.6, 26.1)",3.1,"( 2.6,  3.6)",8.6,"( 5.0, 13.0)","(39.64396411450, -105.062607711)"
CO,Denver,820000,8031002403,0820000-08031002403,"3,338",13,"(10.8, 15.7)",17.4,"(16.6, 18.1)",24.7,"(24.0, 25.4)",22.8,"(22.0, 23.6)",64.5,"(63.2, 65.8)",4.2,"( 4.1,  4.3)",9.1,"( 8.6,  9.7)",3.8,"( 3.5,  4.1)",58.2,"(57.3, 59.1)",69.1,"(66.4, 71.3)",62.2,"(59.3, 64.6)",4,"( 3.5,  4.5)",33.2,"(29.4, 36.6)",27.4,"(24.5, 30.3)",18.7,"(15.3, 22.1)",62.3,"(58.2, 66.2)",6.3,"( 5.9,  6.7)",26.8,"(26.0, 27.7)",2.4,"( 2.3,  2.5)",14.6,"(13.1, 16.4)",78.7,"(76.4, 80.5)",11.9,"(10.7, 13.4)",21.6,"(20.6, 22.6)",86.3,"(84.3, 87.9)",10,"( 9.0, 11.0)",29.9,"(28.6, 31.3)",2.4,"( 2.2,  2.6)",11.6,"( 8.4, 15.6)","(39.75336940410, -104.980167430)"
CO,Denver,820000,8031002402,0820000-08031002402,"1,687",11.1,"( 9.1, 13.4)",17.6,"(16.9, 18.4)",26.1,"(25.4, 26.7)",24.2,"(23.5, 25.1)",67,"(65.8, 68.1)",4.7,"( 4.6,  4.9)",8.7,"( 8.3,  9.2)",3.8,"( 3.5,  4.1)",59.8,"(58.9, 60.6)",70.9,"(68.6, 72.9)",66,"(63.2, 68.3)",3.6,"( 3.2,  4.1)",34.8,"(31.5, 38.4)",30.9,"(27.3, 34.0)",16.9,"(14.0, 20.0)",67.7,"(64.0, 71.1)",5.9,"( 5.6,  6.3)",27.6,"(26.8, 28.5)",2.3,"( 2.1,  2.4)",12.9,"(11.6, 14.4)",76.6,"(73.9, 78.7)",10.7,"( 9.6, 12.0)",20.1,"(19.2, 21.0)",86.6,"(84.8, 88.1)",8.9,"( 8.1,  9.9)",28.9,"(27.7, 30.1)",2.3,"( 2.1,  2.6)",10.7,"( 7.4, 15.2)","(39.74989624570, -104.975458867)"
CO,Denver,820000,8031000102,0820000-08031000102,"3,109",9.3,"( 8.1, 10.7)",17.8,"(17.1, 18.5)",26.2,"(25.8, 26.7)",21.1,"(20.4, 21.8)",65.3,"(64.3, 66.2)",5.6,"( 5.5,  5.8)",7.8,"( 7.5,  8.2)",3.5,"( 3.3,  3.8)",60,"(59.4, 60.6)",77.4,"(75.8, 78.8)",69.6,"(67.4, 71.6)",3.2,"( 2.8,  3.6)",43.5,"(39.7, 47.0)",35.7,"(32.9, 38.4)",13.7,"(11.6, 15.8)",75.2,"(72.8, 77.5)",4.8,"( 4.5,  5.1)",27.8,"(27.1, 28.4)",2,"( 1.9,  2.1)",10.9,"(10.0, 12.0)",76.3,"(74.1, 78.2)",9,"( 8.3,  9.9)",17.4,"(16.6, 18.2)",87.3,"(85.8, 88.5)",7.9,"( 7.3,  8.6)",25.8,"(24.8, 26.8)",1.8,"( 1.7,  1.9)",6.6,"( 4.6,  9.3)","(39.78026821480, -105.039531705)"
CO,Denver,820000,8031006804,0820000-08031006804,"2,184",7,"( 5.6,  8.8)",23.2,"(21.8, 24.6)",23.3,"(22.7, 23.9)",25.2,"(24.1, 26.4)",73.3,"(72.2, 74.5)",8,"( 7.6,  8.4)",8,"( 7.6,  8.6)",4.9,"( 4.3,  5.6)",64.5,"(63.7, 65.3)",81.9,"(80.5, 83.0)",72.9,"(69.2, 75.5)",3.9,"( 3.2,  4.8)",46.1,"(40.2, 51.2)",39,"(34.2, 43.5)",12,"( 9.5, 14.8)",77.6,"(74.3, 80.5)",5.5,"( 5.0,  6.1)",31.3,"(30.3, 32.3)",2.4,"( 2.2,  2.6)",10.5,"( 9.0, 12.3)",75.8,"(72.0, 78.6)",8.4,"( 7.4,  9.5)",15.8,"(14.8, 16.7)",85.9,"(83.3, 87.8)",8.3,"( 7.2,  9.6)",24.2,"(23.0, 25.5)",2.4,"( 2.0,  2.8)",6.4,"( 3.7, 10.9)","(39.63059134870, -104.894935011)"
CO,Denver,820000,8031008389,0820000-08031008389,"7,516",14.7,"(12.7, 16.9)",15.3,"(14.6, 15.9)",25,"(24.5, 25.6)",21.2,"(20.4, 21.9)",60.9,"(59.9, 61.9)",3.6,"( 3.5,  3.8)",9.1,"( 8.7,  9.7)",2.7,"( 2.6,  3.0)",59.7,"(58.9, 60.4)",71.6,"(69.7, 73.4)",63.3,"(60.2, 65.9)",3.3,"( 2.9,  3.7)",34.7,"(30.5, 38.7)",31.8,"(28.0, 35.4)",19.1,"(16.9, 21.3)",64.9,"(61.9, 67.8)",5.4,"( 5.1,  5.7)",24.7,"(24.0, 25.4)",1.9,"( 1.8,  2.0)",14.7,"(13.3, 16.0)",77.3,"(75.0, 79.5)",11.5,"(10.6, 12.5)",21.2,"(20.5, 22.0)",85.2,"(83.7, 86.5)",9.1,"( 8.3,  9.9)",32.6,"(31.5, 33.5)",1.8,"( 1.7,  2.0)",10.1,"( 7.0, 13.1)","(39.79039280820, -104.752633391)"
CO,Denver,820000,8031006809,0820000-08031006809,"6,979",7.8,"( 6.6,  9.2)",21.5,"(20.5, 22.5)",24.3,"(23.8, 24.8)",24.6,"(23.6, 25.6)",71.6,"(70.6, 72.6)",7.1,"( 6.8,  7.4)",8.2,"( 7.9,  8.5)",4.5,"( 4.1,  5.0)",63.5,"(62.9, 64.2)",79.2,"(77.9, 80.4)",72.2,"(69.5, 74.6)",3.8,"( 3.3,  4.4)",44.7,"(39.6, 49.7)",38.3,"(34.0, 42.1)",13.4,"(11.4, 15.5)",76,"(73.7, 78.2)",5.4,"( 5.0,  5.8)",30.2,"(29.4, 31.0)",2.2,"( 2.1,  2.4)",11,"( 9.9, 12.5)",75.4,"(72.5, 77.7)",8.9,"( 8.1,  9.8)",16.6,"(15.8, 17.5)",85.4,"(83.6, 87.0)",8.2,"( 7.4,  9.2)",25.7,"(24.6, 26.7)",2.2,"( 2.0,  2.5)",6.9,"( 4.4, 10.4)","(39.64446289740, -104.904681950)"
CO,Denver,820000,8031005001,0820000-08031005001,"2,586",10.8,"( 9.0, 12.9)",25.2,"(23.8, 26.4)",20.8,"(20.3, 21.3)",29.1,"(28.0, 30.3)",72.9,"(71.9, 73.9)",7.2,"( 6.9,  7.5)",9.1,"( 8.6,  9.8)",5.8,"( 5.2,  6.4)",64,"(63.3, 64.8)",76.8,"(75.1, 78.5)",65.6,"(62.2, 68.8)",5.3,"( 4.5,  6.2)",38.6,"(33.5, 43.1)",31.5,"(27.4, 35.9)",17.3,"(14.4, 20.1)",67.2,"(64.0, 70.8)",7.3,"( 6.8,  7.9)",33.1,"(32.2, 34.1)",2.9,"( 2.7,  3.1)",15.6,"(13.8, 17.6)",75.2,"(71.7, 78.0)",11,"( 9.9, 12.2)",19.7,"(18.7, 20.6)",84.9,"(82.9, 86.9)",11.3,"(10.0, 12.7)",28,"(26.8, 29.2)",3.2,"( 2.9,  3.6)",11.6,"( 7.4, 17.3)","(39.70253290720, -104.917128235)"
CO,Denver,820000,8031005002,0820000-08031005002,"6,612",13,"(11.4, 14.9)",23.7,"(22.7, 24.7)",20.3,"(19.9, 20.7)",28.2,"(27.3, 29.1)",71,"(70.0, 71.9)",6.5,"( 6.2,  6.8)",9.4,"( 8.9,  9.9)",5.7,"( 5.1,  6.3)",62.4,"(61.8, 63.0)",71.7,"(70.0, 73.3)",63.2,"(59.9, 66.1)",5.6,"( 4.8,  6.4)",38,"(32.4, 43.4)",30.2,"(25.9, 34.6)",18.7,"(16.4, 20.9)",62,"(59.2, 64.9)",7.3,"( 6.8,  7.9)",32.1,"(31.3, 33.0)",3,"( 2.8,  3.2)",16.8,"(15.3, 18.6)",74.2,"(70.9, 76.9)",12,"(11.0, 12.9)",20.7,"(19.8, 21.5)",84.4,"(82.6, 86.0)",11.7,"(10.6, 12.8)",29.7,"(28.7, 30.7)",3.3,"( 3.0,  3.8)",14,"( 8.8, 20.8)","(39.69953384910, -104.907793748)"
CO,Denver,820000,8031011903,0820000-08031011903,"2,194",13.8,"(11.8, 15.8)",26.8,"(25.6, 28.0)",19.2,"(18.8, 19.7)",31.1,"(30.0, 32.1)",75.1,"(74.1, 76.0)",7.9,"( 7.6,  8.3)",8.3,"( 7.9,  8.9)",6.7,"( 6.1,  7.4)",64.7,"(64.0, 65.4)",77,"(75.6, 78.3)",65.1,"(62.1, 67.9)",5.6,"( 4.8,  6.5)",39.1,"(33.6, 44.6)",32.8,"(28.3, 37.2)",15.5,"(13.3, 17.7)",66.7,"(63.4, 69.7)",8.2,"( 7.6,  8.8)",36.2,"(35.2, 37.2)",3.2,"( 3.0,  3.4)",17.2,"(15.3, 19.3)",73.3,"(70.1, 76.1)",10.3,"( 9.4, 11.3)",19.5,"(18.6, 20.4)",84,"(82.1, 85.9)",11.8,"(10.7, 13.1)",26.8,"(25.7, 27.9)",3.4,"( 3.0,  3.9)",11.9,"( 7.7, 17.0)","(39.66504746860, -105.075058191)"
