Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
08031012001,08,031,012001,81.3,1.5647,3
08031002403,08,031,002403,81,2.414,2
08031002402,08,031,002402,70.3,2.0488,3
08031000102,08,031,000102,78.5,1.9726,3
08031006804,08,031,006804,81.8,3.5573,3
08031008389,08,031,008389,80.4,2.2011,2
08031006809,08,031,006809,81.3,1.5493,2
08031005001,08,031,005001,75.2,1.6279,3
08031005002,08,031,005002,80,1.3077,3
08031011903,08,031,011903,84.3,2.4225,3
08031003701,08,031,003701,73.9,1.5589,3
08031003703,08,031,003703,78.4,2.7525,3
08031000902,08,031,000902,79.5,2.0704,3
08031000903,08,031,000903,77.5,1.7719,3
08031000904,08,031,000904,76.2,1.0682,2
08031000905,08,031,000905,78.5,2.8739,3
08031005300,08,031,005300,74.7,3.5886,3
08031006812,08,031,006812,82.6,1.2775,3
08031006813,08,031,006813,78.1,1.4409,3
08031006810,08,031,006810,83.1,2.062,3
08031006811,08,031,006811,80.7,1.3736,3
08031003300,08,031,003300,80.8,1.9371,3
08031004201,08,031,004201,82,2.3609,3
08031004202,08,031,004202,82.1,1.8368,3
08031007037,08,031,007037,76.8,2.6635,1
08031000502,08,031,000502,78.5,1.6517,3
08031000501,08,031,000501,79.4,1.4202,3
08031006901,08,031,006901,73.8,1.25,3
08031002702,08,031,002702,75.6,1.4474,3
08031002703,08,031,002703,70.5,2.4842,3
08031004601,08,031,004601,78.4,1.6144,3
08031005104,08,031,005104,71.7,1.3388,3
08031004603,08,031,004603,78.3,1.6315,3
08031004602,08,031,004602,73.7,1.2912,3
08031003102,08,031,003102,80,1.589,2
08031003402,08,031,003402,83.9,1.5961,3
08031003101,08,031,003101,70.9,2.8596,3
08031003401,08,031,003401,85.6,2.7774,3
08031000800,08,031,000800,75,3.1239,2
08031011902,08,031,011902,78.8,1.6497,3
08031001600,08,031,001600,74.5,3.0176,3
08031007013,08,031,007013,79.2,1.2717,3
08031000701,08,031,000701,76.3,1.8228,3
08031000702,08,031,000702,75.9,2.5899,3
08031003800,08,031,003800,82.3,1.3644,3
08031001302,08,031,001302,78.7,2.4378,3
08031001301,08,031,001301,80.1,2.1324,1
08031005503,08,031,005503,76.4,1.1686,3
08031005502,08,031,005502,79.1,1.4038,3
08031006701,08,031,006701,82.4,3.9326,3
08031004106,08,031,004106,81.3,3.4064,2
08031004107,08,031,004107,81.3,2.1704,2
08031004104,08,031,004104,77,1.8944,3
08031003001,08,031,003001,84.4,2.9321,3
08031004102,08,031,004102,77.1,2.0462,3
08031004103,08,031,004103,80.5,1.9675,3
08031003004,08,031,003004,83.8,2.5718,3
08031004101,08,031,004101,76.4,1.2585,2
08031002300,08,031,002300,74.8,1.9487,3
08031008312,08,031,008312,80.6,2.9298,3
08031000402,08,031,000402,74.6,1.6787,3
08031000401,08,031,000401,77.7,1.9833,3
08031000301,08,031,000301,79.8,1.7946,3
08031000302,08,031,000302,80.3,2.3864,3
08031000303,08,031,000303,78.3,1.1153,3
08031001401,08,031,001401,77.2,1.5197,3
08031001402,08,031,001402,77.4,1.2355,2
08031001403,08,031,001403,79.1,2.9652,3
08031008391,08,031,008391,79.6,2.6425,2
08031008390,08,031,008390,77.9,2.3096,2
08031005200,08,031,005200,83,2.019,3
08031002602,08,031,002602,71.4,3.0082,3
08031002601,08,031,002601,78.6,2.5945,2
08031015600,08,031,015600,74.9,1.6625,1
08031004503,08,031,004503,71.7,1.7045,1
08031004506,08,031,004506,76.6,1.6664,3
08031004504,08,031,004504,75.2,1.5292,1
08031004505,08,031,004505,77.9,3.6112,3
08031007088,08,031,007088,77.6,1.6872,3
08031003500,08,031,003500,76.2,1.8224,3
08031001800,08,031,001800,74.2,2.231,3
08031001702,08,031,001702,76,2.4957,3
08031001701,08,031,001701,78.9,1.4066,3
08031001000,08,031,001000,72.2,1.836,3
08031015500,08,031,015500,73.6,2.7246,3
08031015300,08,031,015300,82.5,2.2775,3
08031002100,08,031,002100,80.9,3.2754,2
08031000600,08,031,000600,80.9,2.4532,2
08031008386,08,031,008386,76.2,2.6326,1
08031008387,08,031,008387,76.8,1.4377,2
08031003902,08,031,003902,84.1,1.6786,3
08031003901,08,031,003901,83.3,1.8684,3
08031002901,08,031,002901,83.7,3.868,3
08031002902,08,031,002902,83.5,3.1512,3
08031008304,08,031,008304,77.2,1.8413,3
08031003002,08,031,003002,78,1.8062,3
08031008306,08,031,008306,80.4,2.1498,3
08031004006,08,031,004006,83.9,2.3724,3
08031004005,08,031,004005,75.9,2.1098,3
08031004004,08,031,004004,84.5,1.7814,3
08031004003,08,031,004003,79.8,1.4712,3
08031004002,08,031,004002,83.5,1.5015,3
08031003003,08,031,003003,81.2,3.4306,2
08031000201,08,031,000201,80.5,1.8853,3
08031000202,08,031,000202,74.7,1.2127,3
08031001500,08,031,001500,72.8,1.9674,1
08031003601,08,031,003601,75.1,2.0881,3
08031003602,08,031,003602,77.1,1.5581,3
08031003603,08,031,003603,74.1,1.9927,3
08031015700,08,031,015700,73.8,1.3391,3
08031004403,08,031,004403,76.1,2.5384,3
08031004405,08,031,004405,79.4,1.5132,1
08031004404,08,031,004404,77.6,2.5918,2
08031003201,08,031,003201,79.6,2.921,3
08031003202,08,031,003202,77.4,1.5524,3
08031012010,08,031,012010,83.5,2.4105,3
08031012014,08,031,012014,79.8,1.651,3
08031001101,08,031,001101,74.5,1.5568,3
08031001102,08,031,001102,78,2.0883,3
08031004304,08,031,004304,81.6,1.9214,3
08031004306,08,031,004306,84.2,1.5331,3
08031004301,08,031,004301,76.9,1.5901,3
08031004302,08,031,004302,82.7,2.4318,3
08031004303,08,031,004303,85.9,1.945,3
08031002801,08,031,002801,81.5,1.7873,2
08031002802,08,031,002802,77.1,2.8477,3
08031005102,08,031,005102,77.5,1.5685,3
08031015400,08,031,015400,77.4,1.9971,3
08031004700,08,031,004700,78.4,1.6277,3
08031004801,08,031,004801,79.4,1.3909,3
