StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
CO,Denver,820000,8031007006,0820000-08031007006,"4,464",16.3,"(13.8, 19.1)",12.3,"(11.8, 12.9)",24.8,"(24.2, 25.5)",18.3,"(17.6, 19.0)",52.1,"(50.9, 53.4)",2.6,"( 2.6,  2.7)",9.1,"( 8.5,  9.7)",2.4,"( 2.3,  2.7)",54.4,"(53.5, 55.3)",59.2,"(56.7, 61.6)",54.9,"(51.3, 58.1)",3.4,"( 2.9,  3.9)",33.7,"(27.5, 39.4)",27.8,"(24.2, 31.1)",20.5,"(17.6, 23.8)",57.1,"(53.1, 60.9)",4.3,"( 4.1,  4.6)",22.9,"(22.2, 23.8)",1.8,"( 1.7,  1.9)",15.4,"(13.7, 17.3)",75.8,"(72.4, 78.5)",13.2,"(11.8, 14.6)",20.1,"(19.2, 21.0)",83,"(80.9, 84.9)",9.2,"( 8.3, 10.2)",32.3,"(31.0, 33.6)",1.6,"( 1.5,  1.8)",13.5,"( 8.8, 20.3)","(39.65404462370, -104.863651598)"
CO,Denver,820000,8031001901,0820000-08031001901,"2,910",26,"(22.2, 30.0)",21,"(20.2, 21.8)",19.4,"(18.8, 20.0)",27.8,"(26.9, 28.7)",64.4,"(63.4, 65.5)",4.1,"( 3.9,  4.2)",10.8,"(10.1, 11.6)",5.6,"( 5.2,  6.0)",56.9,"(55.9, 57.8)",59.1,"(56.5, 61.6)",49.4,"(46.1, 53.0)",6.4,"( 5.8,  7.1)",26,"(22.2, 30.0)",20.4,"(17.5, 23.7)",26.4,"(23.3, 29.3)",44.4,"(40.5, 48.4)",9.4,"( 8.9, 10.0)",32.4,"(31.2, 33.7)",3.4,"( 3.3,  3.6)",25.5,"(23.2, 27.9)",73.8,"(70.9, 76.7)",17,"(15.4, 18.5)",26.6,"(25.6, 27.5)",83.4,"(81.3, 85.5)",16,"(14.7, 17.3)",33.5,"(32.4, 34.6)",3.7,"( 3.4,  4.0)",22.1,"(16.8, 27.7)","(39.73318128990, -105.008629351)"
CO,Denver,820000,8031001902,0820000-08031001902,705,10.1,"( 8.1, 12.5)",5.3,"( 4.9,  5.6)",36.4,"(34.4, 38.4)",7,"( 6.5,  7.5)",32.3,"(30.8, 34.1)",1.3,"( 1.3,  1.4)",9.5,"( 8.8, 10.2)",0.9,"( 0.9,  1.0)",52.1,"(49.9, 54.1)",48.2,"(43.4, 52.8)",65.4,"(63.6, 67.3)",1.9,"( 1.6,  2.1)",42.3,"(37.3, 47.7)",40.3,"(34.6, 46.3)",15.2,"(11.9, 17.8)",73.6,"(69.2, 78.0)",1.1,"( 1.1,  1.2)",11.7,"(10.9, 12.4)",0.7,"( 0.7,  0.8)",8.3,"( 6.8,  9.9)",72.8,"(71.0, 74.7)",13,"(10.9, 14.1)",11.1,"(10.1, 11.9)",76.6,"(73.4, 79.9)",4.8,"( 4.1,  5.2)",25.8,"(23.6, 27.3)",0.5,"( 0.4,  0.5)",9.1,"( 6.4, 12.1)","(39.74580647960, -105.008303766)"
CO,Denver,820000,8031002803,0820000-08031002803,"4,158",7.1,"( 6.2,  8.5)",15.1,"(14.6, 15.8)",28.8,"(28.2, 29.4)",17.1,"(16.6, 17.8)",62.5,"(61.2, 63.9)",5.2,"( 5.0,  5.5)",7.9,"( 7.6,  8.3)",3,"( 2.8,  3.4)",57.5,"(56.8, 58.1)",73.8,"(72.0, 75.1)",71.4,"(69.6, 72.8)",2.7,"( 2.4,  3.1)",45.2,"(41.0, 48.7)",35,"(30.7, 39.0)",12.8,"(10.8, 15.2)",76,"(73.5, 78.2)",3.4,"( 3.2,  3.6)",23.3,"(22.8, 23.9)",1.7,"( 1.6,  1.9)",8.9,"( 8.0, 10.0)",76.8,"(74.8, 78.4)",9,"( 8.3, 10.0)",15.1,"(14.4, 15.9)",87.6,"(85.9, 88.8)",6.5,"( 5.9,  7.2)",24.9,"(23.9, 26.1)",1.6,"( 1.4,  1.8)",6.1,"( 4.2, 10.3)","(39.71540342350, -104.977064238)"
CO,Denver,820000,8031003702,0820000-08031003702,"4,357",7.7,"( 6.3,  9.8)",15.4,"(14.6, 16.3)",28,"(27.2, 28.8)",18,"(17.2, 19.0)",61.1,"(59.4, 62.5)",4.6,"( 4.4,  4.7)",8.2,"( 7.8,  8.8)",2.9,"( 2.6,  3.2)",57.3,"(56.3, 58.2)",74,"(71.4, 75.9)",68.6,"(65.3, 70.9)",3,"( 2.6,  3.5)",41.7,"(35.8, 46.9)",35.1,"(30.6, 39.0)",14.4,"(11.5, 17.8)",73.6,"(69.7, 76.6)",3.9,"( 3.6,  4.3)",24.4,"(23.6, 25.3)",1.8,"( 1.7,  1.9)",9.7,"( 8.5, 11.2)",77.4,"(73.7, 79.9)",9.8,"( 8.7, 11.1)",17.3,"(16.3, 18.4)",87.2,"(84.8, 88.9)",7.3,"( 6.5,  8.3)",26.4,"(25.1, 28.0)",1.6,"( 1.4,  1.8)",6.8,"( 4.3, 10.9)","(39.73652184500, -104.954364593)"
CO,Denver,820000,8031008305,0820000-08031008305,"3,963",31.8,"(27.5, 36.0)",19.6,"(18.9, 20.4)",20.1,"(19.3, 20.9)",26.9,"(26.0, 27.6)",63,"(61.8, 64.2)",3.6,"( 3.5,  3.7)",10.5,"( 9.8, 11.3)",4.8,"( 4.5,  5.1)",56.5,"(55.4, 57.6)",58.8,"(56.3, 61.5)",50,"(47.3, 52.8)",5.9,"( 5.3,  6.4)",25.8,"(22.5, 29.6)",23,"(20.2, 25.8)",25.9,"(23.2, 28.5)",43.3,"(39.4, 47.4)",9,"( 8.5,  9.4)",31.1,"(29.9, 32.3)",3.1,"( 2.9,  3.3)",26.3,"(24.0, 28.6)",73.4,"(71.0, 75.8)",16.3,"(14.9, 17.8)",28,"(27.0, 28.9)",83.4,"(81.6, 85.2)",15.6,"(14.2, 17.0)",34.7,"(33.7, 35.8)",3.3,"( 3.1,  3.6)",24,"(19.6, 28.3)","(39.79439281750, -104.828689298)"
CO,Denver,820000,8031002000,0820000-08031002000,"1,577",7.7,"( 6.4,  9.4)",15.4,"(14.6, 16.3)",28.9,"(28.2, 29.6)",19.1,"(18.2, 20.0)",61.6,"(60.1, 63.1)",4.6,"( 4.4,  4.8)",8,"( 7.6,  8.4)",3,"( 2.7,  3.3)",57.6,"(56.7, 58.3)",73.9,"(71.3, 75.7)",70.1,"(67.4, 72.3)",3,"( 2.5,  3.5)",43.7,"(38.0, 48.9)",38.7,"(33.5, 43.7)",14.5,"(11.8, 17.8)",74.3,"(70.9, 77.1)",4,"( 3.7,  4.4)",25.7,"(24.9, 26.7)",1.7,"( 1.6,  1.8)",9.5,"( 8.3, 10.9)",77.1,"(74.2, 79.6)",9.4,"( 8.4, 10.7)",16.9,"(15.9, 18.0)",86.5,"(84.3, 88.1)",7.2,"( 6.4,  8.1)",26.6,"(25.2, 28.1)",1.5,"( 1.4,  1.7)",6,"( 3.7,  9.4)","(39.73537359670, -104.991197161)"
CO,Denver,820000,8031980000,0820000-08031980000,"1,165",14.1,"(12.1, 16.6)",13.8,"(13.2, 14.5)",27.3,"(26.6, 28.0)",19.3,"(18.6, 20.1)",55.4,"(54.1, 56.7)",3.2,"( 3.1,  3.3)",9.6,"( 9.1, 10.2)",2.2,"( 2.1,  2.4)",56.9,"(56.0, 57.8)",65.7,"(63.2, 68.1)",62.8,"(59.8, 65.5)",3.3,"( 3.0,  3.7)",35.7,"(29.9, 40.8)",32.8,"(27.0, 38.4)",21.5,"(18.6, 24.4)",62.9,"(59.5, 66.1)",4.1,"( 3.9,  4.4)",22.6,"(21.9, 23.4)",1.7,"( 1.7,  1.8)",14,"(12.7, 15.5)",76.7,"(74.0, 78.9)",12.9,"(11.8, 14.2)",21.5,"(20.6, 22.4)",85.8,"(84.1, 87.4)",8.9,"( 8.2,  9.8)",32.6,"(31.3, 33.8)",1.6,"( 1.5,  1.7)",10.8,"( 7.1, 16.1)","(39.85826256810, -104.688169343)"
CO,Denver,820000,8031006814,0820000-08031006814,"4,703",13.2,"(11.2, 15.3)",22.3,"(21.2, 23.4)",22.9,"(22.3, 23.4)",25.8,"(24.7, 26.8)",69.7,"(68.7, 70.8)",6.2,"( 5.9,  6.4)",9,"( 8.5,  9.5)",5.1,"( 4.6,  5.6)",61.9,"(61.0, 62.6)",74.6,"(72.9, 76.2)",65.2,"(61.6, 68.5)",4.9,"( 4.2,  5.8)",39.2,"(33.4, 44.6)",33.8,"(28.8, 38.3)",17.9,"(15.3, 20.4)",66.3,"(63.0, 69.7)",6.6,"( 6.1,  7.1)",31.2,"(30.2, 32.0)",2.5,"( 2.4,  2.7)",15.3,"(13.6, 17.1)",74.2,"(70.5, 77.3)",11.2,"(10.2, 12.3)",20.1,"(19.2, 21.0)",84.5,"(82.6, 86.3)",10.8,"( 9.6, 12.0)",28.7,"(27.6, 29.8)",2.7,"( 2.4,  3.1)",11.7,"( 7.4, 16.2)","(39.65935529570, -104.877817449)"
CO,Denver,820000,8031002701,0820000-08031002701,"4,600",9.8,"( 7.5, 13.1)",12.2,"(11.5, 13.1)",30.7,"(29.7, 31.7)",15.7,"(14.9, 16.5)",55.3,"(53.5, 56.9)",3.4,"( 3.3,  3.5)",8.5,"( 7.8,  9.5)",2.5,"( 2.3,  2.8)",54.1,"(52.8, 55.3)",66.4,"(62.8, 69.0)",65.5,"(61.6, 68.4)",2.9,"( 2.3,  3.5)",41.1,"(34.6, 46.4)",35.1,"(30.1, 39.3)",16.5,"(12.4, 21.6)",69.9,"(64.2, 74.4)",3.4,"( 3.1,  3.7)",21.9,"(21.1, 23.0)",1.5,"( 1.4,  1.6)",10.1,"( 8.4, 12.3)",77,"(73.7, 79.6)",11,"( 9.2, 13.2)",16.8,"(15.6, 18.0)",84.8,"(80.9, 87.4)",7.2,"( 6.1,  8.4)",27,"(25.2, 29.0)",1.4,"( 1.2,  1.5)",8.4,"( 5.0, 13.9)","(39.73603518400, -104.983645416)"
