OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,plctract10,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,0,1,0,CO,Denver,820000,8031002403.000000000000000,0820000-08031002403,3338,11.900000000000000,10.000000000000000,"(39.75336940410, -104.980167430)",39.753369399999997,-104.980167399999999,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,1,1,1,CO,Denver,820000,8031005001.000000000000000,0820000-08031005001,2586,11.000000000000000,11.300000000000001,"(39.70253290720, -104.917128235)",39.702532910000002,-104.917128199999993,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,2,1,2,CO,Denver,820000,8031005002.000000000000000,0820000-08031005002,6612,12.000000000000000,11.699999999999999,"(39.69953384910, -104.907793748)",39.699533850000002,-104.907793699999999,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,3,1,3,CO,Denver,820000,8031000902.000000000000000,0820000-08031000902,5376,13.900000000000000,14.600000000000000,"(39.71854107900, -105.046460462)",39.718541080000001,-105.046460499999995,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,4,1,4,CO,Denver,820000,8031000903.000000000000000,0820000-08031000903,6111,16.000000000000000,16.000000000000000,"(39.71838878110, -105.032385325)",39.718388779999998,-105.032385300000001,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,5,1,5,CO,Denver,820000,8031000904.000000000000000,0820000-08031000904,5127,16.500000000000000,17.100000000000001,"(39.73045992130, -105.046671813)",39.730459920000001,-105.046671799999999,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,6,1,6,CO,Denver,820000,8031000905.000000000000000,0820000-08031000905,3631,13.199999999999999,13.100000000000000,"(39.73046392480, -105.032020031)",39.730463919999998,-105.032020000000003,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2.000000000000000,4.500000000000000
-1,1,7,1,7,CO,Denver,820000,8031004404.000000000000000,0820000-08031004404,5978,15.199999999999999,13.100000000000000,"(39.73650932910, -104.894055782)",39.736509329999997,-104.894055800000004,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,8,1,8,CO,Denver,820000,8031006814.000000000000000,0820000-08031006814,4703,11.199999999999999,10.800000000000001,"(39.65935529570, -104.877817449)",39.659355300000001,-104.877817399999998,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
-1,1,9,1,9,CO,Denver,820000,8031006813.000000000000000,0820000-08031006813,3871,11.900000000000000,10.900000000000000,"(39.66814543830, -104.871255746)",39.668145440000004,-104.871255700000006,10.900000000000000,9.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3.000000000000000,5.500000000000000
