Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
26163542600,26,163,542600,70.8,1.7007,3
26163534600,26,163,534600,69.3,2.3067,3
26163544300,26,163,544300,73.8,2.4138,3
26163530500,26,163,530500,72.8,2.1748,3
26163511000,26,163,511000,73.4,2.1507,3
26163511900,26,163,511900,66.3,2.8279,3
26163503500,26,163,503500,72,1.6884,2
26163541300,26,163,541300,73,1.3016,2
26163513200,26,163,513200,72.8,2.2445,3
26163530800,26,163,530800,71,2.1281,3
26163524200,26,163,524200,74.8,1.7822,1
26163537700,26,163,537700,71.5,2.0072,3
26163505400,26,163,505400,70.9,2.6383,3
26163518500,26,163,518500,71.6,1.3197,2
26163535100,26,163,535100,68.8,2.4975,3
26163523300,26,163,523300,76.3,2.5214,1
26163511400,26,163,511400,70.3,1.9108,3
26163516700,26,163,516700,73.4,2.1717,2
26163525800,26,163,525800,70.9,2.172,3
26163531100,26,163,531100,70.8,2.5885,3
26163507300,26,163,507300,69.9,2.3337,3
26163539700,26,163,539700,73.4,1.3821,2
26163500400,26,163,500400,71.6,2.7416,2
26163522500,26,163,522500,69.8,2.1542,3
26163540900,26,163,540900,73.7,1.7466,3
26163546300,26,163,546300,78.5,3.0422,3
26163517200,26,163,517200,73.6,2.3811,3
26163544200,26,163,544200,70.9,2.5085,3
26163538600,26,163,538600,71.6,2.6467,1
26163504200,26,163,504200,71,2.8866,3
26163518900,26,163,518900,72.1,2.1488,3
26163530300,26,163,530300,68.2,2.7365,3
26163520700,26,163,520700,76.6,2.1102,2
26163536700,26,163,536700,68.7,2.2984,3
26163513600,26,163,513600,68.4,2.3005,3
26163542300,26,163,542300,72.1,2.7842,1
26163531900,26,163,531900,62,2.1804,3
26163510600,26,163,510600,74.5,1.658,1
26163500800,26,163,500800,71.9,2.0826,3
26163533400,26,163,533400,67.7,1.8829,3
26163514300,26,163,514300,69.9,2.0669,1
26163526400,26,163,526400,75,2.8266,2
26163504700,26,163,504700,72.3,2.3491,3
26163525400,26,163,525400,74.7,1.2453,2
26163516400,26,163,516400,64.6,3.4314,3
26163522000,26,163,522000,73.4,2.7261,3
26163544000,26,163,544000,71.6,1.6183,3
26163536300,26,163,536300,67.2,1.702,3
26163508100,26,163,508100,71.6,1.4586,2
26163506400,26,163,506400,72.1,1.8131,2
26163503100,26,163,503100,75.2,2.0627,3
26163538200,26,163,538200,77.6,1.6268,3
26163530100,26,163,530100,65.6,2.6476,1
26163545700,26,163,545700,71.2,1.7542,1
26163501600,26,163,501600,71.6,1.3603,2
26163532400,26,163,532400,67.9,2.1598,3
26163516000,26,163,516000,66.2,2.7965,3
26163527300,26,163,527300,68.4,3.9961,3
26163537800,26,163,537800,73.7,2.5543,3
26163520300,26,163,520300,80,3.0806,2
26163504000,26,163,504000,72,1.5435,2
26163527200,26,163,527200,65.6,3.4158,3
26163537000,26,163,537000,71,1.9515,3
26163546500,26,163,546500,68.9,2.9663,3
26163542700,26,163,542700,71.8,3.6347,2
26163534500,26,163,534500,70.1,3.0582,3
26163535300,26,163,535300,70.7,1.739,3
26163535200,26,163,535200,70.2,2.4175,3
26163512400,26,163,512400,71.6,1.9085,2
26163510500,26,163,510500,72,1.3604,2
26163531600,26,163,531600,70.7,2.7653,3
26163513300,26,163,513300,76.5,2.8457,3
26163515200,26,163,515200,72,1.5893,2
26163525000,26,163,525000,71.9,3.3988,3
26163539200,26,163,539200,72.2,1.7345,3
26163504800,26,163,504800,65.9,3.3077,3
26163524300,26,163,524300,75.7,1.9739,2
26163521500,26,163,521500,77.6,3.3536,3
26163546800,26,163,546800,71.8,2.5028,3
26163514100,26,163,514100,67.8,1.7331,3
26163545500,26,163,545500,77.3,3.1212,3
26163523200,26,163,523200,76.7,2.7622,3
26163540600,26,163,540600,75.1,1.348,2
26163516600,26,163,516600,70.2,2.2874,3
26163545600,26,163,545600,74,2.2814,1
26163501200,26,163,501200,74.1,2.9019,3
26163531200,26,163,531200,71.9,2.8157,3
26163507200,26,163,507200,67.8,2.7941,3
26163500500,26,163,500500,72,1.5673,2
26163506800,26,163,506800,70,1.7948,3
26163506100,26,163,506100,70.1,2.052,3
26163546000,26,163,546000,72,1.4933,2
26163517300,26,163,517300,77.8,3.1155,3
26163526000,26,163,526000,75.1,1.6041,3
26163538500,26,163,538500,73.4,2.3171,2
26163504300,26,163,504300,71.3,1.7206,3
26163504400,26,163,504400,69.8,2.1497,3
26163524900,26,163,524900,76.6,3.4039,3
26163546100,26,163,546100,70.8,1.4408,3
26163526100,26,163,526100,75.6,1.7188,2
26163538400,26,163,538400,80,2.1223,1
26163536900,26,163,536900,72.3,1.7481,3
26163535600,26,163,535600,75.7,1.7212,3
26163505200,26,163,505200,75.2,2.8354,3
26163536600,26,163,536600,75.4,2.8532,3
26163545300,26,163,545300,71.6,1.2818,2
26163513700,26,163,513700,74,2.0505,3
26163511200,26,163,511200,69.3,2.1337,3
26163512900,26,163,512900,70.8,3.3174,3
26163500900,26,163,500900,72.4,2.3626,1
26163507500,26,163,507500,70.5,1.784,3
26163530400,26,163,530400,73.5,3.2293,3
26163514200,26,163,514200,71.1,2.0699,3
26163538900,26,163,538900,75.2,1.9992,3
26163531400,26,163,531400,74.3,2.9119,3
26163541100,26,163,541100,68.3,2.2237,3
26163536200,26,163,536200,72.4,1.673,3
26163517500,26,163,517500,67.4,2.3725,3
26163542800,26,163,542800,73.6,1.7413,3
26163500100,26,163,500100,68.3,1.68,1
26163506500,26,163,506500,71.2,2.0947,3
26163546400,26,163,546400,71.7,2.806,3
26163507100,26,163,507100,72,1.4264,2
26163540800,26,163,540800,73.1,2.2302,3
26163538100,26,163,538100,82.4,3.6408,3
26163515600,26,163,515600,69.2,2.3173,3
26163501500,26,163,501500,70.9,1.5083,3
26163507900,26,163,507900,65.4,3.0078,3
26163526500,26,163,526500,69,2.4989,3
26163541400,26,163,541400,74.5,3.2671,3
26163525700,26,163,525700,79.6,3.471,3
26163501400,26,163,501400,73.3,1.8388,1
26163546200,26,163,546200,78.2,2.3804,3
26163516900,26,163,516900,73,2.0074,3
26163545800,26,163,545800,74.6,2.2799,1
26163504100,26,163,504100,67,2.2106,3
26163537100,26,163,537100,70.4,2.0762,3
26163533100,26,163,533100,69.7,2.4579,3
26163540200,26,163,540200,69.7,1.7557,3
26163542400,26,163,542400,69.2,1.655,1
26163534400,26,163,534400,70.1,2.0282,3
26163536500,26,163,536500,72,2.0474,3
26163524700,26,163,524700,69.4,1.2179,3
26163533200,26,163,533200,69.5,2.375,3
26163506200,26,163,506200,72,1.1643,2
