StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
MI,Detroit,2622000,26163515700,2622000-26163515700,"3,295",10.5,"( 7.7, 13.7)",41.5,"(39.4, 43.8)",12.1,"(11.7, 12.5)",55.6,"(53.5, 57.5)",86.8,"(86.1, 87.5)",9.6,"( 9.1, 10.1)",12.3,"(11.4, 13.5)",9.9,"( 8.8, 11.4)",84,"(83.3, 84.6)",85.2,"(83.3, 86.9)",71.4,"(67.1, 75.2)",9.9,"( 8.1, 12.2)",26.8,"(22.3, 31.3)",27.4,"(22.9, 31.7)",16.6,"(13.3, 20.1)",68.4,"(63.3, 73.2)",19,"(17.2, 21.1)",45.6,"(43.9, 47.2)",4.9,"( 4.5,  5.5)",28,"(24.0, 32.4)",84.9,"(82.1, 87.2)",11.5,"(10.0, 13.2)",40.1,"(38.2, 42.0)",86.4,"(83.4, 88.9)",15.9,"(13.6, 18.6)",42.8,"(40.9, 44.9)",6.4,"( 5.4,  7.7)",14.1,"( 8.2, 21.6)","(42.35211615490, -82.9859403618)"
MI,Detroit,2622000,26163507800,2622000-26163507800,772,25.2,"(21.6, 29.2)",36.9,"(35.6, 38.2)",13.7,"(13.0, 14.5)",49.6,"(48.2, 50.8)",77.7,"(76.6, 78.9)",5.7,"( 5.4,  5.9)",16.1,"(14.8, 17.5)",10.2,"( 9.4, 11.0)",76.1,"(75.1, 77.2)",67.4,"(65.0, 69.9)",50,"(45.7, 54.1)",15,"(13.5, 16.6)",20.3,"(16.5, 24.7)",18.9,"(15.7, 22.5)",36.9,"(33.7, 40.1)",39.3,"(35.5, 43.4)",20,"(18.9, 21.1)",42,"(40.4, 43.5)",5.4,"( 5.0,  5.8)",43.3,"(40.1, 46.3)",81.3,"(78.6, 83.8)",22.2,"(20.3, 24.1)",51.3,"(50.1, 52.3)",84.5,"(82.5, 86.4)",24.1,"(22.1, 26.2)",53.1,"(51.9, 54.2)",7.9,"( 7.2,  8.8)",37.2,"(29.7, 44.5)","(42.42439209420, -83.0970383726)"
MI,Detroit,2622000,26163543400,2622000-26163543400,"3,189",17.3,"(13.9, 20.9)",34.1,"(32.4, 35.7)",14.4,"(13.7, 15.0)",46.8,"(45.2, 48.5)",78.9,"(77.7, 80.0)",5.5,"( 5.3,  5.8)",14.5,"(13.4, 15.9)",7.8,"( 7.1,  8.6)",78.8,"(77.8, 79.7)",74.8,"(71.8, 77.3)",59.2,"(54.6, 63.4)",10.9,"( 9.4, 12.6)",20.4,"(16.4, 25.1)",21.9,"(17.6, 26.0)",28.1,"(24.1, 32.4)",51.9,"(46.9, 56.9)",17.9,"(16.6, 19.3)",38.7,"(37.2, 40.3)",4.5,"( 4.2,  4.9)",34.4,"(30.7, 38.4)",85,"(82.2, 87.4)",17.8,"(15.8, 20.0)",49,"(47.4, 50.6)",86.5,"(84.3, 88.6)",19,"(16.8, 21.3)",51.2,"(49.5, 52.9)",6.1,"( 5.4,  6.9)",23.8,"(16.3, 32.7)","(42.40156812430, -83.2374735987)"
MI,Detroit,2622000,26163516800,2622000-26163516800,"1,041",18.2,"(15.6, 20.6)",36.2,"(34.9, 37.4)",14.3,"(13.8, 14.9)",52.4,"(51.2, 53.4)",81.1,"(80.2, 81.9)",6.2,"( 5.9,  6.5)",13.2,"(12.4, 14.0)",9.6,"( 8.8, 10.4)",79,"(78.2, 79.6)",73.8,"(72.0, 75.8)",57.2,"(53.5, 60.6)",11.6,"(10.4, 12.8)",19.1,"(15.7, 22.8)",20,"(17.0, 23.5)",28.4,"(25.3, 31.2)",49.5,"(46.2, 53.2)",20.1,"(18.9, 21.2)",42.2,"(41.1, 43.3)",5.1,"( 4.8,  5.4)",37,"(34.1, 39.8)",84.6,"(82.3, 86.6)",16.8,"(15.5, 18.3)",49.3,"(47.9, 50.6)",85.9,"(84.2, 87.7)",19.8,"(18.1, 21.5)",50.9,"(49.5, 52.2)",7.3,"( 6.6,  8.1)",27.5,"(20.8, 35.4)","(42.35600060640, -83.0254932016)"
MI,Detroit,2622000,26163510400,2622000-26163510400,976,22.2,"(18.9, 25.5)",36.2,"(35.1, 37.5)",14.2,"(13.5, 14.9)",50.3,"(49.2, 51.4)",80,"(79.0, 80.9)",6.2,"( 5.9,  6.5)",15.5,"(14.3, 16.8)",9.5,"( 8.7, 10.3)",78.6,"(77.7, 79.6)",70.9,"(68.6, 73.3)",57.9,"(54.1, 61.5)",12.8,"(11.4, 14.2)",18.7,"(14.5, 23.1)",20.2,"(16.7, 23.5)",31.2,"(28.2, 34.0)",46.6,"(42.5, 51.1)",19.6,"(18.6, 20.6)",41.7,"(40.3, 43.2)",5,"( 4.7,  5.4)",39.4,"(36.5, 42.2)",82,"(79.1, 84.7)",19,"(17.4, 20.8)",47.9,"(47.0, 48.7)",83.5,"(81.3, 85.7)",21.1,"(19.3, 23.0)",51.7,"(50.8, 52.6)",7.4,"( 6.6,  8.2)",31,"(23.5, 38.8)","(42.41473858160, -83.0760855753)"
MI,Detroit,2622000,26163521800,2622000-26163521800,"1,216",20.3,"(16.3, 24.6)",46.5,"(44.3, 48.4)",9.4,"( 8.9,  9.9)",58.9,"(57.1, 60.5)",85.8,"(84.8, 86.6)",8,"( 7.5,  8.5)",16.1,"(14.7, 17.6)",13.7,"(12.2, 15.3)",81.9,"(81.0, 82.8)",76.6,"(74.1, 79.0)",56.2,"(50.8, 61.3)",17.2,"(14.3, 19.9)",16.9,"(12.7, 21.9)",17.4,"(13.6, 21.7)",29.5,"(24.8, 33.6)",43.2,"(38.0, 49.0)",27.4,"(25.1, 29.4)",47.5,"(45.7, 49.4)",7.4,"( 6.7,  8.1)",44.7,"(39.6, 49.0)",84.1,"(81.1, 86.8)",19.7,"(17.2, 22.0)",52.2,"(50.1, 53.9)",85.1,"(82.4, 87.7)",26,"(22.7, 29.1)",50.6,"(48.5, 52.4)",11.2,"( 9.8, 13.0)",34.2,"(23.7, 45.0)","(42.34612148010, -83.0712523180)"
MI,Detroit,2622000,26163516100,2622000-26163516100,734,18.2,"(15.4, 21.0)",37.6,"(36.4, 38.8)",13.3,"(12.8, 13.9)",53.2,"(51.9, 54.4)",81.8,"(81.0, 82.6)",6.4,"( 6.1,  6.7)",14.1,"(13.3, 15.0)",10,"( 9.2, 10.8)",79.8,"(79.0, 80.5)",74.8,"(72.9, 76.7)",55.9,"(52.2, 59.4)",12.2,"(10.8, 13.6)",19,"(15.6, 22.6)",18.9,"(16.2, 22.2)",28.1,"(25.1, 31.0)",49.2,"(45.5, 52.9)",21.1,"(19.9, 22.1)",42.3,"(41.1, 43.5)",5.4,"( 5.1,  5.8)",37.4,"(34.5, 40.2)",84.9,"(82.4, 87.0)",17.6,"(16.1, 19.0)",50,"(48.6, 51.2)",86.3,"(84.6, 87.9)",20.8,"(19.1, 22.6)",51.3,"(50.0, 52.5)",7.8,"( 7.1,  8.6)",28.5,"(21.3, 35.8)","(42.37566056730, -83.0258412996)"
MI,Detroit,2622000,26163518400,2622000-26163518400,630,22.4,"(19.0, 25.9)",39.4,"(37.9, 41.0)",13.7,"(13.2, 14.2)",52.9,"(51.4, 54.1)",80.7,"(79.8, 81.6)",6.4,"( 6.2,  6.6)",14.7,"(13.6, 15.8)",11.6,"(10.6, 12.6)",75.9,"(75.0, 76.8)",71.4,"(69.3, 73.6)",52.7,"(49.1, 56.4)",15.5,"(13.7, 17.3)",18.1,"(14.4, 22.5)",20.7,"(17.4, 24.1)",34.3,"(30.7, 37.8)",43.1,"(39.1, 47.5)",21.6,"(20.2, 22.8)",45.6,"(44.2, 46.9)",5.6,"( 5.3,  6.0)",41.6,"(38.2, 44.8)",80.1,"(77.7, 82.6)",20.3,"(18.5, 22.1)",49.9,"(48.6, 51.1)",84.2,"(82.2, 86.3)",24.2,"(21.9, 26.5)",50.7,"(49.4, 52.0)",8.3,"( 7.5,  9.2)",33.6,"(25.6, 41.7)","(42.36982865480, -83.0441079178)"
MI,Detroit,2622000,26163522200,2622000-26163522200,655,23.4,"(19.8, 27.6)",39.7,"(38.2, 41.2)",12.3,"(11.7, 13.0)",53,"(51.7, 54.3)",80.7,"(79.7, 81.7)",6,"( 5.6,  6.3)",14.7,"(13.5, 15.9)",12.3,"(11.1, 13.5)",78,"(76.9, 79.1)",71.4,"(69.1, 73.9)",50.3,"(45.3, 54.9)",15.5,"(13.6, 17.6)",16.2,"(12.7, 20.1)",16.1,"(13.0, 19.4)",34.3,"(30.4, 37.8)",38.2,"(34.0, 43.0)",24.5,"(23.0, 26.1)",43.4,"(41.8, 45.0)",6.4,"( 5.9,  6.9)",44.6,"(40.6, 47.9)",84.1,"(80.9, 86.7)",20.7,"(18.8, 22.6)",54.3,"(52.7, 55.5)",85.6,"(83.3, 87.8)",25.3,"(23.0, 27.8)",53.3,"(51.8, 54.6)",9.8,"( 8.7, 11.0)",39.1,"(29.8, 48.3)","(42.35111869720, -83.1065656019)"
MI,Detroit,2622000,26163543700,2622000-26163543700,"2,649",26,"(21.6, 30.6)",32.4,"(31.0, 33.8)",13.7,"(13.0, 14.5)",44.3,"(42.8, 45.7)",72.9,"(71.4, 74.3)",4.3,"( 4.1,  4.4)",17.2,"(15.7, 18.8)",7.6,"( 7.0,  8.1)",74.5,"(73.2, 75.6)",62.6,"(59.5, 66.0)",47.6,"(43.1, 52.2)",13.8,"(12.3, 15.5)",18.9,"(15.6, 22.3)",18,"(14.7, 21.7)",38.8,"(34.7, 42.8)",37,"(32.2, 41.6)",17.1,"(16.1, 18.1)",37.6,"(35.9, 39.3)",4.8,"( 4.4,  5.1)",42.9,"(39.1, 46.6)",82.6,"(79.9, 85.1)",24.7,"(22.3, 27.1)",52.4,"(51.0, 53.6)",85.1,"(83.0, 87.1)",23.5,"(21.4, 25.8)",54.5,"(53.0, 55.9)",6.7,"( 6.0,  7.3)",37.2,"(28.9, 45.2)","(42.38946352950, -83.2386146817)"
