Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
26001970100,26,001,970100,78.1,1.2535,3
26001970400,26,001,970400,74.5,1.5461,3
26001970500,26,001,970500,75.6,1.2508,3
26001970600,26,001,970600,77.7,1.5975,3
26003000100,26,003,000100,79.8,1.4484,3
26003000200,26,003,000200,77.6,0.8599,2
26003000300,26,003,000300,86.2,3.4842,3
26005030200,26,005,030200,86.3,3.6268,3
26005030300,26,005,030300,79.4,0.7573,3
26005030401,26,005,030401,78.4,1.1824,2
26005030402,26,005,030402,79.3,1.1233,3
26005030500,26,005,030500,77.3,0.9227,3
26005030600,26,005,030600,79.5,1.0006,3
26005030702,26,005,030702,79.1,1.4002,3
26005030703,26,005,030703,76.9,1.3167,3
26005030704,26,005,030704,79.3,0.988,3
26005030901,26,005,030901,80.6,1.8242,3
26005030902,26,005,030902,82.6,1.7801,3
26005031000,26,005,031000,75.1,1.4862,3
26005031100,26,005,031100,81.6,1.5098,3
26005031200,26,005,031200,77.8,1.6368,3
26005031300,26,005,031300,78.5,1.2106,3
26005031800,26,005,031800,76,1.3913,3
26005031900,26,005,031900,82,2.9621,3
26005032000,26,005,032000,76.7,1.0146,3
26005032100,26,005,032100,79,1.3808,3
26005032200,26,005,032200,77.5,0.8849,3
26005032401,26,005,032401,76.1,2.0719,2
26005032402,26,005,032402,85.7,2.8564,3
26005032600,26,005,032600,85.6,3.1191,3
26007000100,26,007,000100,79.3,0.931,3
26007000200,26,007,000200,77.7,1.1645,3
26007000300,26,007,000300,77.6,3.3812,2
26007000400,26,007,000400,75.3,2.0928,3
26007000500,26,007,000500,74.7,1.5798,3
26007000600,26,007,000600,76.3,1.4682,3
26007000700,26,007,000700,77.7,1.6324,3
26007000800,26,007,000800,79.1,1.1775,3
26007000900,26,007,000900,77.6,2.8201,3
26009960100,26,009,960100,86.2,2.9672,3
26009960200,26,009,960200,79.3,1.6238,3
26009960300,26,009,960300,77.3,1.612,3
26009960400,26,009,960400,76.9,1.3104,3
26009960500,26,009,960500,81.3,1.4244,3
26009960600,26,009,960600,81,1.4972,3
26009960700,26,009,960700,78.5,1.8245,3
26011970100,26,011,970100,79.2,2.074,3
26011970200,26,011,970200,76.7,1.2632,3
26011970300,26,011,970300,74.5,1.4773,3
26011970400,26,011,970400,79.3,1.7341,3
26011970500,26,011,970500,75.3,1.1343,3
26013000100,26,013,000100,77.4,1.3155,3
26013000200,26,013,000200,75,0.6727,2
26015010100,26,015,010100,78.4,1.0868,3
26015010200,26,015,010200,80.4,1.1289,3
26015010300,26,015,010300,81.7,1.5499,3
26015010401,26,015,010401,78.3,1.7369,3
26015010402,26,015,010402,81.3,1.7951,3
26015010500,26,015,010500,77.6,1.4061,3
26015010600,26,015,010600,78.9,1.337,3
26015010700,26,015,010700,78.2,1.0998,3
26015010800,26,015,010800,79,1.3738,3
26015011300,26,015,011300,76.4,0.7188,2
26015011400,26,015,011400,82.8,2.1786,3
26017280300,26,017,280300,74.8,2.7101,2
26017280400,26,017,280400,73.1,1.8543,3
26017280500,26,017,280500,80.6,1.5999,3
26017280600,26,017,280600,74.3,1.5502,3
26017280700,26,017,280700,69.9,1.4156,3
26017280800,26,017,280800,78,1.4161,3
26017280900,26,017,280900,74.3,1.8405,3
26017281000,26,017,281000,75.8,1.3063,3
26017281300,26,017,281300,76.6,1.6659,3
26017285100,26,017,285100,77.5,1.036,3
26017285201,26,017,285201,79.9,1.2956,3
26017285202,26,017,285202,79.6,1.3527,3
26017285300,26,017,285300,78.5,1.2498,3
26017285400,26,017,285400,81.3,1.5602,3
26017285500,26,017,285500,81.7,1.0402,3
26017285600,26,017,285600,79.4,1.1619,3
26017285700,26,017,285700,78.8,1.1706,3
26017285800,26,017,285800,80.8,1.5657,1
26017285900,26,017,285900,74.6,0.9403,2
26017286000,26,017,286000,77.3,1.3599,3
26017286100,26,017,286100,77.9,1.0188,3
26017286200,26,017,286200,78.4,1.1927,3
26017286300,26,017,286300,75.7,1.1874,3
26017286400,26,017,286400,75.3,1.7173,3
26017286500,26,017,286500,74.1,2.1165,3
26017286600,26,017,286600,74.4,1.1894,3
26019000100,26,019,000100,77.3,0.8655,3
26019000200,26,019,000200,80.5,1.6589,3
26019000300,26,019,000300,77.5,1.9827,3
26019000400,26,019,000400,79.1,1.2884,3
26019000500,26,019,000500,79.1,1.2758,3
26021000300,26,021,000300,69.9,2.6239,3
26021000400,26,021,000400,71.2,2.1114,3
26021000500,26,021,000500,69.6,2.8729,3
26021000600,26,021,000600,72.4,1.1831,2
26021000700,26,021,000700,78.2,1.3812,3
26021000800,26,021,000800,81.9,1.6065,3
26021000900,26,021,000900,78.8,1.6714,3
26021001000,26,021,001000,78.8,1.6408,3
26021001100,26,021,001100,81.7,1.2388,3
26021001300,26,021,001300,83.1,1.5104,3
26021001400,26,021,001400,79.9,1.6427,3
26021001500,26,021,001500,81.9,1.7427,3
26021001600,26,021,001600,86.2,2.114,3
26021001700,26,021,001700,80.3,1.4441,3
26021001800,26,021,001800,79.5,1.2082,3
26021002000,26,021,002000,71.9,1.926,3
26021002100,26,021,002100,67.6,1.7425,3
26021002200,26,021,002200,69,2.2279,3
26021002300,26,021,002300,67.7,2.6885,3
26021002400,26,021,002400,78.5,1.5418,3
