OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,0,1,0,MI,Detroit,2622000,26163534600.000000000000000,2622000-26163534600,1902,18.899999999999999,22.399999999999999,"(42.35551062040, -83.1437193393)",42.355510619999997,-83.143719340000004,18.449999999999999,19.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,1,1,1,MI,Detroit,2622000,26163545800.000000000000000,2622000-26163545800,4708,20.699999999999999,19.800000000000001,"(42.33960909650, -83.2268501957)",42.339609099999997,-83.226850200000001,18.449999999999999,19.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,2,1,2,MI,Detroit,2622000,26163521800.000000000000000,2622000-26163521800,1216,19.699999999999999,26.000000000000000,"(42.34612148010, -83.0712523180)",42.346121480000001,-83.071252319999999,18.449999999999999,19.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,3,1,3,MI,Detroit,2622000,26163511000.000000000000000,2622000-26163511000,1971,19.500000000000000,21.500000000000000,"(42.40082769270, -83.0306599120)",42.400827690000000,-83.030659909999997,18.449999999999999,19.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,4,1,4,MI,Detroit,2622000,26163503500.000000000000000,2622000-26163503500,3936,18.699999999999999,17.399999999999999,"(42.43125399650, -82.9922639783)",42.431254000000003,-82.992263980000004,18.449999999999999,19.699999999999999,1.500000000000000,0.000000000000000,1.500000000000000,3,4.500000000000000
-1,1,5,1,5,MI,Detroit,2622000,26163530800.000000000000000,2622000-26163530800,2130,19.199999999999999,22.600000000000001,"(42.37166638740, -83.1339333679)",42.371666390000001,-83.133933369999994,18.449999999999999,19.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,6,1,6,MI,Detroit,2622000,26163524200.000000000000000,2622000-26163524200,4964,20.699999999999999,20.899999999999999,"(42.30700186290, -83.1291087245)",42.307001860000000,-83.129108720000005,18.449999999999999,19.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,7,1,7,MI,Detroit,2622000,26163505400.000000000000000,2622000-26163505400,3001,20.100000000000001,19.899999999999999,"(42.41864647620, -82.9937651644)",42.418646480000000,-82.993765159999995,18.449999999999999,19.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,8,1,8,MI,Detroit,2622000,26163535100.000000000000000,2622000-26163535100,2067,18.899999999999999,21.300000000000001,"(42.36947858480, -83.1753696434)",42.369478579999999,-83.175369640000000,18.449999999999999,19.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,9,1,9,MI,Detroit,2622000,26163523300.000000000000000,2622000-26163523300,3326,19.699999999999999,19.899999999999999,"(42.31722712290, -83.0975240023)",42.317227119999998,-83.097524000000007,18.449999999999999,19.699999999999999,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
