Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
32003003260,32,003,003260,77.7,1.6162,3
32003003261,32,003,003261,77.9,1.3796,2
32003001402,32,003,001402,76.3,1.452,2
32003003315,32,003,003315,78.9,2.3349,2
32003001401,32,003,001401,73.2,1.897,3
32003000600,32,003,000600,75.3,2.3419,2
32003005824,32,003,005824,81.4,2.2592,2
32003003004,32,003,003004,74.8,1.6212,2
32003003254,32,003,003254,74.3,1.299,3
32003003006,32,003,003006,78.5,2.8603,3
32003003410,32,003,003410,77.4,1.1305,3
32003003251,32,003,003251,80.9,2.3206,3
32003003250,32,003,003250,82.5,2.1663,3
32003003253,32,003,003253,77,1.913,3
32003003003,32,003,003003,78.9,2.7333,3
32003003419,32,003,003419,74.1,1.8144,3
32003000519,32,003,000519,75.6,2.0093,1
32003000518,32,003,000518,76.1,1.5955,3
32003000517,32,003,000517,75.9,1.8648,2
32003000516,32,003,000516,75.3,1.3365,2
32003000515,32,003,000515,75.1,1.9676,1
32003000514,32,003,000514,80.2,3.2421,3
32003000513,32,003,000513,75.8,1.377,3
32003000510,32,003,000510,76.8,3.123,1
32003003311,32,003,003311,79.6,2.876,3
32003000203,32,003,000203,71.2,1.491,1
32003000201,32,003,000201,74.5,2.1093,3
32003003309,32,003,003309,78.6,1.5553,3
32003001100,32,003,001100,69.5,2.0813,3
32003003307,32,003,003307,77.9,1.6821,2
32003003306,32,003,003306,77,1.3776,3
32003003305,32,003,003305,77.4,1.4103,1
32003003313,32,003,003313,78.2,3.6453,3
32003003303,32,003,003303,78.2,1.7218,2
32003003408,32,003,003408,79,2.9537,3
32003002204,32,003,002204,74,1.6727,1
32003002201,32,003,002201,73.4,1.4541,3
32003002203,32,003,002203,77,1.9893,3
32003000108,32,003,000108,77.8,2.0077,3
32003000109,32,003,000109,77.4,1.4134,2
32003001501,32,003,001501,71.7,2.3094,3
32003005823,32,003,005823,81.7,3.1443,2
32003003318,32,003,003318,78,1.6058,3
32003003319,32,003,003319,77.9,1.7506,2
32003003314,32,003,003314,76.7,1.6039,3
32003000101,32,003,000101,79.4,1.659,3
32003003316,32,003,003316,79.8,1.7166,3
32003000103,32,003,000103,74.1,1.845,1
32003003310,32,003,003310,77.9,2.1495,3
32003000105,32,003,000105,75.5,1.4152,3
32003000106,32,003,000106,75.2,2.526,3
32003000107,32,003,000107,74.8,1.6435,3
32003003430,32,003,003430,75.3,1.1429,2
32003003104,32,003,003104,79.6,2.2159,3
32003000204,32,003,000204,65.1,3.4398,3
32003003103,32,003,003103,74,1.4921,3
32003003102,32,003,003102,76.1,2.2478,3
32003003308,32,003,003308,79.8,1.468,2
32003001200,32,003,001200,73.2,1.3623,3
32003003420,32,003,003420,76,1.894,3
32003003421,32,003,003421,77.7,2.0251,3
32003003426,32,003,003426,79,3.2027,3
32003002915,32,003,002915,77.8,2.3441,3
32003002916,32,003,002916,74.8,1.5454,3
32003003321,32,003,003321,85.1,3.2482,3
32003003320,32,003,003320,78.9,1.9027,3
32003003248,32,003,003248,82,2.2889,3
32003003249,32,003,003249,83.5,3.2637,3
32003003242,32,003,003242,78.1,2.3679,3
32003003243,32,003,003243,79,1.4325,3
32003003240,32,003,003240,76.8,2.2805,3
32003003241,32,003,003241,81.1,2.6092,3
32003003246,32,003,003246,79.7,1.6646,3
32003003247,32,003,003247,78.3,1.0927,3
32003003245,32,003,003245,79.2,2.4197,3
32003003412,32,003,003412,76,1.4804,3
32003003500,32,003,003500,72.7,1.6011,3
32003000526,32,003,000526,78,3.0445,3
32003000524,32,003,000524,75.9,3.6376,2
32003000525,32,003,000525,71,1.7271,3
32003000522,32,003,000522,75.9,1.5904,2
32003000523,32,003,000523,75.3,3.1621,2
32003000520,32,003,000520,76.3,2.1888,2
32003000521,32,003,000521,68.4,1.6184,3
32003000528,32,003,000528,75.9,2.9936,2
32003005808,32,003,005808,74,1.4002,3
32003005809,32,003,005809,82.2,2.5408,3
32003000401,32,003,000401,75.3,1.8559,2
32003000403,32,003,000403,75.9,1.5348,2
32003000402,32,003,000402,75.3,2.2663,2
32003005803,32,003,005803,79.9,1.8707,3
32003002905,32,003,002905,75.1,1.5609,3
32003005806,32,003,005806,77.6,1.6472,3
32003005807,32,003,005807,81.6,2.4334,3
32003005804,32,003,005804,76.8,1.46,3
32003005805,32,003,005805,78.9,1.9066,3
32003003239,32,003,003239,78.9,2.4098,2
32003003238,32,003,003238,82.8,3.8363,1
32003003237,32,003,003237,78,1.8504,3
32003003236,32,003,003236,76.5,3.3131,3
32003003233,32,003,003233,79.8,2.0834,2
32003003416,32,003,003416,76.7,1.52,3
32003000800,32,003,000800,67.8,2.8488,3
32003001300,32,003,001300,75.5,1.3167,3
32003001006,32,003,001006,79.5,2.0182,3
32003003428,32,003,003428,75.3,1.6851,2
32003003429,32,003,003429,73.7,1.1528,3
32003003422,32,003,003422,77.7,1.9968,3
32003003423,32,003,003423,77.6,2.4642,3
32003003226,32,003,003226,82.8,2.0756,3
32003003227,32,003,003227,76.2,1.3452,3
32003003220,32,003,003220,76.9,1.4377,3
32003003427,32,003,003427,76.5,1.3975,3
32003003222,32,003,003222,81.8,3.4859,3
32003003413,32,003,003413,74.5,1.7311,3
32003000301,32,003,000301,69.3,1.5217,1
32003003005,32,003,003005,73.6,1.5392,3
32003003409,32,003,003409,76.1,1.2194,3
32003003411,32,003,003411,78,1.3619,3
32003003001,32,003,003001,78,2.1233,3
32003003415,32,003,003415,77.4,2.7843,1
32003003252,32,003,003252,82.9,3.0042,3
32003003215,32,003,003215,83.6,2.5906,3
32003003219,32,003,003219,82.4,1.5739,3
32003003218,32,003,003218,81.9,1.605,3
32003003414,32,003,003414,70.9,2.028,3
32003000302,32,003,000302,72.1,1.6833,3
32003001004,32,003,001004,76.6,1.3901,3
32003001005,32,003,001005,77,1.6318,3
32003001003,32,003,001003,76.7,1.6352,3
