StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
NV,Las Vegas,3240000,32003000900,3240000-32003000900,942,11.8,"(10.1, 14.0)",26.4,"(25.0, 27.8)",15.3,"(14.8, 15.8)",34.3,"(32.8, 35.9)",76,"(74.9, 77.1)",6.5,"( 6.2,  6.8)",7.8,"( 7.4,  8.2)",8.7,"( 7.8,  9.7)",71.9,"(71.0, 72.7)",79.8,"(78.1, 81.4)",58,"(54.4, 61.0)",7.5,"( 6.4,  8.8)",32.6,"(27.5, 37.4)",27.6,"(23.6, 31.3)",17.8,"(15.2, 20.6)",62.2,"(58.5, 65.4)",14.4,"(13.3, 15.5)",39.7,"(38.5, 40.9)",3.3,"( 3.1,  3.6)",23,"(20.8, 25.5)",75.6,"(72.8, 77.9)",12.3,"(11.2, 13.5)",28.5,"(27.2, 29.9)",81.1,"(79.3, 82.9)",14.2,"(12.7, 15.8)",40.2,"(38.7, 41.7)",3.7,"( 3.3,  4.2)",11.8,"( 7.6, 18.0)","(36.16230858860, -115.149315112)"
NV,Las Vegas,3240000,32003003210,3240000-32003003210,"2,446",6,"( 4.4,  8.3)",44.4,"(41.4, 47.4)",6.3,"( 5.9,  6.6)",48.3,"(45.8, 50.9)",88.1,"(87.2, 89.0)",16.2,"(15.3, 17.3)",7.1,"( 6.5,  7.9)",14.9,"(12.9, 17.1)",85.6,"(84.9, 86.4)",93,"(91.9, 93.9)",72.9,"(69.3, 75.7)",9.9,"( 7.8, 12.4)",40.4,"(34.2, 46.2)",33.5,"(28.8, 38.0)",8,"( 6.0, 10.2)",74.4,"(69.4, 79.0)",17.2,"(15.3, 19.3)",49.2,"(47.5, 51.1)",5,"( 4.5,  5.5)",23.5,"(19.3, 27.9)",71.3,"(67.0, 75.1)",7.3,"( 6.1,  8.5)",19.8,"(18.1, 21.6)",79.1,"(73.7, 83.2)",14.2,"(11.8, 16.9)",28.5,"(26.3, 30.7)",5.6,"( 4.6,  6.7)",9.3,"( 5.9, 14.0)","(36.21039540110, -115.328532048)"
NV,Las Vegas,3240000,32003003262,3240000-32003003262,"2,797",6.8,"( 5.0,  9.2)",44.7,"(41.8, 47.3)",6.4,"( 6.1,  6.7)",47.8,"(45.1, 50.5)",88,"(87.0, 88.9)",15.9,"(14.9, 16.9)",7.3,"( 6.7,  8.0)",14.9,"(13.0, 16.8)",85.3,"(84.5, 86.0)",92.9,"(91.8, 93.8)",72.2,"(68.7, 75.3)",10.4,"( 8.2, 12.7)",39.5,"(33.3, 45.7)",32.8,"(28.5, 37.6)",8.9,"( 6.9, 11.0)",72.9,"(67.9, 77.5)",17.7,"(15.8, 19.5)",49.2,"(47.4, 51.0)",5,"( 4.5,  5.5)",24.8,"(20.5, 29.1)",70.9,"(66.1, 75.3)",7.7,"( 6.5,  8.9)",20.6,"(18.9, 22.2)",77.6,"(72.2, 82.3)",14.7,"(12.3, 17.1)",29.2,"(27.1, 31.2)",5.7,"( 4.7,  6.7)",10.1,"( 6.3, 14.6)","(36.19882352310, -115.331948915)"
NV,Las Vegas,3240000,32003003234,3240000-32003003234,"3,690",14,"(11.9, 16.4)",14.4,"(13.7, 15.2)",21.1,"(20.4, 21.8)",17.3,"(16.4, 18.0)",59.2,"(57.9, 60.6)",3.5,"( 3.4,  3.6)",8.5,"( 8.0,  9.1)",3.1,"( 2.8,  3.3)",64.5,"(63.4, 65.5)",68.8,"(66.3, 71.2)",58.1,"(55.0, 61.0)",4.4,"( 3.9,  5.1)",36.6,"(31.0, 42.6)",29.2,"(25.5, 32.9)",19,"(16.0, 22.0)",64,"(60.1, 67.8)",6.3,"( 5.9,  6.7)",25,"(24.1, 25.9)",1.8,"( 1.7,  1.9)",19.1,"(17.0, 21.2)",75.8,"(72.8, 78.3)",14,"(12.6, 15.4)",24,"(22.8, 25.1)",81.4,"(79.1, 83.5)",9.9,"( 8.9, 11.0)",40.9,"(39.3, 42.3)",1.6,"( 1.5,  1.8)",10.9,"( 7.5, 15.0)","(36.28995660670, -115.292398495)"
NV,Las Vegas,3240000,32003003431,3240000-32003003431,"3,214",39.1,"(33.7, 44.1)",17.1,"(16.4, 17.9)",14.7,"(13.9, 15.5)",24.2,"(23.2, 25.1)",59.2,"(57.7, 60.8)",2.7,"( 2.6,  2.8)",10.3,"( 9.5, 11.1)",5.1,"( 4.8,  5.5)",61.3,"(60.0, 62.8)",49.7,"(46.8, 53.0)",37.4,"(34.5, 40.6)",7.6,"( 6.8,  8.3)",21.6,"(18.3, 25.5)",16,"(13.7, 18.7)",27.4,"(24.1, 30.2)",34.6,"(30.2, 39.2)",11.9,"(11.3, 12.6)",31.3,"(29.8, 32.7)",3.2,"( 3.0,  3.4)",38.3,"(34.8, 41.5)",74.1,"(71.5, 76.8)",21.3,"(19.2, 23.2)",34.9,"(33.5, 36.1)",78.9,"(76.7, 81.4)",18.5,"(16.9, 20.2)",46.5,"(44.8, 48.0)",3.3,"( 3.0,  3.5)",33.4,"(27.5, 38.9)","(36.19199717820, -115.184368268)"
NV,Las Vegas,3240000,32003003229,3240000-32003003229,"2,070",14.5,"(12.4, 16.9)",14.3,"(13.6, 15.0)",21.2,"(20.6, 21.9)",17.2,"(16.4, 17.9)",57.9,"(56.5, 59.3)",3.4,"( 3.3,  3.5)",8.6,"( 8.1,  9.1)",3.1,"( 2.9,  3.4)",63.9,"(62.9, 64.9)",67.1,"(64.9, 69.3)",57.2,"(53.8, 60.2)",4.5,"( 4.0,  5.1)",35.7,"(30.3, 41.1)",28.3,"(24.4, 32.3)",19.6,"(16.8, 22.6)",62.5,"(58.7, 66.1)",6.2,"( 5.9,  6.6)",25,"(24.2, 25.8)",1.8,"( 1.7,  1.9)",19.4,"(17.4, 21.4)",75.2,"(72.1, 78.0)",14.6,"(13.3, 16.1)",24.6,"(23.5, 25.6)",81.6,"(79.5, 83.6)",10.2,"( 9.2, 11.2)",41.2,"(39.6, 42.6)",1.6,"( 1.5,  1.8)",11,"( 7.4, 15.7)","(36.31934323900, -115.319517150)"
NV,Las Vegas,3240000,32003003418,3240000-32003003418,"4,121",21,"(18.8, 23.3)",18.9,"(18.3, 19.6)",16.3,"(15.8, 16.8)",23.8,"(23.2, 24.5)",65.2,"(64.3, 66.2)",3.9,"( 3.7,  4.0)",9.4,"( 9.0,  9.9)",4.9,"( 4.6,  5.2)",65.8,"(65.0, 66.6)",62.6,"(60.9, 64.2)",49.7,"(47.1, 52.3)",6.7,"( 6.1,  7.3)",28.6,"(24.3, 33.4)",23,"(19.8, 26.1)",22.4,"(20.2, 24.3)",50.7,"(48.0, 53.7)",10.1,"( 9.7, 10.6)",30.9,"(30.0, 31.7)",2.8,"( 2.7,  2.9)",27.8,"(25.8, 29.7)",75.3,"(73.0, 77.5)",17.3,"(16.1, 18.4)",29.9,"(28.9, 30.9)",80.1,"(78.4, 81.7)",14.3,"(13.4, 15.3)",43.8,"(42.6, 44.9)",2.8,"( 2.6,  3.0)",19.6,"(15.3, 24.4)","(36.19977758370, -115.252466163)"
NV,Las Vegas,3240000,32003003213,3240000-32003003213,"1,951",6.5,"( 4.8,  9.0)",45,"(41.9, 48.5)",5.8,"( 5.6,  6.1)",48.7,"(45.9, 51.6)",88.3,"(87.4, 89.2)",16.6,"(15.6, 17.6)",7.1,"( 6.5,  8.0)",15.2,"(13.0, 17.9)",85.9,"(85.0, 86.6)",92.6,"(91.3, 93.7)",72.4,"(68.6, 75.7)",10.1,"( 7.8, 13.1)",40,"(33.1, 46.3)",32.7,"(27.5, 37.2)",7.8,"( 5.8, 10.3)",73.8,"(67.6, 78.8)",17.2,"(15.1, 19.6)",49.2,"(47.4, 51.2)",5.1,"( 4.5,  5.8)",24.3,"(19.7, 29.9)",71,"(66.0, 75.3)",7.3,"( 6.1,  8.8)",19.3,"(17.6, 21.2)",78.3,"(72.6, 82.9)",14.5,"(11.8, 17.8)",28.3,"(26.0, 30.6)",5.8,"( 4.7,  7.2)",9.7,"( 5.8, 15.0)","(36.20926844560, -115.311174586)"
NV,Las Vegas,3240000,32003000700,3240000-32003000700,"5,186",27.3,"(23.6, 30.9)",20.6,"(19.7, 21.5)",18,"(17.3, 18.8)",29.7,"(28.8, 30.6)",65,"(63.8, 66.2)",3.8,"( 3.7,  4.0)",9.1,"( 8.5,  9.7)",7.5,"( 6.9,  8.1)",63.7,"(62.7, 64.9)",57.8,"(55.4, 60.3)",44.7,"(40.9, 48.7)",9,"( 8.0,  9.9)",25.6,"(20.9, 30.9)",20,"(16.8, 23.2)",29.6,"(26.6, 32.5)",40.2,"(36.7, 44.2)",12.9,"(12.2, 13.6)",35.3,"(34.1, 36.6)",3.2,"( 3.0,  3.4)",32.2,"(29.6, 34.9)",72.1,"(68.7, 75.3)",18.5,"(17.0, 20.1)",33.6,"(32.4, 34.6)",77.7,"(75.6, 79.7)",17.6,"(16.1, 19.0)",46.3,"(45.0, 47.5)",3.9,"( 3.6,  4.3)",27.9,"(20.4, 36.5)","(36.17012940200, -115.141186918)"
NV,Las Vegas,3240000,32003003211,3240000-32003003211,"2,997",6.8,"( 5.1,  8.9)",45.3,"(42.4, 48.0)",6.3,"( 6.0,  6.6)",48.2,"(45.3, 50.8)",87.9,"(86.8, 88.8)",16.4,"(15.4, 17.6)",7.2,"( 6.6,  8.0)",15.4,"(13.3, 17.7)",85.4,"(84.6, 86.2)",92.4,"(91.0, 93.5)",71.6,"(67.9, 74.7)",10.4,"( 8.3, 12.7)",39.5,"(33.1, 46.5)",31.9,"(27.0, 36.9)",8.5,"( 6.5, 10.6)",73,"(67.3, 77.8)",17.2,"(15.4, 19.1)",48.7,"(46.8, 50.6)",5.1,"( 4.6,  5.7)",25.3,"(20.9, 29.9)",71.3,"(66.9, 75.1)",7.7,"( 6.6,  8.8)",19.8,"(18.1, 21.2)",77.7,"(72.6, 82.0)",15,"(12.7, 17.5)",29.1,"(27.0, 31.0)",5.9,"( 4.9,  7.2)",10.5,"( 6.6, 15.6)","(36.21522035310, -115.296817635)"
