Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
32001950100,32,001,950100,81.3,2.3535,3
32001950301,32,001,950301,72.2,1.7439,3
32001950302,32,001,950302,75.4,0.9853,3
32001950500,32,001,950500,80,2.5905,3
32001950600,32,001,950600,81.1,2.363,3
32001950700,32,001,950700,78.4,1.2967,2
32003000101,32,003,000101,79.4,1.659,3
32003000103,32,003,000103,74.1,1.845,1
32003000105,32,003,000105,75.5,1.4152,3
32003000106,32,003,000106,75.2,2.526,3
32003000107,32,003,000107,74.8,1.6435,3
32003000108,32,003,000108,77.8,2.0077,3
32003000109,32,003,000109,77.4,1.4134,2
32003000201,32,003,000201,74.5,2.1093,3
32003000203,32,003,000203,71.2,1.491,1
32003000204,32,003,000204,65.1,3.4398,3
32003000301,32,003,000301,69.3,1.5217,1
32003000302,32,003,000302,72.1,1.6833,3
32003000401,32,003,000401,75.3,1.8559,2
32003000402,32,003,000402,75.3,2.2663,2
32003000403,32,003,000403,75.9,1.5348,2
32003000510,32,003,000510,76.8,3.123,1
32003000513,32,003,000513,75.8,1.377,3
32003000514,32,003,000514,80.2,3.2421,3
32003000515,32,003,000515,75.1,1.9676,1
32003000516,32,003,000516,75.3,1.3365,2
32003000517,32,003,000517,75.9,1.8648,2
32003000518,32,003,000518,76.1,1.5955,3
32003000519,32,003,000519,75.6,2.0093,1
32003000520,32,003,000520,76.3,2.1888,2
32003000521,32,003,000521,68.4,1.6184,3
32003000522,32,003,000522,75.9,1.5904,2
32003000523,32,003,000523,75.3,3.1621,2
32003000524,32,003,000524,75.9,3.6376,2
32003000525,32,003,000525,71,1.7271,3
32003000526,32,003,000526,78,3.0445,3
32003000528,32,003,000528,75.9,2.9936,2
32003000600,32,003,000600,75.3,2.3419,2
32003000800,32,003,000800,67.8,2.8488,3
32003001003,32,003,001003,76.7,1.6352,3
32003001004,32,003,001004,76.6,1.3901,3
32003001005,32,003,001005,77,1.6318,3
32003001006,32,003,001006,79.5,2.0182,3
32003001100,32,003,001100,69.5,2.0813,3
32003001200,32,003,001200,73.2,1.3623,3
32003001300,32,003,001300,75.5,1.3167,3
32003001401,32,003,001401,73.2,1.897,3
32003001402,32,003,001402,76.3,1.452,2
32003001501,32,003,001501,71.7,2.3094,3
32003001502,32,003,001502,75.9,1.6608,2
32003001607,32,003,001607,75.9,1.4671,2
32003001608,32,003,001608,68.1,1.84,3
32003001609,32,003,001609,75.9,1.4107,2
32003001610,32,003,001610,77.4,1.3612,2
32003001611,32,003,001611,75.8,1.2281,3
32003001612,32,003,001612,75.4,1.5684,1
32003001613,32,003,001613,74,2.2128,1
32003001706,32,003,001706,72.7,1.5029,3
32003001707,32,003,001707,76.5,2.9575,3
32003001708,32,003,001708,76.5,1.5653,3
32003001709,32,003,001709,74,1.9635,3
32003001710,32,003,001710,72.5,1.4439,3
32003001711,32,003,001711,81.2,3.1461,3
32003001712,32,003,001712,76.4,1.4141,3
32003001713,32,003,001713,73.6,1.303,3
32003001714,32,003,001714,75.6,1.5205,3
32003001715,32,003,001715,74.3,2.1731,3
32003001716,32,003,001716,75.3,1.4669,3
32003001717,32,003,001717,77.4,1.7951,3
32003001718,32,003,001718,66.5,3.7495,3
32003001801,32,003,001801,75.9,1.1824,2
32003001803,32,003,001803,75.7,2.7871,3
32003001804,32,003,001804,77.6,1.7637,3
32003001901,32,003,001901,75.9,2.6403,1
32003001902,32,003,001902,76.8,2.3146,1
