StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long
TN,Memphis,4748000,47157010820,4748000-47157010820,4146,14.7,15.6,"(35.05562154140, -89.8758534856)",35.05562154140,-89.8758534856
TN,Memphis,4748000,47157002400,4748000-47157002400,1839,18.8,21.4,"(35.15114911430, -90.0266476494)",35.15114911430,-90.0266476494
TN,Memphis,4748000,47157011020,4748000-47157011020,1615,16.4,16.1,"(35.04039758550, -89.9453385844)",35.04039758550,-89.9453385844
TN,Memphis,4748000,47157003400,4748000-47157003400,2099,15.4,14.2,"(35.13758452680, -90.0077830334)",35.13758452680,-90.0077830334
TN,Memphis,4748000,47157000100,4748000-47157000100,5394,10.2,7,"(35.17317849880, -90.0515798019)",35.17317849880,-90.0515798019
TN,Memphis,4748000,47157008000,4748000-47157008000,5174,17.2,18.4,"(35.10045798450, -89.9399787328)",35.10045798450,-89.9399787328
TN,Memphis,4748000,47157001600,4748000-47157001600,3158,12.6,9.5,"(35.15136014050, -89.9898342210)",35.15136014050,-89.9898342210
TN,Memphis,4748000,47157010300,4748000-47157010300,1478,20.2,22,"(35.24871793210, -89.9827911927)",35.24871793210,-89.9827911927
TN,Memphis,4748000,47157011500,4748000-47157011500,2914,19.9,24.5,"(35.11516832140, -90.0237467090)",35.11516832140,-90.0237467090
TN,Memphis,4748000,47157005500,4748000-47157005500,2731,18.3,21,"(35.09392640460, -90.0593626816)",35.09392640460,-90.0593626816
TN,Memphis,4748000,47157003000,4748000-47157003000,2938,14.6,18.3,"(35.13546618550, -89.9540526144)",35.13546618550,-89.9540526144
TN,Memphis,4748000,47157008800,4748000-47157008800,6854,22.4,24.4,"(35.17132173990, -89.9252083423)",35.17132173990,-89.9252083423
TN,Memphis,4748000,47157009600,4748000-47157009600,4830,9.1,10.7,"(35.11809407890, -89.8810597107)",35.11809407890,-89.8810597107
TN,Memphis,4748000,47157009800,4748000-47157009800,3110,17,18.3,"(35.15887949700, -89.8968833402)",35.15887949700,-89.8968833402
