StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
TN,Memphis,4748000,47157000200,4748000-47157000200,"1,033",28,"(23.9, 32.6)",32.9,"(31.6, 34.3)",8.7,"( 8.1,  9.3)",49.7,"(48.3, 51.0)",79.8,"(78.5, 81.1)",4.4,"( 4.2,  4.7)",14.8,"(13.6, 16.3)",8.5,"( 7.7,  9.2)",74.4,"(73.0, 75.6)",68,"(65.1, 70.8)",54,"(49.3, 58.5)",12.6,"(11.2, 14.3)",15.3,"(11.1, 20.2)",21.5,"(17.0, 26.7)",34.5,"(30.6, 38.3)",33.1,"(28.9, 37.3)",20.8,"(19.6, 21.9)",38.7,"(37.1, 40.3)",4.9,"( 4.6,  5.3)",44,"(40.4, 47.6)",83.8,"(80.7, 86.4)",21.7,"(19.6, 24.0)",51.3,"(49.8, 52.6)",83.2,"(80.6, 85.7)",23.1,"(21.0, 25.4)",48.7,"(47.2, 50.2)",7.3,"( 6.5,  8.0)",40,"(31.2, 50.3)","(35.16825753020, -90.0429048978)"
TN,Memphis,4748000,47157003400,4748000-47157003400,"2,099",15,"(11.9, 18.2)",24.4,"(23.0, 25.7)",14.8,"(14.1, 15.5)",32.3,"(31.0, 33.7)",74.6,"(73.3, 75.8)",4.5,"( 4.3,  4.7)",10.6,"( 9.8, 11.5)",5.6,"( 4.9,  6.2)",65.9,"(64.8, 67.1)",74.2,"(71.5, 76.5)",61.8,"(57.1, 66.4)",7.7,"( 6.5,  9.1)",26.6,"(20.6, 32.7)",33.2,"(26.8, 38.8)",23.4,"(19.5, 27.7)",57.9,"(52.8, 62.4)",10,"( 9.2, 10.9)",33.8,"(32.6, 35.1)",2.7,"( 2.5,  2.9)",24.9,"(22.0, 28.1)",82.1,"(78.0, 85.3)",15.4,"(13.6, 17.4)",34.7,"(33.2, 36.3)",83.1,"(80.0, 85.7)",14.2,"(12.4, 16.1)",36.8,"(35.1, 38.6)",3.1,"( 2.7,  3.5)",16.9,"( 9.9, 27.1)","(35.13758452680, -90.0077830334)"
TN,Memphis,4748000,47157010620,4748000-47157010620,"4,026",28.8,"(24.1, 33.8)",23.9,"(22.7, 25.2)",10.8,"(10.1, 11.5)",41.2,"(39.5, 42.7)",72,"(70.4, 73.6)",2.9,"( 2.8,  3.1)",14.1,"(12.8, 15.7)",4.9,"( 4.5,  5.4)",70.5,"(68.9, 71.8)",60.2,"(56.8, 63.7)",53.1,"(48.1, 57.9)",9.1,"( 7.9, 10.4)",16.8,"(12.9, 21.2)",24.2,"(20.4, 28.4)",32.9,"(28.7, 37.4)",36.4,"(31.6, 41.5)",13.6,"(12.7, 14.5)",33,"(31.4, 34.7)",3.3,"( 3.1,  3.6)",38.8,"(34.8, 42.8)",84.5,"(81.2, 87.3)",21.2,"(18.7, 23.8)",47.2,"(45.4, 48.8)",83,"(80.3, 85.4)",18.6,"(16.6, 20.8)",47.5,"(45.6, 49.2)",4.3,"( 3.8,  4.8)",34,"(26.3, 42.3)","(35.05798834280, -89.9272044875)"
TN,Memphis,4748000,47157021900,4748000-47157021900,"5,031",20.6,"(17.0, 24.6)",29.3,"(27.6, 30.9)",10.5,"( 9.9, 11.1)",46.9,"(45.2, 48.6)",80.3,"(79.0, 81.5)",4.3,"( 4.0,  4.5)",12.9,"(11.9, 14.1)",6,"( 5.4,  6.7)",75.8,"(74.6, 76.9)",74.4,"(71.7, 77.1)",60.8,"(56.0, 65.4)",8.7,"( 7.4, 10.2)",18.9,"(14.5, 24.4)",28.2,"(23.1, 34.0)",27.6,"(23.5, 31.3)",46.9,"(41.9, 51.8)",16.7,"(15.2, 18.0)",36.2,"(34.7, 37.8)",3.6,"( 3.3,  3.9)",34.5,"(30.7, 38.2)",85.3,"(81.8, 88.1)",16.9,"(15.0, 18.8)",46.9,"(44.9, 48.7)",84.8,"(82.2, 87.1)",17.4,"(15.4, 19.5)",46.4,"(44.4, 48.2)",4.8,"( 4.2,  5.4)",24.7,"(17.5, 32.8)","(35.00931904800, -89.9618636285)"
TN,Memphis,4748000,47157004200,4748000-47157004200,"2,348",8.2,"( 6.7, 10.1)",17.4,"(16.7, 18.3)",19.5,"(18.8, 20.3)",26.5,"(25.6, 27.7)",72.5,"(71.1, 73.8)",4.2,"( 4.0,  4.3)",8.3,"( 8.0,  8.6)",3.2,"( 2.9,  3.5)",66.9,"(66.0, 67.8)",79.6,"(77.6, 81.0)",73.8,"(71.2, 75.9)",3.6,"( 3.1,  4.1)",33.7,"(28.1, 39.6)",42.6,"(38.2, 47.0)",13.5,"(11.0, 16.6)",75.1,"(71.8, 77.7)",6.3,"( 5.9,  6.8)",28.5,"(27.6, 29.3)",1.7,"( 1.6,  1.8)",14,"(12.5, 15.8)",84.9,"(82.8, 86.7)",9.5,"( 8.6, 10.7)",28.1,"(26.9, 29.6)",86.6,"(84.5, 88.1)",7.6,"( 6.9,  8.5)",32.6,"(31.3, 34.1)",1.6,"( 1.5,  1.8)",6.1,"( 4.1,  9.1)","(35.14428478110, -90.0582100389)"
TN,Memphis,4748000,47157020521,4748000-47157020521,"3,693",23.5,"(19.8, 27.5)",27.9,"(26.6, 29.2)",10,"( 9.4, 10.6)",43.5,"(41.9, 44.9)",76.4,"(74.9, 77.9)",3.7,"( 3.5,  3.9)",13.9,"(12.9, 15.3)",5.7,"( 5.3,  6.2)",73.4,"(72.1, 74.5)",68,"(64.7, 70.8)",55.5,"(50.9, 59.7)",9.8,"( 8.6, 11.0)",18.8,"(15.3, 22.6)",24.7,"(20.6, 29.5)",31.4,"(27.5, 35.2)",39.7,"(35.3, 44.3)",15.6,"(14.5, 16.6)",34.5,"(33.0, 36.1)",3.7,"( 3.4,  4.0)",37.9,"(34.1, 41.5)",84.6,"(81.8, 86.8)",20.2,"(18.2, 22.4)",48.3,"(46.3, 49.8)",84.6,"(82.3, 86.7)",19.1,"(17.2, 20.9)",47.4,"(45.5, 49.1)",4.9,"( 4.4,  5.4)",29.6,"(22.1, 38.1)","(35.24671042090, -89.9536762671)"
TN,Memphis,4748000,47157003700,4748000-47157003700,"1,345",23.4,"(20.1, 27.0)",37.3,"(35.8, 38.6)",8.9,"( 8.5,  9.3)",50.4,"(49.3, 51.5)",84.4,"(83.7, 85.2)",6.4,"( 6.0,  6.7)",12.9,"(12.0, 13.8)",11.9,"(10.6, 13.1)",73.6,"(72.7, 74.4)",72.3,"(70.1, 74.1)",59,"(54.6, 63.2)",13.7,"(11.7, 15.5)",16.6,"(12.5, 21.1)",22.1,"(17.8, 26.9)",28,"(24.7, 31.3)",39.1,"(35.1, 43.3)",23.3,"(21.7, 24.8)",42.9,"(41.6, 44.3)",5.9,"( 5.4,  6.4)",40.9,"(37.1, 44.1)",83.5,"(80.9, 86.2)",18.4,"(16.7, 20.2)",45,"(43.5, 46.5)",80.6,"(77.9, 83.1)",22.4,"(20.0, 24.6)",42.3,"(40.7, 43.7)",8.8,"( 7.6, 10.1)",35.3,"(24.4, 46.8)","(35.13553451240, -90.0278933981)"
TN,Memphis,4748000,47157980400,4748000-47157980400,293,21.2,"(16.4, 25.8)",19.4,"(17.9, 20.9)",12.1,"(11.1, 13.0)",27.5,"(25.7, 29.1)",67.1,"(64.9, 69.1)",2.8,"( 2.6,  3.0)",16.3,"(14.3, 18.3)",2.2,"( 2.0,  2.6)",70.1,"(68.2, 71.7)",65.4,"(61.3, 69.9)",59.9,"(53.3, 67.2)",6.4,"( 5.3,  7.5)",25.1,"(17.0, 35.6)",35.3,"(24.4, 48.9)",29.5,"(24.7, 33.9)",52.8,"(46.6, 59.5)",6.8,"( 6.1,  7.6)",25.2,"(23.4, 26.9)",1.9,"( 1.7,  2.1)",30.1,"(25.9, 34.0)",82.4,"(77.9, 86.5)",20.9,"(18.0, 23.8)",36.8,"(34.8, 38.5)",80.9,"(78.6, 83.3)",13.7,"(11.6, 15.7)",43.8,"(41.5, 45.7)",2,"( 1.7,  2.4)",18.1,"( 8.7, 27.7)","(35.13604703080, -89.8330412203)"
TN,Memphis,4748000,47157021725,4748000-47157021725,"4,073",21.4,"(17.6, 25.5)",18.4,"(17.4, 19.5)",13.5,"(12.8, 14.3)",33.1,"(31.7, 34.6)",67.8,"(66.1, 69.7)",2.7,"( 2.6,  2.8)",12.1,"(11.1, 13.5)",3.1,"( 2.9,  3.4)",70.4,"(69.0, 71.6)",65.9,"(62.5, 69.0)",60.3,"(55.8, 64.4)",5.6,"( 4.9,  6.5)",22.1,"(18.3, 26.0)",30.6,"(26.4, 34.4)",25.1,"(21.0, 29.1)",50,"(45.0, 55.1)",9.2,"( 8.5,  9.9)",27.1,"(25.9, 28.4)",2.4,"( 2.2,  2.5)",28.2,"(24.5, 31.9)",84.8,"(82.0, 87.1)",16.6,"(14.6, 19.0)",41.4,"(39.4, 43.2)",85,"(82.3, 87.5)",12.9,"(11.5, 14.5)",44.4,"(42.3, 46.3)",2.5,"( 2.3,  2.9)",20,"(14.6, 26.2)","(35.06423482290, -89.8509632423)"
TN,Memphis,4748000,47157021747,4748000-47157021747,"4,035",19.5,"(16.6, 23.0)",23.8,"(22.6, 25.1)",12.7,"(12.2, 13.3)",38.1,"(36.6, 39.5)",76,"(74.7, 77.2)",3.7,"( 3.6,  3.9)",11.5,"(10.7, 12.5)",4.5,"( 4.1,  4.9)",72.7,"(71.7, 73.7)",76,"(73.7, 78.2)",63.7,"(59.9, 67.2)",6.6,"( 5.8,  7.5)",22.6,"(18.4, 27.1)",32.3,"(27.4, 37.7)",24.6,"(21.2, 27.9)",53.3,"(49.2, 57.6)",12.3,"(11.4, 13.2)",31.4,"(30.3, 32.6)",2.8,"( 2.6,  2.9)",29.1,"(26.0, 32.1)",84.5,"(81.6, 86.8)",15.2,"(13.7, 16.7)",42.9,"(41.2, 44.3)",85.4,"(83.4, 87.2)",14.2,"(12.7, 15.7)",44.2,"(42.5, 45.7)",3.2,"( 2.9,  3.6)",18.3,"(12.7, 24.2)","(35.02633982390, -89.8411279875)"
