Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
47037016000,47,037,016000,68.8,3.0627,3
47037018804,47,037,018804,86.2,3.2161,3
47037013300,47,037,013300,67.7,1.2348,3
47037011600,47,037,011600,76.5,1.3315,3
47037010202,47,037,010202,76.1,1.2794,3
47037010201,47,037,010201,76.6,1.3925,3
47037019106,47,037,019106,80.6,2.3562,3
47037019105,47,037,019105,77.6,2.1749,3
47037019109,47,037,019109,75.6,2.2722,2
47037019108,47,037,019108,81.3,3.3941,3
47037018203,47,037,018203,87.2,3.392,3
47037018202,47,037,018202,80.5,1.5296,3
47037018201,47,037,018201,81.7,1.6188,3
47037014300,47,037,014300,69.8,2.4238,3
47037011002,47,037,011002,74.8,1.5004,3
47037015804,47,037,015804,75.1,1.6812,3
47037014200,47,037,014200,73.1,1.6904,2
47037015802,47,037,015802,73.1,1.3063,3
47037015100,47,037,015100,76.9,1.3563,3
47037019110,47,037,019110,80.6,3.0995,3
47037017300,47,037,017300,71,1.3855,3
47037011200,47,037,011200,74.4,1.3547,3
47037010602,47,037,010602,74.1,1.7791,3
47037010601,47,037,010601,76.8,1.2545,2
47037016300,47,037,016300,73.7,2.5329,3
47037018803,47,037,018803,82.9,1.899,3
47037019111,47,037,019111,77.4,2.7604,3
47037019112,47,037,019112,76.8,2.0451,2
47037019114,47,037,019114,81.6,1.5259,3
47037019115,47,037,019115,85.5,3.9267,3
47037019116,47,037,019116,79.9,2.3581,3
47037019117,47,037,019117,79.4,1.5816,2
47037019118,47,037,019118,77.6,2.1659,2
47037017702,47,037,017702,84.9,2.1808,3
47037017701,47,037,017701,79.6,1.347,3
47037018101,47,037,018101,76.9,2.7114,3
47037018102,47,037,018102,82.4,1.4399,3
47037015402,47,037,015402,79,2.349,3
47037018801,47,037,018801,82.8,1.4526,3
47037015401,47,037,015401,77.4,1.1743,3
47037012701,47,037,012701,73.5,2.1317,1
47037015404,47,037,015404,77.4,1.6134,3
47037015405,47,037,015405,77.9,1.7637,3
47037015502,47,037,015502,75,1.6187,3
47037015619,47,037,015619,77.9,1.697,3
47037015618,47,037,015618,74.4,1.1614,3
47037012600,47,037,012600,67.8,2.2063,3
47037015613,47,037,015613,76.1,1.5996,3
47037015610,47,037,015610,79.4,1.2274,3
47037015617,47,037,015617,78.1,1.9176,3
47037015615,47,037,015615,73.8,1.4872,3
47037015614,47,037,015614,76.5,2.0485,3
47037016700,47,037,016700,83.3,1.2766,3
47037017000,47,037,017000,79,2.6154,3
47037010501,47,037,010501,72.4,1.1038,3
47037010502,47,037,010502,76.4,1.1999,3
47037011700,47,037,011700,73.6,1.3038,3
47037017800,47,037,017800,80.1,1.2461,2
47037018500,47,037,018500,83.7,1.3486,3
47037012802,47,037,012802,69.6,1.385,3
47037012801,47,037,012801,73.3,1.2913,3
47037015900,47,037,015900,69.9,1.7898,3
47037017401,47,037,017401,73.6,2.0924,3
47037011300,47,037,011300,70.8,1.4886,3
47037016200,47,037,016200,69.1,2.0623,3
47037019400,47,037,019400,68.7,1.4057,3
47037010904,47,037,010904,73.7,2.3831,3
47037010901,47,037,010901,77.3,2.0816,3
47037010903,47,037,010903,72.3,1.6404,3
47037012702,47,037,012702,75.2,1.9246,3
47037010104,47,037,010104,75.5,1.5615,3
47037010105,47,037,010105,74.7,1.2312,3
47037010106,47,037,010106,73.2,1.927,3
47037018000,47,037,018000,84.6,1.852,3
47037010103,47,037,010103,77.4,1.5034,3
47037013100,47,037,013100,76.6,1.2842,2
47037015631,47,037,015631,74.2,1.5417,3
47037019300,47,037,019300,66.3,1.8221,1
47037016600,47,037,016600,72.9,1.6025,3
47037017100,47,037,017100,77.9,3.1457,3
47037015200,47,037,015200,76.8,1.4972,3
47037018409,47,037,018409,79.1,1.4435,3
47037018408,47,037,018408,79.6,1.6683,3
47037017901,47,037,017901,81.9,1.4053,3
47037017902,47,037,017902,82.3,1.0509,3
47037018401,47,037,018401,79.2,1.5867,3
47037018405,47,037,018405,80,1.7657,3
47037018404,47,037,018404,80.3,2.3423,3
47037018407,47,037,018407,80.1,1.8963,3
47037015622,47,037,015622,78.8,1.3791,2
47037015623,47,037,015623,77.5,2.016,3
47037018700,47,037,018700,83.8,1.4424,3
47037010402,47,037,010402,73.9,2.5972,3
47037015626,47,037,015626,76.7,3.371,2
47037015627,47,037,015627,78.6,2.2219,3
47037011400,47,037,011400,71.6,1.2341,3
47037015625,47,037,015625,78.2,2.1215,2
47037015628,47,037,015628,75.1,2.6674,3
47037015629,47,037,015629,75.3,3.3037,2
47037013601,47,037,013601,71.1,1.6759,3
47037013800,47,037,013800,68.8,2.3527,1
47037011001,47,037,011001,70.2,1.2185,3
47037010801,47,037,010801,75.4,1.4089,3
47037010802,47,037,010802,78.6,1.7476,3
47037011800,47,037,011800,69.6,1.936,3
47037016900,47,037,016900,84,3.1636,3
47037010401,47,037,010401,76.5,1.4541,3
47037011900,47,037,011900,74.4,1.9365,3
47037016100,47,037,016100,71.1,2.6584,3
47037016800,47,037,016800,79.8,2.4669,2
47037013202,47,037,013202,76.1,1.5112,2
47037018905,47,037,018905,78.5,3.0148,3
47037018410,47,037,018410,80.8,2.2353,3
47037013201,47,037,013201,77.6,1.6154,3
47037018901,47,037,018901,77,1.7881,3
47037018902,47,037,018902,79.7,1.75,2
47037019003,47,037,019003,76.1,1.6774,3
47037019006,47,037,019006,76.2,1.4347,1
47037019004,47,037,019004,76.1,1.6292,3
47037019005,47,037,019005,74.7,1.6253,2
47037018302,47,037,018302,78.6,2.8548,3
47037018301,47,037,018301,80.5,1.9716,3
47037015300,47,037,015300,77.6,1.1828,3
47037012100,47,037,012100,79,2.6704,3
47037017200,47,037,017200,67.6,3.3487,3
