StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
TN,Nashville,4752006,47037012200,4752006-47037012200,"2,056",10.3,"( 7.7, 13.7)",20.7,"(19.3, 22.0)",20,"(19.1, 20.9)",26.5,"(25.2, 28.0)",72.3,"(70.6, 73.7)",4.9,"( 4.7,  5.1)",9.5,"( 8.8, 10.4)",4,"( 3.5,  4.5)",66.2,"(64.7, 67.5)",78.5,"(75.3, 81.1)",68.7,"(63.9, 72.3)",5.1,"( 4.1,  6.2)",35.2,"(28.3, 41.6)",40.4,"(33.4, 46.3)",18.5,"(14.1, 23.5)",71.7,"(66.2, 76.3)",6.8,"( 6.2,  7.4)",31.7,"(30.5, 33.2)",2,"( 1.8,  2.1)",18.7,"(15.6, 22.0)",80.7,"(76.2, 83.8)",11.6,"( 9.8, 13.8)",27.5,"(25.8, 29.1)",86.7,"(83.5, 89.0)",9.9,"( 8.3, 11.5)",36.3,"(34.3, 38.4)",1.9,"( 1.7,  2.2)",9.8,"( 5.5, 16.1)","(36.17016881870, -86.7363924126)"
TN,Nashville,4752006,47037015501,4752006-47037015501,"3,383",11.5,"( 9.6, 13.8)",23.9,"(22.7, 25.0)",18.5,"(17.9, 19.3)",29.8,"(28.6, 31.0)",75.6,"(74.5, 76.8)",5.9,"( 5.6,  6.2)",9.4,"( 8.9, 10.0)",5.2,"( 4.7,  5.7)",67.6,"(66.7, 68.6)",77.3,"(75.1, 79.3)",68.4,"(64.7, 71.7)",6.2,"( 5.3,  7.0)",33.7,"(27.5, 39.4)",37.5,"(32.0, 42.9)",19.9,"(16.6, 23.2)",68.6,"(65.0, 72.0)",8,"( 7.4,  8.6)",34.8,"(33.7, 36.0)",2.3,"( 2.2,  2.5)",21.9,"(19.4, 24.6)",79.2,"(76.0, 82.2)",12.2,"(10.9, 13.5)",27.7,"(26.2, 28.9)",83.7,"(81.3, 86.0)",11.1,"( 9.9, 12.3)",37.1,"(35.4, 38.7)",2.4,"( 2.1,  2.7)",11.6,"( 7.4, 16.7)","(36.17093688670, -86.6444218030)"
TN,Nashville,4752006,47037019500,4752006-47037019500,"5,916",13.6,"(11.7, 15.9)",17.5,"(16.8, 18.2)",20.6,"(20.1, 21.2)",27.5,"(26.6, 28.5)",68.4,"(67.3, 69.4)",3.5,"( 3.4,  3.6)",9,"( 8.6,  9.5)",4,"( 3.7,  4.4)",64.2,"(63.4, 64.9)",71.1,"(69.0, 72.9)",62.2,"(59.1, 64.9)",5.1,"( 4.6,  5.7)",29.9,"(26.1, 33.4)",35.2,"(32.4, 38.0)",21.4,"(18.9, 24.4)",62.7,"(59.6, 65.7)",7.6,"( 7.1,  8.1)",30.5,"(29.7, 31.4)",2,"( 1.9,  2.1)",21,"(19.2, 23.0)",80.5,"(78.3, 82.3)",12.6,"(11.6, 13.7)",30.5,"(29.4, 31.6)",83.5,"(81.3, 85.3)",10.4,"( 9.5, 11.3)",39.7,"(38.5, 40.9)",2.1,"( 1.9,  2.3)",13,"( 9.7, 17.0)","(36.15764352000, -86.7816792716)"
TN,Nashville,4752006,47037015803,4752006-47037015803,"2,771",34.2,"(29.7, 38.3)",18.2,"(17.5, 18.9)",17.7,"(16.8, 18.6)",29.8,"(28.7, 30.7)",63.1,"(61.6, 64.4)",2.7,"( 2.7,  2.8)",10.7,"(10.0, 11.4)",4.4,"( 4.1,  4.7)",59.1,"(57.8, 60.4)",55.7,"(53.0, 58.5)",48.2,"(44.7, 51.7)",7.2,"( 6.5,  7.9)",23.2,"(19.0, 27.8)",25.8,"(21.9, 29.6)",31.5,"(28.4, 34.2)",42.2,"(38.3, 46.3)",9.1,"( 8.7,  9.6)",33.5,"(32.2, 34.7)",2.5,"( 2.4,  2.7)",36,"(33.3, 38.8)",78.6,"(75.7, 81.3)",18.6,"(17.0, 20.1)",37.4,"(36.1, 38.6)",82.2,"(80.1, 84.2)",16,"(14.7, 17.3)",44.2,"(42.8, 45.4)",2.6,"( 2.4,  2.8)",28.2,"(22.7, 33.7)","(36.13538224570, -86.7150553656)"
TN,Nashville,4752006,47037015624,4752006-47037015624,"4,509",13.2,"(11.3, 15.4)",21.1,"(20.2, 22.1)",18.8,"(18.1, 19.5)",27.4,"(26.3, 28.4)",71.1,"(69.9, 72.4)",4.4,"( 4.2,  4.5)",10.3,"( 9.8, 10.9)",4,"( 3.7,  4.4)",66.3,"(65.4, 67.3)",74.6,"(72.6, 76.5)",64.8,"(61.3, 67.9)",5.9,"( 5.3,  6.7)",31.2,"(25.9, 37.1)",37.6,"(32.4, 43.3)",22.7,"(19.6, 25.8)",64.7,"(61.3, 68.0)",7.5,"( 7.0,  7.9)",31.6,"(30.7, 32.6)",2.1,"( 2.0,  2.2)",22.9,"(20.6, 25.2)",80.1,"(76.8, 83.0)",13.9,"(12.7, 15.3)",30.8,"(29.4, 32.0)",84.8,"(82.9, 86.8)",11.5,"(10.4, 12.6)",40,"(38.5, 41.4)",2.1,"( 1.9,  2.3)",12.8,"( 9.0, 17.9)","(36.14573590790, -86.6254409227)"
TN,Nashville,4752006,47037015609,4752006-47037015609,"3,411",10.3,"( 8.4, 12.8)",16.2,"(15.3, 17.1)",21.6,"(20.7, 22.5)",21.4,"(20.5, 22.4)",66.4,"(64.8, 67.8)",3.9,"( 3.8,  4.1)",9.2,"( 8.7,  9.9)",2.8,"( 2.6,  3.1)",64.6,"(63.5, 65.7)",74,"(71.4, 76.1)",69.6,"(66.0, 72.9)",4.1,"( 3.5,  4.7)",36.4,"(30.0, 43.1)",42.7,"(37.1, 48.0)",17.7,"(14.4, 21.2)",72,"(68.1, 75.4)",5,"( 4.6,  5.3)",27.2,"(26.3, 28.1)",1.6,"( 1.5,  1.7)",17.1,"(15.0, 19.3)",80.1,"(76.4, 83.1)",11.6,"(10.2, 13.2)",24.6,"(23.2, 26.0)",84.6,"(81.7, 86.9)",8.2,"( 7.2,  9.2)",37,"(35.2, 38.8)",1.4,"( 1.2,  1.6)",8.7,"( 5.2, 13.5)","(36.17196891820, -86.6206020339)"
TN,Nashville,4752006,47037013602,4752006-47037013602,"2,120",20.5,"(14.1, 27.4)",10.6,"( 9.4, 11.6)",14.1,"(12.2, 16.2)",22.6,"(20.1, 25.1)",49.9,"(46.3, 53.7)",1.5,"( 1.4,  1.6)",14.1,"(12.4, 16.9)",2.4,"( 2.2,  2.7)",72.1,"(68.8, 75.1)",47.4,"(39.5, 54.1)",55,"(51.8, 57.9)",4.6,"( 3.6,  6.0)",18.6,"(15.1, 22.8)",20.9,"(17.4, 25.0)",22.1,"(14.9, 29.0)",47.6,"(37.3, 57.9)",5.6,"( 5.1,  6.1)",18.9,"(17.2, 21.2)",1.8,"( 1.6,  2.0)",28.5,"(21.1, 35.7)",84.1,"(81.7, 86.1)",19.4,"(14.6, 23.9)",33.1,"(28.3, 36.8)",81.5,"(76.8, 85.9)",10.2,"( 8.0, 12.9)",46.1,"(40.7, 49.9)",1.8,"( 1.6,  2.0)",31.5,"(24.7, 38.4)","(36.17144125940, -86.8285203739)"
TN,Nashville,4752006,47037015612,4752006-47037015612,"6,772",14.8,"(12.8, 17.1)",21.6,"(20.7, 22.6)",17.4,"(16.8, 18.0)",29.8,"(28.7, 30.8)",72,"(70.9, 73.1)",4.4,"( 4.2,  4.6)",10.4,"( 9.9, 11.0)",4.3,"( 4.0,  4.6)",68,"(67.2, 68.8)",74.5,"(72.6, 76.3)",64.4,"(61.4, 67.6)",6,"( 5.3,  6.7)",30.7,"(24.6, 37.1)",35.4,"(30.5, 40.3)",22.3,"(19.4, 25.3)",62.6,"(59.2, 65.7)",8.4,"( 7.9,  8.9)",32.1,"(31.2, 33.1)",2.3,"( 2.2,  2.4)",24.3,"(22.1, 26.7)",81.1,"(78.4, 83.7)",13.7,"(12.6, 15.1)",32.8,"(31.4, 34.1)",85.5,"(83.8, 87.2)",11.8,"(10.8, 12.9)",41.1,"(39.7, 42.6)",2.4,"( 2.2,  2.6)",13.8,"( 9.3, 18.9)","(36.09996204310, -86.6391237760)"
TN,Nashville,4752006,47037016400,4752006-47037016400,"4,402",12.7,"( 9.4, 16.6)",12.1,"(11.4, 12.8)",21.4,"(19.7, 23.2)",15.7,"(14.7, 16.6)",60,"(57.4, 62.8)",2.9,"( 2.7,  3.1)",10.2,"( 9.3, 11.2)",2.8,"( 2.6,  3.1)",62.1,"(59.9, 64.3)",56.7,"(51.7, 61.3)",65.5,"(62.6, 68.4)",4.2,"( 3.5,  4.8)",31.2,"(25.5, 36.8)",31.9,"(27.0, 37.3)",17.6,"(12.4, 21.6)",66.9,"(60.8, 72.9)",3.9,"( 3.6,  4.2)",21.7,"(20.4, 23.1)",1.5,"( 1.4,  1.6)",19,"(15.6, 22.5)",78.1,"(75.3, 80.8)",14.8,"(11.7, 17.0)",20.2,"(18.1, 22.0)",80.4,"(77.3, 83.2)",7.9,"( 6.7,  8.9)",34.8,"(31.5, 37.4)",1.4,"( 1.2,  1.6)",15.5,"(10.3, 21.9)","(36.14016827610, -86.7966089777)"
TN,Nashville,4752006,47037015620,4752006-47037015620,"7,033",19,"(16.7, 21.3)",24.1,"(23.0, 24.9)",15.6,"(15.1, 16.1)",34.2,"(33.2, 35.2)",74.2,"(73.3, 75.2)",4.4,"( 4.2,  4.5)",11.1,"(10.5, 11.7)",4.9,"( 4.6,  5.3)",68.8,"(68.0, 69.6)",73.6,"(71.8, 75.2)",60,"(56.5, 63.2)",7.2,"( 6.4,  8.0)",26.6,"(22.2, 31.2)",32.3,"(28.2, 36.9)",25.7,"(22.9, 28.5)",56.2,"(52.8, 59.6)",10.7,"(10.1, 11.3)",34.6,"(33.6, 35.5)",2.7,"( 2.5,  2.8)",29.7,"(27.2, 32.1)",80.5,"(78.0, 82.7)",15.3,"(14.1, 16.5)",36.8,"(35.6, 37.9)",85.2,"(83.7, 86.7)",14.3,"(13.1, 15.5)",44,"(42.8, 45.2)",3,"( 2.7,  3.2)",17.9,"(13.2, 23.0)","(36.06968794570, -86.6150485034)"
TN,Nashville,4752006,47037015630,4752006-47037015630,"3,189",13.4,"(11.1, 16.0)",18.2,"(17.2, 19.2)",17.9,"(17.3, 18.5)",28.6,"(27.4, 29.9)",69.6,"(68.3, 70.8)",3.5,"( 3.4,  3.7)",10.4,"( 9.9, 11.1)",3,"( 2.8,  3.3)",68.9,"(68.0, 69.8)",75.1,"(72.7, 77.1)",64.9,"(61.5, 67.8)",4.6,"( 4.0,  5.3)",30.1,"(25.1, 35.7)",36.7,"(31.9, 41.5)",20.8,"(17.5, 24.2)",64.6,"(61.0, 68.2)",7.4,"( 6.9,  8.0)",28.5,"(27.5, 29.5)",2,"( 1.9,  2.1)",21.9,"(19.4, 24.5)",83.1,"(80.6, 85.1)",12.9,"(11.6, 14.3)",33.2,"(31.6, 34.9)",87.2,"(85.5, 88.7)",10.2,"( 9.1, 11.3)",42.8,"(41.1, 44.4)",1.9,"( 1.7,  2.1)",11.8,"( 7.8, 16.6)","(36.03003124890, -86.6145110967)"
TN,Nashville,4752006,47037016500,4752006-47037016500,"4,478",14.4,"(12.5, 17.0)",5.4,"( 4.9,  5.8)",22.4,"(20.8, 24.0)",10.3,"( 9.6, 11.0)",26.4,"(24.7, 28.2)",0.8,"( 0.8,  0.9)",11.1,"(10.3, 11.9)",0.9,"( 0.8,  0.9)",59.4,"(57.5, 61.4)",43.4,"(40.2, 46.4)",60.2,"(58.0, 62.3)",3.1,"( 2.6,  3.5)",22.4,"(16.4, 29.2)",35.7,"(28.9, 42.8)",18.8,"(15.5, 21.9)",63.3,"(58.9, 67.3)",1.5,"( 1.4,  1.6)",12.7,"(12.0, 13.5)",0.8,"( 0.8,  0.9)",18.2,"(15.9, 20.9)",80.1,"(78.2, 82.0)",17.4,"(15.4, 18.9)",19.4,"(17.8, 21.0)",72.7,"(68.7, 76.7)",6.6,"( 5.8,  7.4)",36.3,"(33.9, 38.2)",0.4,"( 0.4,  0.5)",16.4,"(11.5, 22.3)","(36.14578019770, -86.8050873817)"
TN,Nashville,4752006,47037017402,4752006-47037017402,"5,907",19.1,"(16.2, 22.2)",22.7,"(21.7, 23.7)",16.6,"(16.0, 17.2)",30.7,"(29.5, 31.8)",72.1,"(71.1, 73.3)",4.7,"( 4.5,  4.9)",10.3,"( 9.6, 11.0)",5.3,"( 4.8,  5.8)",65.6,"(64.7, 66.5)",69,"(66.6, 71.5)",60.1,"(56.0, 64.1)",7.1,"( 6.3,  8.1)",28.7,"(22.3, 35.4)",32.4,"(26.4, 38.4)",23.1,"(20.1, 26.2)",57.4,"(53.5, 61.1)",9.1,"( 8.5,  9.7)",34.7,"(33.5, 35.9)",2.6,"( 2.5,  2.8)",27.7,"(25.2, 30.5)",78.8,"(75.0, 81.9)",14.7,"(13.3, 16.2)",32.1,"(30.9, 33.4)",84.3,"(82.2, 86.4)",13.4,"(12.2, 14.8)",39.9,"(38.5, 41.4)",2.8,"( 2.5,  3.2)",18.6,"(11.5, 27.8)","(36.10063857230, -86.7268837685)"
TN,Nashville,4752006,47037014400,4752006-47037014400,"1,250",19.1,"(15.5, 23.0)",27,"(25.5, 28.3)",11.4,"(11.0, 11.9)",41.8,"(40.3, 43.4)",77.8,"(76.6, 78.9)",4.5,"( 4.3,  4.6)",13.2,"(12.3, 14.2)",5.6,"( 5.1,  6.1)",73.9,"(73.1, 74.9)",70.1,"(67.5, 72.6)",59.5,"(54.9, 63.5)",8.2,"( 7.0,  9.4)",22.7,"(17.9, 27.5)",26.1,"(21.6, 30.9)",25.3,"(21.0, 29.3)",49.2,"(44.9, 53.7)",14.2,"(13.1, 15.3)",35.7,"(34.4, 37.1)",3.6,"( 3.3,  3.8)",33.7,"(29.9, 37.4)",84.3,"(81.4, 86.8)",16.7,"(14.7, 18.7)",41.9,"(39.9, 43.5)",87.3,"(85.2, 89.2)",16.1,"(14.2, 18.0)",46.9,"(44.9, 48.7)",4.5,"( 3.9,  5.0)",25.3,"(16.4, 34.6)","(36.15766296450, -86.8057331508)"
TN,Nashville,4752006,47037014800,4752006-47037014800,"3,127",34.4,"(28.9, 39.8)",30.6,"(29.0, 32.3)",8.8,"( 8.2,  9.5)",46.8,"(45.1, 48.4)",75.2,"(73.6, 76.8)",3.5,"( 3.3,  3.7)",17.5,"(15.7, 19.5)",7.4,"( 6.7,  8.2)",72.1,"(70.5, 73.6)",57.2,"(53.8, 61.0)",42,"(37.2, 47.2)",14,"(12.3, 16.0)",13.3,"( 9.7, 17.5)",17.1,"(13.0, 21.6)",41.7,"(36.4, 46.4)",26.2,"(21.8, 31.4)",19.1,"(17.9, 20.4)",38.7,"(36.7, 40.7)",4.9,"( 4.5,  5.3)",51.4,"(46.6, 55.9)",82.3,"(78.4, 85.6)",26.8,"(23.6, 30.0)",51.5,"(49.4, 53.4)",83.6,"(80.8, 86.3)",25.7,"(23.0, 28.6)",54.3,"(52.1, 56.1)",7.1,"( 6.4,  8.0)",51.2,"(39.6, 61.5)","(36.15109655400, -86.7597078621)"
TN,Nashville,4752006,47037013000,4752006-47037013000,"1,938",19.4,"(15.7, 23.1)",17.5,"(16.4, 18.8)",25.9,"(24.6, 27.1)",39.7,"(37.7, 41.6)",69.3,"(67.3, 71.1)",3.4,"( 3.2,  3.6)",8.2,"( 7.4,  9.1)",4.6,"( 4.1,  5.1)",64.3,"(63.0, 65.7)",65.5,"(61.9, 69.1)",62.6,"(57.1, 67.7)",5.5,"( 4.7,  6.3)",28.8,"(22.3, 36.0)",,,29.9,"(26.0, 33.7)",58.1,"(53.5, 62.8)",8.3,"( 7.6,  9.0)",37.2,"(35.3, 39.3)",1.8,"( 1.7,  2.0)",23.9,"(21.0, 26.8)",79.6,"(74.8, 83.6)",12.2,"(10.8, 13.7)",34.5,"(33.0, 36.0)",82.4,"(79.0, 85.7)",11.2,"( 9.8, 12.7)",45.1,"(43.2, 46.6)",2.1,"( 1.9,  2.4)",14.5,"( 8.5, 21.7)","(36.18360013590, -86.8846679987)"
TN,Nashville,4752006,47037017500,4752006-47037017500,"2,951",22,"(18.5, 25.3)",29.6,"(28.2, 30.9)",14.9,"(14.3, 15.5)",36,"(34.7, 37.2)",77,"(76.0, 78.0)",6.1,"( 5.8,  6.3)",11,"(10.2, 11.8)",7.9,"( 7.1,  8.8)",66.1,"(65.0, 67.1)",71.8,"(69.6, 74.0)",58,"(53.8, 62.4)",10.4,"( 9.0, 11.9)",27.3,"(21.1, 34.4)",29.9,"(24.4, 35.9)",27.5,"(23.8, 31.0)",52.3,"(48.3, 56.6)",12.2,"(11.3, 13.1)",40.4,"(39.1, 41.7)",3.4,"( 3.2,  3.7)",33.5,"(30.3, 36.7)",76.2,"(71.9, 80.1)",16.5,"(14.7, 18.2)",34.1,"(32.8, 35.5)",82.4,"(79.5, 85.1)",17.5,"(15.7, 19.4)",40,"(38.6, 41.5)",4.1,"( 3.6,  4.6)",23.7,"(15.1, 32.6)","(36.10121395470, -86.7435789922)"
TN,Nashville,4752006,47037013400,4752006-47037013400,"3,746",7.3,"( 5.6,  9.9)",19.1,"(18.0, 20.3)",21.4,"(20.4, 22.3)",23,"(21.9, 24.4)",71.5,"(69.9, 73.1)",5.3,"( 5.0,  5.5)",8.7,"( 8.2,  9.5)",3.4,"( 3.1,  3.9)",65.8,"(64.5, 67.0)",80.6,"(78.0, 82.5)",73.3,"(69.6, 76.2)",4,"( 3.4,  5.0)",38.6,"(31.5, 45.2)",43.5,"(37.7, 48.7)",14.5,"(11.0, 19.0)",78.1,"(73.3, 81.4)",5.2,"( 4.7,  5.8)",30.1,"(29.0, 31.3)",1.7,"( 1.6,  1.8)",14.7,"(12.6, 17.5)",80.9,"(77.0, 83.8)",10,"( 8.6, 11.8)",23.6,"(22.1, 25.2)",87.2,"(84.6, 89.2)",7.9,"( 6.8,  9.3)",33.3,"(31.3, 35.4)",1.5,"( 1.3,  1.7)",6.3,"( 3.6, 11.3)","(36.14469558130, -86.8426724912)"
TN,Nashville,4752006,47037013500,4752006-47037013500,"1,936",13.4,"(10.4, 16.9)",18.8,"(17.8, 19.9)",18.4,"(17.5, 19.4)",27.1,"(26.0, 28.4)",69.8,"(68.1, 71.4)",3.8,"( 3.7,  4.0)",10.5,"( 9.8, 11.4)",3.7,"( 3.4,  4.0)",65.6,"(64.3, 66.8)",69.2,"(65.8, 72.4)",64.1,"(60.3, 67.4)",5.4,"( 4.5,  6.3)",28,"(23.1, 33.5)",33.1,"(28.6, 37.2)",21.1,"(16.5, 25.9)",62.7,"(57.8, 67.3)",7.4,"( 6.9,  7.9)",29.6,"(28.4, 31.0)",2.2,"( 2.0,  2.3)",22.4,"(19.3, 25.8)",83.1,"(80.1, 85.3)",13.8,"(11.9, 16.1)",30.3,"(28.5, 32.3)",85.6,"(82.7, 88.1)",10.7,"( 9.3, 12.2)",39.1,"(37.1, 41.3)",2.2,"( 2.0,  2.5)",15.6,"(10.2, 22.4)","(36.15033109170, -86.8286410961)"
