OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,0,1,0,TN,Nashville,4752006,47037016000.000000000000000,4752006-47037016000,874,18.800000000000001,21.399999999999999,"(36.14549553630, -86.7638145949)",36.145495539999999,-86.763814589999996,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,1,1,1,TN,Nashville,4752006,47037013300.000000000000000,4752006-47037013300,4004,16.000000000000000,15.400000000000000,"(36.15978379140, -86.8530700515)",36.159783789999999,-86.853070049999999,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,2,1,2,TN,Nashville,4752006,47037019105.000000000000000,4752006-47037019105,5502,15.600000000000000,14.500000000000000,"(36.05132495530, -86.7242581580)",36.051324960000002,-86.724258160000005,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,3,1,3,TN,Nashville,4752006,47037019109.000000000000000,4752006-47037019109,4692,15.699999999999999,15.300000000000001,"(36.05879840910, -86.6901293191)",36.058798410000001,-86.690129319999997,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,4,1,4,TN,Nashville,4752006,47037016400.000000000000000,4752006-47037016400,4402,14.800000000000001,7.900000000000000,"(36.14016827610, -86.7966089777)",36.140168279999997,-86.796608980000002,13.850000000000000,13.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,1,2.500000000000000
-1,1,5,1,5,TN,Nashville,4752006,47037014300.000000000000000,4752006-47037014300,1816,16.800000000000001,18.899999999999999,"(36.16124685210, -86.8156490258)",36.161246849999998,-86.815649030000003,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,6,1,6,TN,Nashville,4752006,47037011002.000000000000000,4752006-47037011002,2643,14.300000000000001,14.400000000000000,"(36.22499441110, -86.7399718241)",36.224994410000001,-86.739971819999994,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,7,1,7,TN,Nashville,4752006,47037015804.000000000000000,4752006-47037015804,4294,15.100000000000000,12.800000000000001,"(36.13468284030, -86.7023819538)",36.134682840000004,-86.702381950000003,13.850000000000000,13.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,0,1.500000000000000
-1,1,8,1,8,TN,Nashville,4752006,47037014200.000000000000000,4752006-47037014200,2249,20.899999999999999,18.500000000000000,"(36.16693232800, -86.8036510368)",36.166932330000002,-86.803651040000005,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,9,1,9,TN,Nashville,4752006,47037015802.000000000000000,4752006-47037015802,5882,16.699999999999999,16.300000000000001,"(36.12313205050, -86.7142265091)",36.123132050000002,-86.714226510000003,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,10,1,10,TN,Nashville,4752006,47037015803.000000000000000,4752006-47037015803,2771,18.600000000000001,16.000000000000000,"(36.13538224570, -86.7150553656)",36.135382249999999,-86.715055370000002,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,11,1,11,TN,Nashville,4752006,47037017300.000000000000000,4752006-47037017300,3368,16.399999999999999,17.199999999999999,"(36.11951786080, -86.7427999612)",36.119517860000002,-86.742799959999999,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,12,1,12,TN,Nashville,4752006,47037010602.000000000000000,4752006-47037010602,3442,15.699999999999999,16.300000000000001,"(36.25336532400, -86.6817557329)",36.253365320000000,-86.681755730000006,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0,2.500000000000000
-1,1,13,1,13,TN,Nashville,4752006,47037016300.000000000000000,4752006-47037016300,2189,16.399999999999999,15.400000000000000,"(36.14319093870, -86.7899130999)",36.143190939999997,-86.789913100000007,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,14,1,14,TN,Nashville,4752006,47037019110.000000000000000,4752006-47037019110,3749,16.000000000000000,15.900000000000000,"(36.05179562870, -86.7048611505)",36.051795630000001,-86.704861149999999,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,2,4.500000000000000
-1,1,15,1,15,TN,Nashville,4752006,47037019111.000000000000000,4752006-47037019111,4163,14.500000000000000,11.800000000000001,"(36.04923174800, -86.6797916232)",36.049231749999997,-86.679791620000003,13.850000000000000,13.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,1,2.500000000000000
-1,1,16,1,16,TN,Nashville,4752006,47037019112.000000000000000,4752006-47037019112,3912,14.400000000000000,12.900000000000000,"(36.03608526440, -86.6924294734)",36.036085260000000,-86.692429469999993,13.850000000000000,13.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,0,1.500000000000000
-1,1,17,1,17,TN,Nashville,4752006,47037019118.000000000000000,4752006-47037019118,4780,14.800000000000001,10.900000000000000,"(36.03832269920, -86.6692426787)",36.038322700000002,-86.669242679999996,13.850000000000000,13.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,0,1.500000000000000
-1,1,18,1,18,TN,Nashville,4752006,47037018101.000000000000000,4752006-47037018101,4700,15.400000000000000,13.000000000000000,"(36.14396135590, -86.8662660609)",36.143961359999999,-86.866266060000001,13.850000000000000,13.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,1,2.500000000000000
-1,1,19,1,19,TN,Nashville,4752006,47037012701.000000000000000,4752006-47037012701,5150,17.300000000000001,19.800000000000001,"(36.22121102540, -86.7946381366)",36.221211029999999,-86.794638140000004,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0,2.500000000000000
-1,1,20,1,20,TN,Nashville,4752006,47037015502.000000000000000,4752006-47037015502,3924,14.600000000000000,14.699999999999999,"(36.15238565930, -86.6522822722)",36.152385660000000,-86.652282270000001,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,0,2.500000000000000
-1,1,21,1,21,TN,Nashville,4752006,47037015613.000000000000000,4752006-47037015613,6223,16.699999999999999,14.699999999999999,"(36.08866992530, -86.6809974727)",36.088669930000002,-86.680997469999994,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,3,5.500000000000000
-1,1,22,1,22,TN,Nashville,4752006,47037015615.000000000000000,4752006-47037015615,4775,16.800000000000001,16.300000000000001,"(36.07392221800, -86.6732926633)",36.073922220000000,-86.673292660000001,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
-1,1,23,1,23,TN,Nashville,4752006,47037015614.000000000000000,4752006-47037015614,4245,14.000000000000000,12.400000000000000,"(36.08510713470, -86.6579014347)",36.085107129999997,-86.657901429999995,13.850000000000000,13.100000000000000,1.500000000000000,0.000000000000000,1.500000000000000,1,2.500000000000000
-1,1,24,1,24,TN,Nashville,4752006,47037010501.000000000000000,4752006-47037010501,5029,14.800000000000001,15.500000000000000,"(36.27293622250, -86.6610202749)",36.272936219999998,-86.661020269999995,13.850000000000000,13.100000000000000,1.500000000000000,1.000000000000000,2.500000000000000,1,3.500000000000000
