Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
40001376600,40,001,376600,78.5,2.599,3
40001376700,40,001,376700,76.2,1.1993,3
40001376800,40,001,376800,76.1,0.5897,2
40001376900,40,001,376900,56.3,1.0937,1
40001377000,40,001,377000,74.8,0.675,2
40003955600,40,003,955600,80.2,2.9074,3
40003955700,40,003,955700,74.3,1.9172,3
40003956000,40,003,956000,81.8,2.1623,3
40005587600,40,005,587600,84,2.8499,3
40005587700,40,005,587700,72,1.1291,3
40005587800,40,005,587800,77.4,1.3538,3
40005587900,40,005,587900,74.8,1.1758,3
40007951600,40,007,951600,79.6,0.8137,2
40007951700,40,007,951700,79.4,0.8923,2
40007951800,40,007,951800,75.9,1.8728,1
40009966100,40,009,966100,73.3,1.5247,3
40009966200,40,009,966200,74.4,1.1386,1
40009966500,40,009,966500,76.4,1.0582,2
40009966800,40,009,966800,75.5,1.4156,1
40011958600,40,011,958600,73.4,2.3606,3
40011958700,40,011,958700,79,2.6472,3
40011958800,40,011,958800,77.6,1.1064,2
40011958900,40,011,958900,77.3,0.7875,2
40011959000,40,011,959000,67.3,2.0471,3
40013795600,40,013,795600,79.6,2.0126,3
40013795700,40,013,795700,77.5,1.5403,3
40013795900,40,013,795900,83.1,2.9944,3
40013796001,40,013,796001,77.3,1.38,3
40013796002,40,013,796002,76.9,1.2651,3
40013796100,40,013,796100,78.8,1.0879,3
40013796200,40,013,796200,75.8,0.8464,2
40013796300,40,013,796300,75.8,1.9324,3
40013796400,40,013,796400,73.8,1.0775,2
40013796500,40,013,796500,69,1.5302,3
40013796600,40,013,796600,78.5,1.6918,3
40015161600,40,015,161600,81.1,0.979,3
40015161700,40,015,161700,82.1,3.2775,1
40015161800,40,015,161800,74,1.1716,3
40015161900,40,015,161900,76.4,1.9526,3
40015162000,40,015,162000,89.4,3.7174,3
40015162100,40,015,162100,68.8,1.0542,3
40015162200,40,015,162200,80.5,2.6868,3
40015162300,40,015,162300,85.4,3.2058,3
40017300100,40,017,300100,76.2,1.8835,3
40017300201,40,017,300201,80.1,1.8325,1
40017300202,40,017,300202,80.8,2.3897,3
40017300300,40,017,300300,71.4,1.7792,3
40017300500,40,017,300500,73.2,1.501,1
40017300600,40,017,300600,74.3,1.4356,3
40017300700,40,017,300700,76.4,1.0765,3
40017300801,40,017,300801,80.3,2.2269,1
40017300802,40,017,300802,80.2,2.1915,3
40017300901,40,017,300901,77.9,1.1309,3
40017300902,40,017,300902,74.2,1.6919,3
40017300904,40,017,300904,77,2.6294,1
40017300905,40,017,300905,79.5,1.4705,3
40017301003,40,017,301003,76.4,1.9049,1
40017301006,40,017,301006,78,1.8039,2
40017301007,40,017,301007,77.9,2.4605,3
40017301008,40,017,301008,81.7,2.5675,3
40017301009,40,017,301009,74.8,1.705,3
40017301100,40,017,301100,79.5,1.609,3
40017301201,40,017,301201,72.6,1.355,3
40017301202,40,017,301202,76.8,2.0307,3
40017301300,40,017,301300,79.3,1.4271,3
40017301406,40,017,301406,80.2,1.9259,3
40017301407,40,017,301407,77.7,1.0059,3
40017301408,40,017,301408,73.9,2.4393,3
40017301409,40,017,301409,77.2,1.5267,2
40017301410,40,017,301410,77.7,2.2657,3
40019892100,40,019,892100,81.9,2.5085,3
40019892200,40,019,892200,75.4,0.8043,2
40019892300,40,019,892300,76.1,2.5404,1
40019892400,40,019,892400,72.4,1.2039,3
40019892500,40,019,892500,80.6,2.1029,1
40019892600,40,019,892600,75.7,1.2729,3
40019892700,40,019,892700,76,1.2516,3
40019892800,40,019,892800,66.1,1.0859,3
40019892900,40,019,892900,72.6,2.3961,3
40019893000,40,019,893000,71.8,0.9276,3
40019893100,40,019,893100,68.5,1.4891,3
40021977600,40,021,977600,76.1,1.0637,3
40021977700,40,021,977700,75.8,1.4433,3
40021977800,40,021,977800,77.9,2.3687,1
40021977900,40,021,977900,73.3,1.1775,3
40021978000,40,021,978000,70.9,1.5506,3
40021978100,40,021,978100,74.6,1.2765,3
40021978201,40,021,978201,75.4,1.5066,3
40021978202,40,021,978202,73.9,1.6526,1
40021978300,40,021,978300,75,1.4007,1
40023966900,40,023,966900,73.3,1.7427,3
40023967000,40,023,967000,80.5,2.1478,3
40023967100,40,023,967100,70.9,1.4968,3
40023967200,40,023,967200,69.6,1.4208,3
40023967300,40,023,967300,75.1,1.2975,3
40025950100,40,025,950100,79,0.7673,2
40025950300,40,025,950300,85.9,3.2362,3
40027200200,40,027,200200,72.4,2.3613,3
40027200300,40,027,200300,73.2,1.8617,3
40027200400,40,027,200400,70.3,1.7062,3
40027200601,40,027,200601,77.5,2.3755,2
40027200602,40,027,200602,81.2,2.726,3
40027200800,40,027,200800,76.5,1.203,1
40027200900,40,027,200900,80,0.9904,2
40027201000,40,027,201000,73.4,1.8032,3
40027201101,40,027,201101,80.5,1.0345,3
40027201102,40,027,201102,83.3,2.0492,3
40027201203,40,027,201203,74.5,1.6535,3
40027201403,40,027,201403,78.8,1.7216,3
40027201404,40,027,201404,80.9,1.6092,2
40027201405,40,027,201405,79.9,1.9456,1
40027201505,40,027,201505,79.7,1.3028,3
40027201507,40,027,201507,80.5,1.1713,3
40027201508,40,027,201508,75.9,1.3843,3
40027201509,40,027,201509,81.5,2.4795,3
40027201510,40,027,201510,79.6,2.1122,3
40027201602,40,027,201602,75.6,1.2031,2
40027201603,40,027,201603,72.9,1.4562,3
40027201604,40,027,201604,71.1,2.1974,3
40027201607,40,027,201607,78.2,1.7792,1
40027201610,40,027,201610,80.9,1.2345,2
40027201611,40,027,201611,75.4,2.7375,3
40027201612,40,027,201612,75.7,1.3975,3
40027201700,40,027,201700,75.9,2.0049,3
40027201801,40,027,201801,79,1.6972,3
40027201802,40,027,201802,77.3,1.0826,3
40027201902,40,027,201902,76.3,1.2682,1
40027201903,40,027,201903,77.3,2.1852,3
40027201904,40,027,201904,76,1.9411,3
40027202002,40,027,202002,76.2,1.4501,3
40027202004,40,027,202004,73.5,1.7063,3
40027202005,40,027,202005,73.5,1.702,3
40027202006,40,027,202006,74.1,2.0147,3
40027202007,40,027,202007,76.3,1.4392,2
40027202008,40,027,202008,76.9,1.2181,3
40027202102,40,027,202102,72,1.9279,3
40027202104,40,027,202104,73.7,1.5567,3
40027202106,40,027,202106,80,1.8482,3
40027202107,40,027,202107,80.9,1.8725,2
40027202201,40,027,202201,79.4,1.8569,2
40027202206,40,027,202206,79.4,2.36,2
40027202301,40,027,202301,75.5,1.5731,3
40027202302,40,027,202302,73.7,1.8597,1
40027202402,40,027,202402,72.3,1.2173,1
40027202403,40,027,202403,77.2,1.316,3
40027202404,40,027,202404,74.2,1.4424,3
40027202405,40,027,202405,81.2,3.7191,3
40027202500,40,027,202500,72.6,1.0038,3
40027202600,40,027,202600,70.9,1.4266,3
40029388100,40,029,388100,72.7,1.155,1
40029388200,40,029,388200,77.3,0.8399,2
40031000100,40,031,000100,75.3,1.975,3
40031000200,40,031,000200,71.1,1.9836,3
40031000300,40,031,000300,78.9,1.9502,3
40031000401,40,031,000401,76.1,1.6028,1
40031000402,40,031,000402,73.6,1.2332,3
40031000403,40,031,000403,77.8,1.5934,3
40031000501,40,031,000501,79.1,1.8838,1
40031000502,40,031,000502,75.7,1.0954,2
40031000600,40,031,000600,75.4,1.4102,3
40031000700,40,031,000700,76.7,2.1031,2
40031000800,40,031,000800,65.5,1.9304,3
40031000900,40,031,000900,74.1,2.0153,3
40031001000,40,031,001000,74.5,1.0468,2
40031001100,40,031,001100,72.3,2.467,3
40031001400,40,031,001400,70.8,3.2479,3
40031001500,40,031,001500,68.7,1.8852,3
40031001600,40,031,001600,67.6,2.3362,3
40031001700,40,031,001700,69.2,1.8482,3
