Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
40109107221,40,109,107221,77.2,1.7836,3
40109107220,40,109,107220,75.5,2.3883,3
40109107223,40,109,107223,75.3,1.1291,2
40109100700,40,109,100700,79.5,1.9797,2
40027202006,40,027,202006,74.1,2.0147,3
40027202007,40,027,202007,76.3,1.4392,2
40027202005,40,027,202005,73.5,1.702,3
40027202002,40,027,202002,76.2,1.4501,3
40109101800,40,109,101800,80.6,2.963,2
40109107222,40,109,107222,73.9,1.8531,3
40109105201,40,109,105201,69.7,3.2866,3
40109103200,40,109,103200,77.4,2.9909,3
40109104500,40,109,104500,74,1.9267,1
40109106608,40,109,106608,76.1,1.4713,3
40109106609,40,109,106609,80.5,3.3493,3
40109106604,40,109,106604,72.9,2.1351,3
40109106911,40,109,106911,77.2,1.7562,3
40109106606,40,109,106606,78.3,1.5714,3
40109106607,40,109,106607,78.8,1.3114,3
40027201612,40,027,201612,75.7,1.3975,3
40109106601,40,109,106601,72.8,1.6685,3
40027201610,40,027,201610,80.9,1.2345,2
40027201611,40,027,201611,75.4,2.7375,3
40109101700,40,109,101700,76.1,2.7438,3
40109108110,40,109,108110,82.9,2.3019,3
40109102000,40,109,102000,74.9,1.5313,3
40109102900,40,109,102900,75,1.9977,2
40109108504,40,109,108504,82.1,1.6176,3
40109108507,40,109,108507,82.5,1.9463,3
40109108506,40,109,108506,79.5,1.1434,3
40109108602,40,109,108602,71.6,3.4825,3
40109108603,40,109,108603,78,1.7582,2
40109108601,40,109,108601,77.7,1.5574,2
40109100400,40,109,100400,73.1,1.3424,2
40109104100,40,109,104100,70.4,2.6891,3
40109108900,40,109,108900,72,1.2361,3
40109107001,40,109,107001,73.2,1.5532,1
40109107002,40,109,107002,75.3,3.7906,3
40109108219,40,109,108219,82.8,2.6983,3
40109108218,40,109,108218,81.4,2.0767,3
40109101300,40,109,101300,66.4,1.6605,3
40109106708,40,109,106708,79.8,1.3558,3
40109104900,40,109,104900,69.2,2.0904,3
40109108315,40,109,108315,78.7,1.4034,3
40109103900,40,109,103900,75,1.5875,2
40109108514,40,109,108514,82.7,3.5587,1
40109105905,40,109,105905,71.8,1.9173,3
40109108513,40,109,108513,80.9,1.9372,1
40109108511,40,109,108511,82.2,2.7788,3
40109102200,40,109,102200,67.6,2.7873,3
40109105500,40,109,105500,75.3,1.5791,2
40109108804,40,109,108804,75.2,1.6659,1
40109108803,40,109,108803,72,2.327,3
40027202107,40,027,202107,80.9,1.8725,2
40017300201,40,017,300201,80.1,1.8325,1
40109100800,40,109,100800,76,2.5554,3
40109107900,40,109,107900,67.1,2.3741,3
40109107401,40,109,107401,73,1.559,3
40109107403,40,109,107403,76.4,1.3668,3
40109107405,40,109,107405,78,1.4136,3
40109107404,40,109,107404,76.1,1.402,3
40109105100,40,109,105100,79,1.3085,2
40109105202,40,109,105202,68.3,3.5091,3
40109108005,40,109,108005,72.6,1.2488,2
40017300904,40,017,300904,77,2.6294,1
40109106705,40,109,106705,77.4,1.5318,3
40109107214,40,109,107214,73.8,1.7192,3
40109106707,40,109,106707,74.6,1.6223,3
40109106706,40,109,106706,75.3,1.5452,3
40109107215,40,109,107215,70.2,1.2697,3
40109105903,40,109,105903,72.6,1.6946,3
40109105906,40,109,105906,76.5,1.0009,2
40109105907,40,109,105907,71.9,1.0553,3
40109105904,40,109,105904,74.7,2.1855,3
40109102100,40,109,102100,74.4,1.9384,3
40109108709,40,109,108709,75.4,3.8918,3
40109105800,40,109,105800,75.2,2.2567,2
40109108701,40,109,108701,77.6,1.8618,3
40109108519,40,109,108519,80.5,0.8785,2
40109108704,40,109,108704,76.2,0.9885,3
40109101000,40,109,101000,76.8,3.1756,3
40109107212,40,109,107212,72.7,3.8033,3
40125501003,40,125,501003,74.7,1.3867,3
40109107213,40,109,107213,71,1.67,1
40109104200,40,109,104200,72,1.7236,3
40109108515,40,109,108515,76.9,1.1688,3
40109109001,40,109,109001,74.3,2.4702,3
