StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
OK,Oklahoma City,4055000,40109103601,4055000-40109103601,226,11.4,"( 8.8, 14.5)",13.1,"(12.2, 13.9)",20.4,"(19.4, 21.3)",19.1,"(18.1, 20.3)",60.7,"(58.7, 62.6)",3.6,"( 3.4,  3.8)",8.1,"( 7.6,  8.8)",3,"( 2.7,  3.4)",61.4,"(60.0, 62.6)",68,"(64.7, 70.7)",65.8,"(61.6, 69.5)",3.4,"( 2.8,  4.1)",42.5,"(35.4, 49.4)",48.4,"(40.8, 55.2)",14.8,"(11.1, 18.9)",70.1,"(65.0, 74.5)",4.5,"( 4.1,  5.0)",25.7,"(24.6, 26.9)",1.5,"( 1.4,  1.6)",16.7,"(14.2, 19.6)",78.1,"(74.4, 81.2)",11,"( 9.4, 12.8)",24.9,"(23.2, 26.7)",86.7,"(83.8, 88.9)",7.4,"( 6.5,  8.6)",30.9,"(28.8, 33.0)",1.3,"( 1.1,  1.5)",8.1,"( 4.5, 13.1)","(35.46789571510, -97.5198724034)"
OK,Oklahoma City,4055000,40109103000,4055000-40109103000,358,17.5,"(15.1, 20.2)",29.9,"(28.7, 31.1)",9.1,"( 8.8,  9.4)",47.3,"(46.2, 48.4)",82.5,"(81.8, 83.2)",5.9,"( 5.7,  6.2)",11.6,"(11.0, 12.2)",7.9,"( 7.3,  8.7)",75.7,"(75.1, 76.3)",72.4,"(70.7, 74.1)",57.8,"(54.7, 60.7)",8,"( 7.1,  9.0)",24.9,"(20.0, 29.8)",29.3,"(25.9, 33.0)",18.8,"(16.5, 21.1)",51.4,"(47.9, 54.8)",17.9,"(16.8, 19.1)",40.2,"(39.1, 41.3)",4.3,"( 4.0,  4.6)",34.7,"(31.9, 37.7)",85.1,"(83.1, 86.8)",14.2,"(13.0, 15.4)",41.3,"(40.0, 42.6)",86.9,"(85.0, 88.6)",15.9,"(14.5, 17.4)",39.3,"(37.9, 40.6)",5.7,"( 5.1,  6.3)",22.3,"(16.0, 29.3)","(35.47370620470, -97.5005409388)"
OK,Oklahoma City,4055000,40109107500,4055000-40109107500,"2,859",17.1,"(13.5, 20.9)",6,"( 5.6,  6.4)",22.4,"(20.9, 23.9)",11.2,"(10.3, 11.9)",32.9,"(31.1, 34.8)",1.2,"( 1.2,  1.3)",9,"( 8.4, 10.0)",1.1,"( 1.0,  1.3)",57.1,"(55.0, 58.9)",47.7,"(43.5, 51.9)",55,"(51.4, 58.7)",2.6,"( 2.2,  3.2)",37.1,"(29.6, 44.9)",35.4,"(30.5, 40.9)",17.4,"(13.5, 21.2)",62,"(56.1, 68.0)",2,"( 1.9,  2.2)",14.7,"(13.8, 15.5)",1,"( 0.9,  1.0)",18.5,"(15.3, 21.9)",79,"(75.9, 81.8)",14.4,"(12.4, 16.5)",23.1,"(21.2, 24.6)",81.7,"(78.9, 84.5)",6.5,"( 5.6,  7.5)",32.1,"(29.6, 34.1)",0.6,"( 0.6,  0.7)",14.1,"( 8.8, 19.9)","(35.41842986330, -97.3940211485)"
OK,Oklahoma City,4055000,40017301001,4055000-40017301001,76,10.9,"( 9.1, 13.3)",33.2,"(31.5, 34.8)",12.6,"(11.9, 13.3)",43.2,"(41.7, 44.8)",80.7,"(79.6, 81.7)",8.3,"( 7.8,  8.7)",9.4,"( 8.8, 10.1)",8.1,"( 7.3,  9.0)",71.1,"(70.0, 72.2)",74.7,"(72.2, 76.9)",60.1,"(56.1, 63.5)",8,"( 6.9,  9.2)",40.1,"(32.8, 47.3)",34.4,"(29.2, 40.0)",15.7,"(13.2, 18.2)",68.8,"(65.0, 72.4)",11.6,"(10.5, 12.5)",43.6,"(42.0, 45.3)",3.1,"( 2.8,  3.3)",26.9,"(24.0, 30.1)",73.1,"(69.2, 76.6)",12.4,"(11.2, 13.8)",34.4,"(32.5, 35.8)",80.5,"(77.1, 83.5)",13.8,"(12.3, 15.5)",32.9,"(31.1, 34.3)",3.4,"( 3.0,  3.9)",13.1,"( 9.0, 19.0)","(35.47095901810, -97.6983318182)"
OK,Oklahoma City,4055000,40109103800,4055000-40109103800,467,8.1,"( 6.8, 11.4)",7.7,"( 7.3,  8.3)",22.1,"(20.9, 23.2)",12.8,"(12.2, 13.6)",51.5,"(49.3, 53.4)",2.2,"( 2.1,  2.3)",8.1,"( 7.6,  8.9)",1.5,"( 1.3,  1.6)",60.4,"(58.9, 61.7)",63.8,"(60.0, 66.1)",67.6,"(65.2, 69.6)",1.9,"( 1.6,  2.4)",38.3,"(32.2, 43.4)",53.1,"(46.0, 58.6)",9.5,"( 7.6, 13.2)",77.1,"(72.4, 79.6)",2.6,"( 2.5,  2.8)",18.3,"(17.6, 19.2)",1,"( 0.9,  1.1)",11.4,"(10.1, 13.9)",84.2,"(82.0, 85.9)",9.5,"( 8.5, 11.6)",20,"(18.8, 21.5)",85.1,"(81.0, 87.3)",4.8,"( 4.2,  5.7)",27.4,"(25.9, 29.4)",0.7,"( 0.6,  0.8)",5.4,"( 3.6, 10.0)","(35.46289554490, -97.5031634054)"
OK,Oklahoma City,4055000,40109101600,4055000-40109101600,466,12,"( 9.8, 14.7)",14,"(13.3, 14.7)",19.1,"(18.3, 19.8)",20.9,"(20.0, 21.8)",62.4,"(60.9, 63.9)",3.5,"( 3.4,  3.7)",9.1,"( 8.6,  9.7)",3,"( 2.7,  3.3)",63,"(61.9, 63.9)",66.1,"(63.2, 68.5)",64.7,"(61.0, 67.9)",3.8,"( 3.3,  4.3)",42.6,"(36.0, 48.8)",42.3,"(37.3, 47.6)",15.7,"(12.8, 18.8)",69.5,"(65.3, 72.9)",5,"( 4.7,  5.4)",26.4,"(25.5, 27.6)",1.6,"( 1.5,  1.7)",18.1,"(16.0, 20.4)",81.3,"(78.3, 83.9)",12.2,"(10.7, 13.8)",26.1,"(24.6, 27.4)",84.8,"(82.2, 87.0)",8.3,"( 7.4,  9.2)",32.1,"(30.3, 33.7)",1.5,"( 1.3,  1.7)",10.5,"( 6.5, 16.1)","(35.48553619540, -97.5139473653)"
OK,Oklahoma City,4055000,40109102600,4055000-40109102600,437,27.2,"(22.9, 31.8)",19.8,"(18.9, 20.6)",9,"( 8.4,  9.6)",33.7,"(32.3, 35.1)",67.2,"(65.5, 68.9)",2.7,"( 2.5,  2.8)",14.3,"(13.3, 15.8)",4.7,"( 4.3,  5.0)",69.6,"(68.3, 70.9)",49.4,"(46.4, 52.7)",45.4,"(41.4, 49.1)",8,"( 7.2,  9.0)",19.2,"(14.6, 25.1)",24.4,"(20.4, 28.8)",26.9,"(23.2, 30.2)",34.6,"(30.3, 39.5)",12.4,"(11.6, 13.1)",31.1,"(29.5, 32.7)",3.4,"( 3.2,  3.7)",41.7,"(37.4, 45.5)",84.3,"(82.1, 86.2)",22.5,"(20.1, 24.9)",43.9,"(42.0, 45.7)",85.4,"(83.3, 87.5)",17.2,"(15.6, 18.8)",43.5,"(41.3, 45.2)",4.2,"( 3.8,  4.7)",37.6,"(27.8, 46.8)","(35.47884113390, -97.5074212609)"
OK,Oklahoma City,4055000,40109108524,4055000-40109108524,"3,237",9.3,"( 7.9, 10.9)",21.7,"(20.8, 22.8)",13.6,"(13.3, 14.0)",28.7,"(27.8, 29.6)",75.5,"(74.7, 76.3)",6,"( 5.8,  6.2)",8.7,"( 8.3,  9.2)",4.9,"( 4.5,  5.3)",70.1,"(69.5, 70.7)",80.8,"(79.6, 82.0)",68,"(65.2, 70.1)",4.7,"( 4.1,  5.5)",43.3,"(39.0, 47.0)",45.9,"(41.4, 49.7)",12.5,"(10.5, 14.6)",74,"(71.2, 76.4)",8.2,"( 7.7,  8.7)",34.3,"(33.6, 35.1)",2.2,"( 2.1,  2.3)",19.7,"(17.9, 21.7)",81.7,"(79.5, 83.6)",10.1,"( 9.2, 11.2)",26.8,"(25.7, 27.9)",85.3,"(83.6, 86.8)",9.6,"( 8.6, 10.7)",30.8,"(29.7, 31.9)",2.2,"( 2.0,  2.4)",7.7,"( 5.2, 11.1)","(35.59863525200, -97.6664017321)"
OK,Oklahoma City,4055000,40109103500,4055000-40109103500,351,34.5,"(30.5, 38.4)",30.1,"(28.7, 31.4)",9.8,"( 9.4, 10.3)",39.4,"(38.0, 40.8)",72.1,"(71.0, 73.2)",4.4,"( 4.2,  4.6)",13,"(12.1, 13.9)",10.4,"( 9.5, 11.3)",61.9,"(60.6, 63.1)",59.8,"(57.0, 62.5)",35.1,"(31.1, 39.2)",14.2,"(12.5, 15.8)",23.3,"(17.7, 30.3)",22.5,"(18.2, 27.2)",35.5,"(31.9, 38.9)",31.1,"(27.4, 35.4)",17.7,"(16.7, 18.8)",42,"(40.5, 43.6)",4.6,"( 4.4,  4.9)",48.2,"(44.5, 51.5)",76.6,"(72.9, 80.5)",24.1,"(22.2, 26.0)",45.9,"(44.5, 47.1)",81.5,"(79.1, 84.1)",26.4,"(24.1, 28.6)",40.9,"(39.6, 42.1)",6.2,"( 5.6,  6.8)",38.6,"(27.9, 48.2)","(35.46324828490, -97.5362568203)"
OK,Oklahoma City,4055000,40109104600,4055000-40109104600,"1,076",39,"(33.8, 44.0)",23.8,"(22.9, 24.8)",10.7,"(10.1, 11.3)",30,"(29.1, 30.9)",69.6,"(68.4, 70.9)",4.3,"( 4.1,  4.4)",10.9,"(10.1, 11.8)",7.9,"( 7.3,  8.5)",61.8,"(60.5, 63.1)",60,"(57.4, 62.9)",43.4,"(40.0, 46.5)",9.4,"( 8.5, 10.3)",26,"(21.8, 30.7)",25.1,"(21.6, 28.6)",24.7,"(22.0, 27.5)",38.1,"(34.0, 42.8)",14.3,"(13.5, 15.1)",36.8,"(35.4, 38.1)",3.9,"( 3.7,  4.2)",43.8,"(40.0, 47.3)",77.3,"(74.9, 79.7)",19.2,"(17.4, 21.1)",39.9,"(38.5, 41.1)",82.6,"(80.7, 84.6)",20.1,"(18.4, 21.9)",36.7,"(35.3, 38.0)",4.4,"( 4.0,  4.8)",32.6,"(25.7, 39.2)","(35.43987893220, -97.5257933357)"
