Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
41001950100,41,001,950100,83.3,2.008,3
41001950200,41,001,950200,78.1,1.2977,3
41001950300,41,001,950300,74.2,1.3843,3
41001950400,41,001,950400,75.8,1.9248,3
41001950500,41,001,950500,76.3,0.9321,3
41001950600,41,001,950600,77.9,1.88,3
41003000100,41,003,000100,81.5,2.5123,3
41003000202,41,003,000202,85.5,1.6513,3
41003000400,41,003,000400,85.1,1.4675,3
41003000500,41,003,000500,81,1.9329,3
41003000600,41,003,000600,78,1.5071,1
41003000900,41,003,000900,87.6,2.6198,3
41003001001,41,003,001001,79.7,1.1452,2
41003010100,41,003,010100,83.8,1.8114,3
41003010200,41,003,010200,80.2,1.451,1
41003010300,41,003,010300,84.4,2.356,3
41003010400,41,003,010400,79.8,2.1783,3
41003010800,41,003,010800,77.8,1.3618,3
41003010900,41,003,010900,80.5,1.2768,3
41005020100,41,005,020100,82,1.7769,3
41005020200,41,005,020200,86.9,2.2246,3
41005020302,41,005,020302,80.4,1.474,3
41005020304,41,005,020304,81.4,1.9153,3
41005020401,41,005,020401,80.6,1.5374,3
41005020403,41,005,020403,80.1,2.2601,3
41005020404,41,005,020404,81.2,2.6022,3
41005020501,41,005,020501,80.9,1.3875,3
41005020503,41,005,020503,80.8,1.1458,3
41005020504,41,005,020504,83.5,1.7392,3
41005020505,41,005,020505,85.9,1.7981,3
41005020600,41,005,020600,83,1.5648,3
41005020800,41,005,020800,81.1,2.4521,3
41005020900,41,005,020900,79.9,1.9876,3
41005021000,41,005,021000,80.3,2.1579,3
41005021100,41,005,021100,78.9,1.4715,3
41005021200,41,005,021200,78,1.4088,3
41005021300,41,005,021300,79,1.6229,3
41005021400,41,005,021400,78.5,1.6967,3
41005021500,41,005,021500,79.6,1.212,3
41005021601,41,005,021601,74.3,1.0934,3
41005021602,41,005,021602,78.4,1.4327,3
41005021700,41,005,021700,79.3,1.8622,1
41005021801,41,005,021801,81,1.6219,3
41005021802,41,005,021802,77.8,1.3036,3
41005021900,41,005,021900,81.9,2.7821,3
41005022000,41,005,022000,79.6,1.0293,1
41005022101,41,005,022101,80.7,1.2593,3
41005022103,41,005,022103,78.5,1.502,3
41005022105,41,005,022105,80.1,1.36,3
41005022107,41,005,022107,78.1,1.3146,3
41005022108,41,005,022108,75.1,1.6626,3
41005022201,41,005,022201,76.7,1.6594,3
41005022205,41,005,022205,80.6,1.5599,3
41005022206,41,005,022206,82.8,1.9888,3
41005022207,41,005,022207,81.2,1.4724,3
41005022208,41,005,022208,81.5,1.379,1
41005022301,41,005,022301,79.8,2.1899,3
41005022302,41,005,022302,78.3,1.2744,3
41005022400,41,005,022400,77.4,1.562,3
41005022500,41,005,022500,75.2,1.0199,3
41005022602,41,005,022602,78.4,2.6216,3
41005022603,41,005,022603,81.5,2.3889,3
41005022605,41,005,022605,75.2,1.3754,3
41005022606,41,005,022606,80.3,1.4266,3
41005022702,41,005,022702,88.6,3.4345,3
41005022707,41,005,022707,83.6,2.4181,3
41005022708,41,005,022708,81,1.6778,3
41005022710,41,005,022710,75.5,2.0308,3
41005022800,41,005,022800,79.4,1.9391,3
41005022901,41,005,022901,84.6,3.5392,3
41005022904,41,005,022904,79.7,1.6571,3
41005022905,41,005,022905,81,1.4645,3
41005022906,41,005,022906,77.2,1.502,3
41005022907,41,005,022907,81.1,1.9692,3
41005023001,41,005,023001,77.7,2.1727,3
41005023002,41,005,023002,85.2,2.8736,3
41005023100,41,005,023100,79.3,1.2463,3
41005023201,41,005,023201,80.7,1.23,3
41005023202,41,005,023202,80,1.67,3
41005023300,41,005,023300,80.7,1.2382,3
41005023401,41,005,023401,80.2,1.3132,3
41005023403,41,005,023403,78,1.235,3
41005023404,41,005,023404,78.5,1.1253,3
41005023500,41,005,023500,76.4,1.3957,1
41005023600,41,005,023600,78.7,1.7298,3
41005023700,41,005,023700,79.7,1.1676,3
41005023800,41,005,023800,80.9,1.5208,3
41005023901,41,005,023901,78,1.3131,3
41005023902,41,005,023902,76.3,1.2052,3
41005024000,41,005,024000,76.8,1.4354,3
41005024100,41,005,024100,78,1.1221,3
41005024200,41,005,024200,77.3,1.2749,3
41005024302,41,005,024302,80,1.4078,3
41005024303,41,005,024303,82.1,2.1589,3
41005024304,41,005,024304,81.5,3.7854,3
41005024400,41,005,024400,78.7,1.2427,3
41007950100,41,007,950100,79.7,2.6396,3
41007950200,41,007,950200,76.4,2.5212,3
41007950300,41,007,950300,76.5,1.2337,3
41007950400,41,007,950400,79.8,1.6942,3
41007950500,41,007,950500,76.9,1.7969,3
41007950600,41,007,950600,78.2,1.7089,3
41007950700,41,007,950700,80.3,1.8505,3
41007950900,41,007,950900,77.1,1.9685,1
41007951100,41,007,951100,77.8,1.1737,3
41007951200,41,007,951200,77.7,1.488,3
41007951300,41,007,951300,77.5,1.9429,3
41009970200,41,009,970200,80.1,1.3466,3
41009970300,41,009,970300,77.8,1.0769,3
41009970400,41,009,970400,77.7,1.4989,3
41009970500,41,009,970500,79.6,1.0933,3
41009970600,41,009,970600,80.5,2.0622,3
41009970700,41,009,970700,73.9,1.4661,1
41009970800,41,009,970800,77.2,1.1527,2
41009970900,41,009,970900,79.8,1.6916,3
41009971000,41,009,971000,81.1,1.6216,3
41009971100,41,009,971100,79.5,2.5199,3
41011000100,41,011,000100,79.1,1.6745,3
41011000200,41,011,000200,75.5,1.501,3
41011000300,41,011,000300,75.4,1.3,3
41011000400,41,011,000400,77.8,1.2713,3
41011000502,41,011,000502,72.3,1.8568,3
41011000503,41,011,000503,75.9,2.1585,3
41011000504,41,011,000504,75.3,1.0683,3
41011000600,41,011,000600,76.5,1.5673,3
41011000700,41,011,000700,74.4,1.3434,3
41011000900,41,011,000900,77.1,0.9102,3
41011001000,41,011,001000,78.7,1.3424,3
41011001100,41,011,001100,76.5,1.1577,3
41013950100,41,013,950100,80,1.4473,3
41013950200,41,013,950200,74.9,1.359,3
41013950300,41,013,950300,78.6,1.3015,3
41013950400,41,013,950400,75.5,3.324,2
41015950100,41,015,950100,78.7,2.2948,3
41015950200,41,015,950200,76.4,1.2643,3
41015950301,41,015,950301,74.7,1.3437,3
