StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long
OR,Portland,4159000,41051004101,4159000-41051004101,7215,13.7,10.9,"(45.60462497390, -122.757865605)",45.60462497390,-122.757865605
OR,Portland,4159000,41051000802,4159000-41051000802,4526,12.2,9.1,"(45.49383173160, -122.611978291)",45.49383173160,-122.611978291
OR,Portland,4159000,41051000801,4159000-41051000801,4518,10.7,8.2,"(45.50136754780, -122.610904755)",45.50136754780,-122.610904755
OR,Portland,4159000,41051007900,4159000-41051007900,4530,13.6,11.8,"(45.55336928220, -122.548153145)",45.55336928220,-122.548153145
OR,Portland,4159000,41051001000,4159000-41051001000,5353,12.4,8.9,"(45.49793417440, -122.649708925)",45.49793417440,-122.649708925
OR,Portland,4159000,41051003502,4159000-41051003502,2028,10.6,8.3,"(45.55144817270, -122.682889347)",45.55144817270,-122.682889347
OR,Portland,4159000,41051003501,4159000-41051003501,3518,11.7,8.9,"(45.55945744430, -122.685972685)",45.55945744430,-122.685972685
OR,Portland,4159000,41051007700,4159000-41051007700,1977,13.4,11.9,"(45.55923725040, -122.571030546)",45.55923725040,-122.571030546
OR,Portland,4159000,41051008302,4159000-41051008302,4158,15.3,14.6,"(45.49706386470, -122.556899138)",45.49706386470,-122.556899138
OR,Portland,4159000,41051008600,4159000-41051008600,4241,14.6,12.6,"(45.46888175760, -122.584193203)",45.46888175760,-122.584193203
OR,Portland,4159000,41051006100,4159000-41051006100,2337,8.3,7.8,"(45.48506335380, -122.700648305)",45.48506335380,-122.700648305
OR,Portland,4159000,41051004200,4159000-41051004200,3333,12.2,9.4,"(45.59140719610, -122.761490208)",45.59140719610,-122.761490208
OR,Portland,4159000,41067030402,4159000-41067030402,325,10.1,7.6,"(45.47307028870, -122.745992009)",45.47307028870,-122.745992009
OR,Portland,4159000,41051005000,4159000-41051005000,2291,8.5,5.3,"(45.53005053280, -122.687497583)",45.53005053280,-122.687497583
OR,Portland,4159000,41051004300,4159000-41051004300,1019,9.8,8.7,"(45.57814726210, -122.768200519)",45.57814726210,-122.768200519
OR,Portland,4159000,41051009702,4159000-41051009702,4592,16.2,15.8,"(45.51150725400, -122.489933780)",45.51150725400,-122.489933780
OR,Portland,4159000,41051003200,4159000-41051003200,3968,10,7.5,"(45.55532999140, -122.645476941)",45.55532999140,-122.645476941
