StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
OR,Portland,4159000,41051007300,4159000-41051007300,"1,948",20,"(17.8, 22.2)",17.5,"(16.8, 18.2)",22.8,"(22.1, 23.5)",28.4,"(27.6, 29.2)",61.2,"(60.1, 62.4)",3.6,"( 3.4,  3.7)",9.5,"( 9.0, 10.1)",5.6,"( 5.2,  6.0)",53.3,"(52.3, 54.2)",56,"(54.1, 57.9)",51.6,"(48.2, 54.8)",6.9,"( 6.2,  7.5)",27.7,"(24.3, 31.0)",21.4,"(18.2, 24.7)",30.1,"(27.4, 32.5)",49.2,"(46.2, 52.4)",9.4,"( 8.9,  9.8)",34.6,"(33.7, 35.6)",2.7,"( 2.6,  2.8)",21.1,"(19.4, 22.6)",71.3,"(68.6, 73.9)",16.5,"(15.4, 17.7)",31.6,"(30.6, 32.5)",79.1,"(77.5, 80.4)",14.2,"(13.1, 15.4)",37.8,"(36.8, 38.7)",3.1,"( 2.8,  3.3)",25,"(20.1, 30.2)","(45.58156084890, -122.588397934)"
OR,Portland,4159000,41051004300,4159000-41051004300,"1,019",6,"( 5.0,  7.1)",20.2,"(19.1, 21.3)",21.8,"(21.2, 22.4)",24,"(22.8, 25.1)",70.6,"(69.4, 71.9)",6.5,"( 6.3,  6.8)",8.6,"( 8.3,  9.0)",4.6,"( 4.2,  5.1)",62.5,"(61.7, 63.3)",81.1,"(79.8, 82.3)",72.9,"(70.1, 75.4)",4.3,"( 3.7,  5.0)",40,"(34.9, 45.5)",35.6,"(31.2, 39.8)",13.7,"(11.3, 16.2)",79.6,"(77.1, 82.2)",7,"( 6.4,  7.6)",33.9,"(33.0, 34.9)",2.2,"( 2.0,  2.3)",10.6,"( 9.2, 12.1)",76.2,"(73.0, 79.1)",9.8,"( 8.8, 10.9)",21.7,"(20.5, 22.9)",83.9,"(81.7, 85.9)",8.7,"( 7.7,  9.7)",28.7,"(27.2, 30.1)",2,"( 1.8,  2.3)",7,"( 4.6, 10.2)","(45.57814726210, -122.768200519)"
OR,Portland,4159000,41051001201,4159000-41051001201,"4,865",8,"( 6.4, 10.2)",12.9,"(12.1, 13.7)",24.6,"(23.6, 25.6)",16,"(15.2, 16.9)",57.4,"(55.3, 59.3)",3.8,"( 3.6,  4.0)",9.3,"( 8.7, 10.0)",2.7,"( 2.5,  3.0)",54.8,"(53.6, 56.0)",65.7,"(62.7, 68.1)",68.7,"(65.3, 71.4)",3.4,"( 2.9,  4.0)",36.8,"(31.1, 42.5)",29.1,"(25.3, 33.1)",15.6,"(12.3, 19.7)",72.8,"(68.4, 76.2)",4.3,"( 4.0,  4.7)",24.8,"(23.9, 25.8)",1.7,"( 1.6,  1.9)",10.4,"( 8.9, 12.2)",76.5,"(73.1, 79.2)",12.1,"(10.5, 14.0)",21.2,"(19.6, 22.8)",84.9,"(82.2, 87.0)",7.5,"( 6.6,  8.6)",29.9,"(27.9, 31.9)",1.5,"( 1.3,  1.6)",9.3,"( 6.0, 13.9)","(45.51571048260, -122.642165657)"
OR,Portland,4159000,41051001101,4159000-41051001101,"2,120",11,"( 8.5, 14.6)",15.6,"(14.6, 16.8)",21.6,"(20.6, 22.7)",20.9,"(19.7, 22.3)",60.5,"(58.5, 62.3)",3.8,"( 3.6,  4.0)",10,"( 9.3, 11.0)",3.9,"( 3.5,  4.4)",54.5,"(53.0, 55.8)",62,"(58.2, 65.2)",60.7,"(56.0, 64.6)",5,"( 4.1,  6.0)",30.7,"(24.0, 37.7)",25.3,"(20.5, 30.1)",20.3,"(15.9, 25.7)",63.2,"(57.5, 68.3)",6.5,"( 5.9,  7.2)",29.5,"(28.2, 30.9)",2.2,"( 2.1,  2.4)",14.5,"(12.1, 17.3)",76.3,"(71.9, 79.8)",14.5,"(12.5, 16.9)",25.5,"(23.7, 27.4)",82.9,"(79.5, 85.9)",10.4,"( 9.0, 12.2)",32.3,"(30.2, 34.5)",2.2,"( 1.9,  2.5)",14,"( 8.3, 22.0)","(45.51318272300, -122.660937595)"
OR,Portland,4159000,41051005700,4159000-41051005700,"3,430",7.3,"( 5.8,  9.3)",16,"(15.2, 17.0)",22.5,"(21.7, 23.3)",19.9,"(19.1, 20.9)",69,"(67.4, 70.5)",5.5,"( 5.3,  5.8)",8.4,"( 8.0,  9.0)",4,"( 3.6,  4.5)",59.3,"(58.3, 60.3)",69.3,"(66.9, 71.2)",73.2,"(70.1, 75.5)",3.6,"( 3.0,  4.2)",40.1,"(33.9, 45.7)",31.5,"(26.7, 35.9)",11.9,"( 9.6, 15.0)",77,"(73.3, 79.7)",5.7,"( 5.2,  6.2)",29.6,"(28.7, 30.6)",2,"( 1.9,  2.2)",10.2,"( 8.9, 11.8)",76.3,"(72.7, 79.0)",9.8,"( 8.7, 11.2)",18,"(16.9, 19.1)",81.9,"(78.9, 84.3)",7.2,"( 6.4,  8.2)",27.8,"(26.3, 29.4)",1.8,"( 1.6,  2.1)",8.1,"( 4.8, 13.5)","(45.50654892920, -122.674516828)"
OR,Portland,4159000,41051007202,4159000-41051007202,"2,579",10.4,"( 9.3, 11.7)",23.2,"(22.2, 24.2)",18.7,"(18.2, 19.1)",31.3,"(30.3, 32.2)",74.5,"(73.7, 75.3)",6.7,"( 6.5,  7.0)",9.6,"( 9.1, 10.1)",6,"( 5.5,  6.5)",63.7,"(63.0, 64.4)",74.6,"(73.4, 75.8)",68.9,"(66.0, 71.7)",5.9,"( 5.2,  6.7)",36.1,"(31.5, 40.2)",31.6,"(28.1, 35.1)",17.4,"(15.4, 19.4)",71.3,"(68.7, 73.7)",9.5,"( 9.0, 10.1)",38.7,"(37.9, 39.6)",2.7,"( 2.5,  2.8)",15.4,"(14.0, 16.9)",73.8,"(71.0, 76.3)",11.7,"(10.8, 12.7)",23.9,"(23.0, 24.8)",80.8,"(78.8, 82.7)",11.2,"(10.2, 12.3)",32,"(31.0, 33.0)",2.8,"( 2.6,  3.1)",12.1,"( 8.8, 15.8)","(45.61137149800, -122.718472748)"
OR,Portland,4159000,41051010600,4159000-41051010600,"3,442",14.2,"(12.2, 16.4)",26.3,"(25.2, 27.3)",16.7,"(16.2, 17.2)",35.2,"(34.1, 36.3)",73.8,"(72.8, 74.8)",6,"( 5.8,  6.2)",10.2,"( 9.6, 10.7)",8.9,"( 8.2,  9.7)",59.8,"(58.9, 60.6)",66.7,"(64.8, 68.4)",56.1,"(52.6, 58.9)",9,"( 8.0, 10.1)",27.9,"(23.8, 32.3)",21.9,"(18.4, 25.7)",24.1,"(21.2, 27.1)",54.1,"(50.7, 57.6)",13.8,"(13.0, 14.6)",41.8,"(40.8, 42.8)",4,"( 3.7,  4.2)",21.7,"(19.7, 23.7)",74.7,"(71.6, 77.2)",15.7,"(14.3, 17.0)",30.9,"(29.7, 32.1)",80.5,"(78.4, 82.7)",16.4,"(15.0, 17.8)",34.4,"(33.2, 35.6)",4.8,"( 4.4,  5.3)",22.1,"(16.5, 29.1)","(45.51870602970, -122.676126842)"
OR,Portland,4159000,41051005600,4159000-41051005600,"5,097",10.4,"( 8.5, 13.8)",13.5,"(12.9, 14.2)",21.2,"(20.0, 22.4)",17.6,"(16.9, 18.4)",63.2,"(61.4, 64.9)",3.8,"( 3.7,  4.0)",9.9,"( 9.2, 10.9)",3.8,"( 3.5,  4.1)",56.2,"(54.6, 57.5)",54,"(50.6, 57.0)",65.3,"(62.3, 67.9)",4.2,"( 3.6,  4.8)",33,"(27.9, 38.2)",24.7,"(21.4, 28.4)",15.5,"(12.2, 19.0)",67.1,"(61.9, 71.2)",5.5,"( 5.2,  5.9)",27.4,"(26.2, 28.8)",2.1,"( 1.9,  2.2)",13.2,"(11.5, 15.1)",73.4,"(70.2, 76.4)",13.9,"(11.7, 16.0)",18.8,"(17.4, 20.2)",77,"(73.6, 80.2)",8.4,"( 7.5,  9.5)",30,"(27.9, 32.0)",2,"( 1.8,  2.2)",14.2,"(10.0, 20.4)","(45.51214018580, -122.683983345)"
OR,Portland,4159000,41051004601,4159000-41051004601,"3,219",4.3,"( 3.7,  5.2)",21.7,"(20.8, 22.8)",19.1,"(18.7, 19.6)",25.6,"(24.8, 26.6)",75.8,"(74.9, 76.7)",8.4,"( 8.1,  8.6)",8.1,"( 7.8,  8.6)",5,"( 4.6,  5.5)",66.4,"(65.8, 67.0)",83.9,"(82.8, 84.7)",77.3,"(75.0, 78.9)",3.7,"( 3.2,  4.4)",43.5,"(38.7, 47.7)",36.6,"(32.8, 40.0)",8.7,"( 7.4, 10.5)",84.6,"(82.5, 86.2)",6.8,"( 6.4,  7.4)",35.4,"(34.6, 36.2)",2.3,"( 2.2,  2.4)",8.8,"( 7.9, 10.1)",77.1,"(74.4, 79.1)",7.6,"( 7.0,  8.4)",18.1,"(17.4, 19.0)",85.2,"(83.3, 86.5)",7.2,"( 6.6,  8.2)",24.8,"(23.9, 25.8)",2.1,"( 1.9,  2.3)",4.9,"( 3.3,  7.7)","(45.51965830700, -122.710234752)"
OR,Portland,4159000,41051005500,4159000-41051005500,"2,473",10.5,"( 8.5, 12.9)",15.6,"(14.7, 16.6)",20.4,"(19.6, 21.3)",20.9,"(19.9, 22.0)",63.7,"(61.8, 65.4)",3.9,"( 3.7,  4.1)",9.9,"( 9.3, 10.8)",4.4,"( 4.0,  4.9)",55.7,"(54.5, 56.9)",58.4,"(55.0, 61.1)",63.3,"(58.9, 66.9)",5,"( 4.2,  5.8)",32.7,"(26.8, 38.2)",25.3,"(21.0, 29.7)",18,"(14.8, 21.6)",64,"(59.7, 67.9)",6.9,"( 6.3,  7.5)",30.6,"(29.2, 32.1)",2.3,"( 2.2,  2.5)",14.2,"(12.3, 16.3)",76.8,"(73.2, 79.8)",14.2,"(12.5, 16.2)",23,"(21.5, 24.5)",80.2,"(76.7, 83.1)",10,"( 8.8, 11.3)",31.5,"(29.6, 33.3)",2.3,"( 2.0,  2.6)",14.5,"( 9.2, 21.3)","(45.51414356500, -122.690909947)"
