OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,StateAbb_1,PlaceNam_1,PlaceFIP_1,TractFIP_1,Place_Tr_1,Populati_1,MHLTH_Cr_1,PHLTH_Cr_1,Geolocat_1,lat_1,long_1,MHLTH_Me_1,PHLTH_Me_1,Distance,Dist_HLTH
-1,1,0,1,0,WA,Seattle,5363000,53033001702.000000000000000,5363000-53033001702,4234,10.000000000000000,8.699999999999999,"(47.69652123560, -122.363948372)",47.696521240000003,-122.363948399999998,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033001702.000000000000000,5363000-53033001702,4234,10.000000000000000,8.699999999999999,"(47.69652123560, -122.363948372)",47.696521240000003,-122.363948399999998,9.500000000000000,8.150000000000000,2,4.500000000000000
-1,1,1,1,1,WA,Seattle,5363000,53033008500.000000000000000,5363000-53033008500,4341,12.699999999999999,12.000000000000000,"(47.60511253570, -122.324946395)",47.605112540000000,-122.324946400000002,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033008500.000000000000000,5363000-53033008500,4341,12.699999999999999,12.000000000000000,"(47.60511253570, -122.324946395)",47.605112540000000,-122.324946400000002,9.500000000000000,8.150000000000000,2,4.500000000000000
-1,1,2,1,2,WA,Seattle,5363000,53033011002.000000000000000,5363000-53033011002,4479,13.900000000000000,14.699999999999999,"(47.54041423320, -122.298910205)",47.540414230000003,-122.298910199999995,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033011002.000000000000000,5363000-53033011002,4479,13.900000000000000,14.699999999999999,"(47.54041423320, -122.298910205)",47.540414230000003,-122.298910199999995,9.500000000000000,8.150000000000000,1,3.500000000000000
-1,1,3,1,3,WA,Seattle,5363000,53033011001.000000000000000,5363000-53033011001,4534,15.000000000000000,16.500000000000000,"(47.53835966610, -122.286204744)",47.538359669999998,-122.286204699999999,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033011001.000000000000000,5363000-53033011001,4534,15.000000000000000,16.500000000000000,"(47.53835966610, -122.286204744)",47.538359669999998,-122.286204699999999,9.500000000000000,8.150000000000000,3,5.500000000000000
-1,1,4,1,4,WA,Seattle,5363000,53033005900.000000000000000,5363000-53033005900,6836,10.400000000000000,7.000000000000000,"(47.64842451110, -122.368400478)",47.648424509999998,-122.368400500000007,9.500000000000000,8.150000000000000,1.500000000000000,0.000000000000000,1.500000000000000,WA,Seattle,5363000,53033005900.000000000000000,5363000-53033005900,6836,10.400000000000000,7.000000000000000,"(47.64842451110, -122.368400478)",47.648424509999998,-122.368400500000007,9.500000000000000,8.150000000000000,2,3.500000000000000
-1,1,5,1,5,WA,Seattle,5363000,53033007402.000000000000000,5363000-53033007402,4921,10.900000000000000,7.000000000000000,"(47.61876077830, -122.324418839)",47.618760780000002,-122.324418800000004,9.500000000000000,8.150000000000000,1.500000000000000,0.000000000000000,1.500000000000000,WA,Seattle,5363000,53033007402.000000000000000,5363000-53033007402,4921,10.900000000000000,7.000000000000000,"(47.61876077830, -122.324418839)",47.618760780000002,-122.324418800000004,9.500000000000000,8.150000000000000,3,4.500000000000000
-1,1,6,1,6,WA,Seattle,5363000,53033001300.000000000000000,5363000-53033001300,4340,10.300000000000001,8.100000000000000,"(47.70228120540, -122.342179018)",47.702281210000002,-122.342179000000002,9.500000000000000,8.150000000000000,1.500000000000000,0.000000000000000,1.500000000000000,WA,Seattle,5363000,53033001300.000000000000000,5363000-53033001300,4340,10.300000000000001,8.100000000000000,"(47.70228120540, -122.342179018)",47.702281210000002,-122.342179000000002,9.500000000000000,8.150000000000000,3,4.500000000000000
-1,1,7,1,7,WA,Seattle,5363000,53033009400.000000000000000,5363000-53033009400,5700,11.199999999999999,10.400000000000000,"(47.58819261000, -122.309867202)",47.588192610000000,-122.309867199999999,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033009400.000000000000000,5363000-53033009400,5700,11.199999999999999,10.400000000000000,"(47.58819261000, -122.309867202)",47.588192610000000,-122.309867199999999,9.500000000000000,8.150000000000000,3,5.500000000000000
-1,1,8,1,8,WA,Seattle,5363000,53033011402.000000000000000,5363000-53033011402,4174,12.100000000000000,11.699999999999999,"(47.52066530380, -122.364625321)",47.520665299999997,-122.364625300000000,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033011402.000000000000000,5363000-53033011402,4174,12.100000000000000,11.699999999999999,"(47.52066530380, -122.364625321)",47.520665299999997,-122.364625300000000,9.500000000000000,8.150000000000000,3,5.500000000000000
-1,1,9,1,9,WA,Seattle,5363000,53033011401.000000000000000,5363000-53033011401,4027,12.400000000000000,10.300000000000001,"(47.52970616480, -122.362027890)",47.529706160000003,-122.362027900000001,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033011401.000000000000000,5363000-53033011401,4027,12.400000000000000,10.300000000000001,"(47.52970616480, -122.362027890)",47.529706160000003,-122.362027900000001,9.500000000000000,8.150000000000000,1,3.500000000000000
-1,1,10,1,10,WA,Seattle,5363000,53033004500.000000000000000,5363000-53033004500,2676,10.300000000000001,6.800000000000000,"(47.66858242790, -122.322911084)",47.668582430000001,-122.322911099999999,9.500000000000000,8.150000000000000,1.500000000000000,0.000000000000000,1.500000000000000,WA,Seattle,5363000,53033004500.000000000000000,5363000-53033004500,2676,10.300000000000001,6.800000000000000,"(47.66858242790, -122.322911084)",47.668582430000001,-122.322911099999999,9.500000000000000,8.150000000000000,3,4.500000000000000
-1,1,11,1,11,WA,Seattle,5363000,53033000100.000000000000000,5363000-53033000100,6255,11.000000000000000,10.100000000000000,"(47.72625422560, -122.282375824)",47.726254230000002,-122.282375799999997,9.500000000000000,8.150000000000000,1.500000000000000,1.000000000000000,2.500000000000000,WA,Seattle,5363000,53033000100.000000000000000,5363000-53033000100,6255,11.000000000000000,10.100000000000000,"(47.72625422560, -122.282375824)",47.726254230000002,-122.282375799999997,9.500000000000000,8.150000000000000,3,5.500000000000000
