StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long
WA,Seattle,5363000,53033002600,5363000-53033002600,4660,9.1,7.4,"(47.68274525150, -122.311928355)",47.68274525150,-122.311928355
WA,Seattle,5363000,53033010200,5363000-53033010200,4835,8.7,8.7,"(47.55379972480, -122.259244355)",47.55379972480,-122.259244355
WA,Seattle,5363000,53033004100,5363000-53033004100,7789,7.8,7.4,"(47.66011163950, -122.262670783)",47.66011163950,-122.262670783
WA,Seattle,5363000,53033006700,5363000-53033006700,6544,8.6,6.1,"(47.63222610100, -122.344663797)",47.63222610100,-122.344663797
WA,Seattle,5363000,53033007000,5363000-53033007000,6959,8.9,6.9,"(47.62823285940, -122.356806222)",47.62823285940,-122.356806222
WA,Seattle,5363000,53033000500,5363000-53033000500,3165,8,9,"(47.72243978560, -122.370668003)",47.72243978560,-122.370668003
WA,Seattle,5363000,53033001701,5363000-53033001701,3818,9.5,7.2,"(47.69636219640, -122.354484063)",47.69636219640,-122.354484063
WA,Seattle,5363000,53033001702,5363000-53033001702,4234,10,8.7,"(47.69652123560, -122.363948372)",47.69652123560,-122.363948372
WA,Seattle,5363000,53033010600,5363000-53033010600,7310,9.5,8.8,"(47.54808388180, -122.392197893)",47.54808388180,-122.392197893
WA,Seattle,5363000,53033007800,5363000-53033007800,5145,7.8,7.7,"(47.61357160350, -122.279022669)",47.61357160350,-122.279022669
WA,Seattle,5363000,53033008500,5363000-53033008500,4341,12.7,12,"(47.60511253570, -122.324946395)",47.60511253570,-122.324946395
WA,Seattle,5363000,53033002800,5363000-53033002800,4481,8.7,6.6,"(47.68512015090, -122.349925552)",47.68512015090,-122.349925552
WA,Seattle,5363000,53033003400,5363000-53033003400,3302,8.4,6.6,"(47.67406477550, -122.361746269)",47.67406477550,-122.361746269
WA,Seattle,5363000,53033002200,5363000-53033002200,5286,7.3,7.7,"(47.69359572700, -122.271631643)",47.69359572700,-122.271631643
WA,Seattle,5363000,53033003500,5363000-53033003500,3936,8.5,7.6,"(47.67254689680, -122.352088050)",47.67254689680,-122.352088050
WA,Seattle,5363000,53033005600,5363000-53033005600,6382,7.4,7.8,"(47.64074874310, -122.407142505)",47.64074874310,-122.407142505
WA,Seattle,5363000,53033011002,5363000-53033011002,4479,13.9,14.7,"(47.54041423320, -122.298910205)",47.54041423320,-122.298910205
WA,Seattle,5363000,53033011001,5363000-53033011001,4534,15,16.5,"(47.53835966610, -122.286204744)",47.53835966610,-122.286204744
WA,Seattle,5363000,53033005900,5363000-53033005900,6836,10.4,7,"(47.64842451110, -122.368400478)",47.64842451110,-122.368400478
WA,Seattle,5363000,53033007401,5363000-53033007401,4115,9.1,5.8,"(47.62292436670, -122.324658436)",47.62292436670,-122.324658436
WA,Seattle,5363000,53033007402,5363000-53033007402,4921,10.9,7,"(47.61876077830, -122.324418839)",47.61876077830,-122.324418839
WA,Seattle,5363000,53033001300,5363000-53033001300,4340,10.3,8.1,"(47.70228120540, -122.342179018)",47.70228120540,-122.342179018
WA,Seattle,5363000,53033006200,5363000-53033006200,3848,7.5,7,"(47.63935779410, -122.300718610)",47.63935779410,-122.300718610
WA,Seattle,5363000,53033009400,5363000-53033009400,5700,11.2,10.4,"(47.58819261000, -122.309867202)",47.58819261000,-122.309867202
WA,Seattle,5363000,53033000900,5363000-53033000900,2019,7.8,8.3,"(47.70749035060, -122.270496698)",47.70749035060,-122.270496698
WA,Seattle,5363000,53033011402,5363000-53033011402,4174,12.1,11.7,"(47.52066530380, -122.364625321)",47.52066530380,-122.364625321
WA,Seattle,5363000,53033011401,5363000-53033011401,4027,12.4,10.3,"(47.52970616480, -122.362027890)",47.52970616480,-122.362027890
WA,Seattle,5363000,53033004500,5363000-53033004500,2676,10.3,6.8,"(47.66858242790, -122.322911084)",47.66858242790,-122.322911084
WA,Seattle,5363000,53033005000,5363000-53033005000,3600,9,6.4,"(47.66086963810, -122.341807603)",47.66086963810,-122.341807603
WA,Seattle,5363000,53033000100,5363000-53033000100,6255,11,10.1,"(47.72625422560, -122.282375824)",47.72625422560,-122.282375824
WA,Seattle,5363000,53033012000,5363000-53033012000,3349,9.9,9.3,"(47.51292907140, -122.380680857)",47.51292907140,-122.380680857
WA,Seattle,5363000,53033008002,5363000-53033008002,3013,11.4,10.8,"(47.61208708440, -122.345259193)",47.61208708440,-122.345259193
WA,Seattle,5363000,53033003100,5363000-53033003100,6219,9,8.3,"(47.68695035090, -122.396410425)",47.68695035090,-122.396410425
WA,Seattle,5363000,53033012100,5363000-53033012100,2681,8.3,9,"(47.50678290010, -122.386999879)",47.50678290010,-122.386999879
WA,Seattle,5363000,53033002500,5363000-53033002500,2802,8.9,7.9,"(47.68389716410, -122.302279208)",47.68389716410,-122.302279208
WA,Seattle,5363000,53033010300,5363000-53033010300,5940,11.6,11.3,"(47.55413649910, -122.282639137)",47.55413649910,-122.282639137
WA,Seattle,5363000,53033004900,5363000-53033004900,6139,8.6,5.7,"(47.65683202120, -122.351155006)",47.65683202120,-122.351155006
WA,Seattle,5363000,53033009300,5363000-53033009300,2354,11.2,10.8,"(47.57642780640, -122.330973144)",47.57642780640,-122.330973144
WA,Seattle,5363000,53033011300,5363000-53033011300,5984,11.8,10.6,"(47.52743056840, -122.344728536)",47.52743056840,-122.344728536
WA,Seattle,5363000,53033006600,5363000-53033006600,3540,8.5,6.2,"(47.63290875230, -122.330005201)",47.63290875230,-122.330005201
WA,Seattle,5363000,53033007100,5363000-53033007100,3055,8.9,6.2,"(47.62244424980, -122.357402012)",47.62244424980,-122.357402012
WA,Seattle,5363000,53033010702,5363000-53033010702,3679,15.9,14.7,"(47.54680437740, -122.373030215)",47.54680437740,-122.373030215
WA,Seattle,5363000,53033010701,5363000-53033010701,3385,13.5,11.4,"(47.54289384380, -122.366043004)",47.54289384380,-122.366043004
WA,Seattle,5363000,53033011101,5363000-53033011101,4390,11.4,11.8,"(47.53948424330, -122.277372611)",47.53948424330,-122.277372611
WA,Seattle,5363000,53033005200,5363000-53033005200,6076,12.6,7.8,"(47.65896613270, -122.323089500)",47.65896613270,-122.323089500
WA,Seattle,5363000,53033026500,5363000-53033026500,81,14,15.6,"(47.51739005610, -122.334279679)",47.51739005610,-122.334279679
WA,Seattle,5363000,53033007900,5363000-53033007900,5147,9.6,7.3,"(47.61438659500, -122.307672193)",47.61438659500,-122.307672193
WA,Seattle,5363000,53033008400,5363000-53033008400,3760,9.2,6.7,"(47.61346758060, -122.323941963)",47.61346758060,-122.323941963
WA,Seattle,5363000,53033000401,5363000-53033000401,5551,11.5,11.8,"(47.72894391810, -122.352671867)",47.72894391810,-122.352671867
WA,Seattle,5363000,53033008700,5363000-53033008700,3843,11.9,9.7,"(47.60592366600, -122.307790972)",47.60592366600,-122.307790972
WA,Seattle,5363000,53033000402,5363000-53033000402,4841,8.9,10,"(47.71685875600, -122.352366711)",47.71685875600,-122.352366711
WA,Seattle,5363000,53033001400,5363000-53033001400,4848,10.4,9.4,"(47.70672755020, -122.366496857)",47.70672755020,-122.366496857
WA,Seattle,5363000,53033002100,5363000-53033002100,3807,9,8,"(47.69536736090, -122.298045221)",47.69536736090,-122.298045221
WA,Seattle,5363000,53033003600,5363000-53033003600,5672,8.9,6.6,"(47.67719129800, -122.324205280)",47.67719129800,-122.324205280
WA,Seattle,5363000,53033011700,5363000-53033011700,5538,11,11.2,"(47.52017228130, -122.282851377)",47.52017228130,-122.282851377
WA,Seattle,5363000,53033010001,5363000-53033010001,3769,11.1,11.5,"(47.56799333100, -122.305027853)",47.56799333100,-122.305027853
WA,Seattle,5363000,53033010002,5363000-53033010002,4313,10.7,10,"(47.57657902680, -122.309572766)",47.57657902680,-122.309572766
WA,Seattle,5363000,53033007500,5363000-53033007500,6282,9.6,6.5,"(47.61839027260, -122.316886042)",47.61839027260,-122.316886042
WA,Seattle,5363000,53033003800,5363000-53033003800,2058,8.9,8.2,"(47.67940934190, -122.295529158)",47.67940934190,-122.295529158
WA,Seattle,5363000,53033001000,5363000-53033001000,1941,10.3,9.6,"(47.70640681840, -122.296064790)",47.70640681840,-122.296064790
WA,Seattle,5363000,53033009500,5363000-53033009500,5906,9.8,9.9,"(47.58197536270, -122.283080010)",47.58197536270,-122.283080010
WA,Seattle,5363000,53033008001,5363000-53033008001,5588,8.9,6.9,"(47.61492656620, -122.355141228)",47.61492656620,-122.355141228
WA,Seattle,5363000,53033010800,5363000-53033010800,4596,10.8,9.6,"(47.54801651960, -122.351573587)",47.54801651960,-122.351573587
WA,Seattle,5363000,53033000800,5363000-53033000800,2583,8.8,8.5,"(47.71124943730, -122.286082225)",47.71124943730,-122.286082225
WA,Seattle,5363000,53033004400,5363000-53033004400,6260,12.1,7.5,"(47.67034111060, -122.311932388)",47.67034111060,-122.311932388
WA,Seattle,5363000,53033006300,5363000-53033006300,4962,7.1,7.5,"(47.63620459600, -122.275885393)",47.63620459600,-122.275885393
WA,Seattle,5363000,53033001800,5363000-53033001800,4535,11.4,7.9,"(47.69404502200, -122.341977901)",47.69404502200,-122.341977901
WA,Seattle,5363000,53033026001,5363000-53033026001,106,11.4,11,"(47.50349590860, -122.245492605)",47.50349590860,-122.245492605
WA,Seattle,5363000,53033006900,5363000-53033006900,4080,8.8,7.4,"(47.63436302220, -122.366971480)",47.63436302220,-122.366971480
WA,Seattle,5363000,53033009800,5363000-53033009800,6198,9.5,8.5,"(47.57195509530, -122.383094045)",47.57195509530,-122.383094045
WA,Seattle,5363000,53033001900,5363000-53033001900,4157,9.7,8.1,"(47.69653508470, -122.326216042)",47.69653508470,-122.326216042
WA,Seattle,5363000,53033006100,5363000-53033006100,4796,8.3,6.3,"(47.64481031240, -122.322183742)",47.64481031240,-122.322183742
WA,Seattle,5363000,53033006800,5363000-53033006800,2834,8.1,6.7,"(47.63603067860, -122.356465296)",47.63603067860,-122.356465296
WA,Seattle,5363000,53033003200,5363000-53033003200,7683,8.7,7.7,"(47.67500279090, -122.401229042)",47.67500279090,-122.401229042
WA,Seattle,5363000,53033008900,5363000-53033008900,4829,10.7,9.7,"(47.59639732610, -122.284599271)",47.59639732610,-122.284599271
WA,Seattle,5363000,53033000300,5363000-53033000300,2603,11.2,10.3,"(47.73052448510, -122.332922932)",47.73052448510,-122.332922932
WA,Seattle,5363000,53033010401,5363000-53033010401,4432,11.4,12,"(47.55320414510, -122.295637891)",47.55320414510,-122.295637891
WA,Seattle,5363000,53033010402,5363000-53033010402,4669,9.5,9.1,"(47.55378777110, -122.310225765)",47.55378777110,-122.310225765
WA,Seattle,5363000,53033002400,5363000-53033002400,2972,8.5,7.7,"(47.68668122800, -122.287825765)",47.68668122800,-122.287825765
WA,Seattle,5363000,53033004800,5363000-53033004800,4539,8.4,6.5,"(47.66043019440, -122.360632478)",47.66043019440,-122.360632478
WA,Seattle,5363000,53033009000,5363000-53033009000,2925,10.5,11,"(47.59826418900, -122.309097655)",47.59826418900,-122.309097655
WA,Seattle,5363000,53033011200,5363000-53033011200,3873,14.4,14.4,"(47.52900993980, -122.326223335)",47.52900993980,-122.326223335
WA,Seattle,5363000,53033006500,5363000-53033006500,4157,8.1,6.2,"(47.63096364460, -122.317757814)",47.63096364460,-122.317757814
WA,Seattle,5363000,53033008300,5363000-53033008300,2505,9.2,8.4,"(47.61181784900, -122.328004252)",47.61181784900,-122.328004252
WA,Seattle,5363000,53033005802,5363000-53033005802,5059,8.9,7.2,"(47.63400723280, -122.379560976)",47.63400723280,-122.379560976
WA,Seattle,5363000,53033004000,5363000-53033004000,2690,9.1,9,"(47.67975367130, -122.247393629)",47.67975367130,-122.247393629
WA,Seattle,5363000,53033005301,5363000-53033005301,7085,16.8,8.4,"(47.66150509520, -122.313121537)",47.66150509520,-122.313121537
WA,Seattle,5363000,53033005302,5363000-53033005302,5706,17.9,6.9,"(47.65391343470, -122.301865562)",47.65391343470,-122.301865562
WA,Seattle,5363000,53033007200,5363000-53033007200,5318,9,5.8,"(47.61945409100, -122.343117658)",47.61945409100,-122.343117658
WA,Seattle,5363000,53033000700,5363000-53033000700,4438,10.8,9.3,"(47.71568919640, -122.301863186)",47.71568919640,-122.301863186
WA,Seattle,5363000,53033008600,5363000-53033008600,5055,12.7,7.1,"(47.60710165620, -122.316689264)",47.60710165620,-122.316689264
WA,Seattle,5363000,53033009600,5363000-53033009600,5252,8.7,9.2,"(47.58937787930, -122.387919141)",47.58937787930,-122.387919141
WA,Seattle,5363000,53033001500,5363000-53033001500,2454,8.1,8.1,"(47.69698245800, -122.396024745)",47.69698245800,-122.396024745
WA,Seattle,5363000,53033002000,5363000-53033002000,3406,9.4,8,"(47.69547215190, -122.311871345)",47.69547215190,-122.311871345
WA,Seattle,5363000,53033011600,5363000-53033011600,6413,8.6,8.9,"(47.52905660490, -122.390786623)",47.52905660490,-122.390786623
WA,Seattle,5363000,53033010100,5363000-53033010100,6553,10.8,11.1,"(47.56683441460, -122.275474923)",47.56683441460,-122.275474923
WA,Seattle,5363000,53033007600,5363000-53033007600,3498,8.9,6.5,"(47.62186780850, -122.307585803)",47.62186780850,-122.307585803
WA,Seattle,5363000,53033009200,5363000-53033009200,2825,12.6,14,"(47.60052013020, -122.334321409)",47.60052013020,-122.334321409
WA,Seattle,5363000,53033003900,5363000-53033003900,2772,7.9,7.8,"(47.67941166830, -122.282341434)",47.67941166830,-122.282341434
WA,Seattle,5363000,53033001100,5363000-53033001100,2503,9.3,8.5,"(47.70654720250, -122.306807229)",47.70654720250,-122.306807229
WA,Seattle,5363000,53033005700,5363000-53033005700,6001,8.3,8,"(47.66029223780, -122.413941948)",47.66029223780,-122.413941948
WA,Seattle,5363000,53033010900,5363000-53033010900,1287,10.2,8.6,"(47.54219647850, -122.319706528)",47.54219647850,-122.319706528
WA,Seattle,5363000,53033004700,5363000-53033004700,6739,9.1,6.8,"(47.66576387520, -122.375944172)",47.66576387520,-122.375944172
WA,Seattle,5363000,53033005801,5363000-53033005801,4743,10,8.1,"(47.65520106840, -122.385597536)",47.65520106840,-122.385597536
WA,Seattle,5363000,53033004600,5363000-53033004600,3251,8.4,6.8,"(47.67402406920, -122.337763430)",47.67402406920,-122.337763430
WA,Seattle,5363000,53033009900,5363000-53033009900,4787,9.5,7.5,"(47.57488815240, -122.360871687)",47.57488815240,-122.360871687
WA,Seattle,5363000,53033006000,5363000-53033006000,5150,8.5,6.8,"(47.64405591030, -122.352152194)",47.64405591030,-122.352152194
WA,Seattle,5363000,53033003300,5363000-53033003300,6224,8.9,6.6,"(47.67597135680, -122.376812505)",47.67597135680,-122.376812505
WA,Seattle,5363000,53033001600,5363000-53033001600,4131,8.3,8.5,"(47.70065915510, -122.382499903)",47.70065915510,-122.382499903
WA,Seattle,5363000,53033008800,5363000-53033008800,3503,10.5,8.9,"(47.60733010000, -122.297632377)",47.60733010000,-122.297632377
WA,Seattle,5363000,53033000200,5363000-53033000200,7646,9.8,9.2,"(47.72664019670, -122.309996158)",47.72664019670,-122.309996158
WA,Seattle,5363000,53033010500,5363000-53033010500,6342,9.3,8.9,"(47.55744063970, -122.385549419)",47.55744063970,-122.385549419
WA,Seattle,5363000,53033009100,5363000-53033009100,2508,12,15.3,"(47.59842321360, -122.321754376)",47.59842321360,-122.321754376
WA,Seattle,5363000,53033006400,5363000-53033006400,3207,7.7,6.9,"(47.62853983480, -122.304825856)",47.62853983480,-122.304825856
WA,Seattle,5363000,53033008200,5363000-53033008200,3280,8.7,7.9,"(47.61037287230, -122.331941139)",47.61037287230,-122.331941139
WA,Seattle,5363000,53033002900,5363000-53033002900,4177,8.6,7.1,"(47.68508731510, -122.360646644)",47.68508731510,-122.360646644
WA,Seattle,5363000,53033004302,5363000-53033004302,3518,14.8,8.2,"(47.66474069670, -122.303594998)",47.66474069670,-122.303594998
WA,Seattle,5363000,53033004301,5363000-53033004301,3531,10.1,7.8,"(47.66940200680, -122.300222224)",47.66940200680,-122.300222224
WA,Seattle,5363000,53033011900,5363000-53033011900,7108,11.6,12,"(47.50845637190, -122.251967372)",47.50845637190,-122.251967372
WA,Seattle,5363000,53033004200,5363000-53033004200,7618,8,7,"(47.67020430010, -122.284101460)",47.67020430010,-122.284101460
WA,Seattle,5363000,53033011102,5363000-53033011102,4419,11.8,12.9,"(47.53936993080, -122.259984057)",47.53936993080,-122.259984057
WA,Seattle,5363000,53033005100,5363000-53033005100,3662,8.5,6.9,"(47.65851851870, -122.332248054)",47.65851851870,-122.332248054
WA,Seattle,5363000,53033007300,5363000-53033007300,4668,9.5,7.8,"(47.61998840650, -122.333516341)",47.61998840650,-122.333516341
WA,Seattle,5363000,53033001200,5363000-53033001200,6494,11.3,10.4,"(47.70712138490, -122.322819507)",47.70712138490,-122.322819507
WA,Seattle,5363000,53033000600,5363000-53033000600,7626,10.3,9.5,"(47.71791701490, -122.332531521)",47.71791701490,-122.332531521
WA,Seattle,5363000,53033009701,5363000-53033009701,5290,8.5,8.1,"(47.57333677680, -122.410558261)",47.57333677680,-122.410558261
WA,Seattle,5363000,53033009702,5363000-53033009702,5173,9,8.4,"(47.57192765940, -122.396010435)",47.57192765940,-122.396010435
WA,Seattle,5363000,53033003000,5363000-53033003000,5637,9,7.6,"(47.68509587280, -122.374044416)",47.68509587280,-122.374044416
WA,Seattle,5363000,53033011500,5363000-53033011500,4191,10,8.8,"(47.53018362580, -122.375532980)",47.53018362580,-122.375532980
WA,Seattle,5363000,53033007700,5363000-53033007700,4476,8.6,6.6,"(47.61912053960, -122.297351615)",47.61912053960,-122.297351615
WA,Seattle,5363000,53033008100,5363000-53033008100,4070,10.5,10.7,"(47.60623096110, -122.339238220)",47.60623096110,-122.339238220
WA,Seattle,5363000,53033011800,5363000-53033011800,7383,15,15.7,"(47.52314388230, -122.259032300)",47.52314388230,-122.259032300
WA,Seattle,5363000,53033005400,5363000-53033005400,4948,8.3,5.6,"(47.64920104340, -122.338588065)",47.64920104340,-122.338588065
WA,Seattle,5363000,53033002700,5363000-53033002700,5289,8.6,6.8,"(47.68686715840, -122.331125223)",47.68686715840,-122.331125223
