Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
53033002600,53,033,002600,87.6,3.5537,3
53033010200,53,033,010200,83.4,1.7859,3
53033004100,53,033,004100,84.6,1.9868,1
53033006700,53,033,006700,85.7,2.2245,3
53033007000,53,033,007000,82.4,2.1533,3
53033000500,53,033,000500,82.1,1.5856,3
53033001701,53,033,001701,78.9,1.7305,3
53033001702,53,033,001702,76.6,1.743,3
53033010600,53,033,010600,88.3,2.4168,3
53033007800,53,033,007800,83.5,2.6344,3
53033008500,53,033,008500,86.4,2.4078,3
53033002800,53,033,002800,82.6,2.5991,3
53033003400,53,033,003400,82.4,2.747,3
53033002200,53,033,002200,82.6,1.248,3
53033003500,53,033,003500,83.1,1.653,3
53033005600,53,033,005600,82.9,1.7325,3
53033011002,53,033,011002,74.1,1.0255,2
53033011001,53,033,011001,76,1.012,2
53033005900,53,033,005900,84.3,1.8424,3
53033007402,53,033,007402,81.4,3.4572,2
53033001300,53,033,001300,78.6,2.0097,3
53033006200,53,033,006200,82.9,1.4685,3
53033009400,53,033,009400,88.1,3.8442,3
53033000900,53,033,000900,82.8,1.4762,3
53033011402,53,033,011402,79.9,1.5441,3
53033011401,53,033,011401,76.6,2.4768,3
53033004500,53,033,004500,81.2,1.5309,2
53033011900,53,033,011900,77.7,2.6763,1
53033008001,53,033,008001,78,2.3118,3
53033012000,53,033,012000,79.7,1.2635,3
53033008002,53,033,008002,80.5,1.9587,2
53033003100,53,033,003100,82.6,1.3579,3
53033012100,53,033,012100,83.6,1.624,3
53033002500,53,033,002500,83.1,2.1201,3
53033010300,53,033,010300,79,1.4565,3
53033004900,53,033,004900,75.2,1.5329,3
53033009300,53,033,009300,85.4,3.2926,3
53033011300,53,033,011300,81.7,1.952,3
53033006600,53,033,006600,81.2,3.1807,2
53033010702,53,033,010702,76.6,1.4606,3
53033010701,53,033,010701,77.5,2.0704,2
53033005100,53,033,005100,83.1,2.4724,3
53033005200,53,033,005200,81.2,1.8635,2
53033026500,53,033,026500,78.2,2.0907,3
53033007900,53,033,007900,79.7,1.7501,3
53033008400,53,033,008400,80,1.2713,2
53033000401,53,033,000401,77.8,1.6013,3
53033008700,53,033,008700,74.6,1.6554,3
53033001400,53,033,001400,77.6,1.6253,3
53033002100,53,033,002100,83.5,1.9209,3
53033011700,53,033,011700,79.8,1.7467,3
53033010001,53,033,010001,82.1,2.4269,3
53033010002,53,033,010002,79.8,1.4238,3
53033007500,53,033,007500,78,2.3429,3
53033003800,53,033,003800,86.9,3.02,3
53033001000,53,033,001000,79.6,1.6515,3
53033009500,53,033,009500,80.2,1.6164,3
53033000100,53,033,000100,77.9,1.3626,3
53033010800,53,033,010800,79.7,1.2969,3
53033000800,53,033,000800,80.2,1.476,3
53033009701,53,033,009701,86,2.38,3
53033001800,53,033,001800,79.4,2.1425,3
53033026001,53,033,026001,83.4,1.8415,3
53033006900,53,033,006900,81.2,1.2866,2
53033009800,53,033,009800,84.2,2.5251,3
53033001900,53,033,001900,85.6,2.3058,3
53033006100,53,033,006100,80.7,2.1801,3
53033006800,53,033,006800,76.9,2.2186,3
53033003200,53,033,003200,84.3,1.808,3
53033008900,53,033,008900,79.8,3.7761,3
53033000300,53,033,000300,78.4,1.5447,3
53033010401,53,033,010401,82.1,1.6381,3
53033010402,53,033,010402,83.2,1.6278,3
53033002400,53,033,002400,83.7,2.2238,3
53033004800,53,033,004800,80,1.5489,3
53033009000,53,033,009000,78.1,1.5863,3
53033011200,53,033,011200,73.3,1.5343,3
53033006500,53,033,006500,83.4,2.4279,3
53033004000,53,033,004000,84.6,2.6903,3
53033007200,53,033,007200,77.2,2.5294,3
53033000700,53,033,000700,82.1,1.2358,3
53033009600,53,033,009600,80.4,1.2845,3
53033001500,53,033,001500,83.6,1.712,3
53033002000,53,033,002000,82.6,1.7449,3
53033011600,53,033,011600,81.4,1.1094,3
53033010100,53,033,010100,77.3,1.2473,3
53033007600,53,033,007600,81,2.6342,2
53033009200,53,033,009200,76,1.169,2
53033003900,53,033,003900,83.3,1.2942,3
53033001100,53,033,001100,80.7,1.5897,3
53033005700,53,033,005700,82.4,1.2144,3
53033010900,53,033,010900,78.8,2.8601,2
53033004700,53,033,004700,80.4,1.7648,3
53033004600,53,033,004600,84,2.3691,3
53033009900,53,033,009900,80,2.3782,3
53033006000,53,033,006000,78.7,1.0086,3
53033003300,53,033,003300,80.2,2.0565,3
53033001600,53,033,001600,83.2,1.3921,3
53033008800,53,033,008800,80.4,2.0763,3
53033000200,53,033,000200,82.6,1.3171,1
53033010500,53,033,010500,79.2,1.1361,3
53033009100,53,033,009100,85.9,2.9339,3
