Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
53001950100,53,001,950100,76.2,1.3875,3
53001950200,53,001,950200,80.8,2.9492,3
53001950300,53,001,950300,79.9,1.7618,1
53001950400,53,001,950400,76.8,1.9056,3
53001950500,53,001,950500,79.6,1.7333,3
53003960100,53,003,960100,82.3,1.6684,3
53003960300,53,003,960300,74.9,1.4887,3
53003960400,53,003,960400,77.3,1.6364,3
53003960500,53,003,960500,74.3,1.425,3
53003960600,53,003,960600,79,1.7911,3
53005010100,53,005,010100,85.3,1.7789,3
53005010201,53,005,010201,84,2.1861,3
53005010202,53,005,010202,77.3,1.2823,3
53005010300,53,005,010300,78.8,1.4156,2
53005010400,53,005,010400,77.3,1.0964,2
53005010500,53,005,010500,72.1,1.3996,3
53005010600,53,005,010600,77.1,1.4167,3
53005010703,53,005,010703,77.9,1.8562,3
53005010705,53,005,010705,79.6,1.3926,3
53005010707,53,005,010707,82.2,2.1018,2
53005010708,53,005,010708,80.6,3.8374,3
53005010803,53,005,010803,82.4,1.7333,3
53005010805,53,005,010805,79.1,0.8577,3
53005010809,53,005,010809,82.3,2.751,3
53005010810,53,005,010810,81.9,0.8468,2
53005010811,53,005,010811,83.9,3.7004,3
53005010813,53,005,010813,83.1,1.2459,3
53005010814,53,005,010814,82.2,3.028,2
53005010901,53,005,010901,75.3,1.263,3
53005010902,53,005,010902,81.9,3.0719,3
53005011001,53,005,011001,79.9,1.3113,3
53005011002,53,005,011002,77.1,1.3952,3
53005011100,53,005,011100,75.8,0.9104,1
53005011200,53,005,011200,75.2,1.5212,1
53005011300,53,005,011300,77.9,1.578,3
53005011401,53,005,011401,76.2,1.2428,3
53005011402,53,005,011402,80.2,1.4059,3
53005011501,53,005,011501,78.3,1.6964,3
53005011503,53,005,011503,82,1.069,3
53005011700,53,005,011700,79.1,1.3549,3
53005011800,53,005,011800,81.5,2.1969,3
53005011900,53,005,011900,80.3,1.9465,1
53007960100,53,007,960100,80.1,2.4522,3
53007960200,53,007,960200,84.6,1.8868,3
53007960300,53,007,960300,80.9,1.318,3
53007960400,53,007,960400,78,1.6143,3
53007960500,53,007,960500,83.3,3.5516,3
53007960600,53,007,960600,79.1,1.3661,3
53007960700,53,007,960700,83.2,2.2054,3
