Tract ID,STATE2KX,CNTY2KX,TRACT2KX,e(0),se(e(0)),Abridged life table flag
11001000100,11,001,000100,85.6,1.9668,3
11001000202,11,001,000202,80.7,1.1933,2
11001000300,11,001,000300,81.1,1.2295,2
11001000400,11,001,000400,86.4,2.9498,3
11001000501,11,001,000501,80.9,1.5974,2
11001000502,11,001,000502,81.1,1.3489,2
11001000600,11,001,000600,83.7,1.4707,3
11001000701,11,001,000701,84.7,1.5905,3
11001000702,11,001,000702,80.9,1.477,2
11001000801,11,001,000801,90.2,2.5995,3
11001000802,11,001,000802,80.9,1.1728,2
11001000901,11,001,000901,84.6,0.9931,3
11001001001,11,001,001001,88.3,1.9663,3
11001001002,11,001,001002,79.6,2.0239,3
11001001100,11,001,001100,82.1,0.8713,3
11001001200,11,001,001200,90.7,3.5152,3
11001001302,11,001,001302,87.3,2.7914,3
11001001401,11,001,001401,84.4,2.4269,3
11001001402,11,001,001402,80.9,1.0619,3
11001001500,11,001,001500,85.4,1.2415,3
11001001600,11,001,001600,83.3,1.5857,3
11001001702,11,001,001702,80.2,2.0457,3
11001001803,11,001,001803,83.6,2.9854,3
11001001804,11,001,001804,77.3,1.7719,3
11001001901,11,001,001901,73.7,1.4379,3
11001001902,11,001,001902,81.7,2.4299,3
11001002001,11,001,002001,82.4,2.5594,3
11001002002,11,001,002002,74.1,2.9779,1
11001002101,11,001,002101,77.1,2.1821,1
11001002102,11,001,002102,76.1,1.4592,3
11001002201,11,001,002201,72.2,1.1341,3
11001002202,11,001,002202,73.8,1.4813,3
11001002301,11,001,002301,77.3,2.124,3
11001002302,11,001,002302,79.9,1.0865,2
11001002400,11,001,002400,79.9,1.8429,3
11001002501,11,001,002501,76.1,1.9087,3
11001002502,11,001,002502,77.3,1.7139,3
11001002600,11,001,002600,80.6,2.0242,3
11001002701,11,001,002701,77.5,1.3838,3
11001002702,11,001,002702,81.8,2.0263,2
11001002801,11,001,002801,77,1.7975,2
