StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,MHLTH_CrudePrev,PHLTH_CrudePrev,Geolocation,lat,long
DC,Washington,1150000,11001008804,1150000-11001008804,2412,13.5,12.9,"(38.91023402520, -76.9812278031)",38.91023402520,-76.9812278031
DC,Washington,1150000,11001000901,1150000-11001000901,7175,10.1,6.4,"(38.93810497460, -77.1004831061)",38.93810497460,-77.1004831061
DC,Washington,1150000,11001008802,1150000-11001008802,4119,11.9,11.5,"(38.90393518860, -76.9866495537)",38.90393518860,-76.9866495537
DC,Washington,1150000,11001000902,1150000-11001000902,2092,7.2,6.7,"(38.92799599100, -77.1075153424)",38.92799599100,-77.1075153424
DC,Washington,1150000,11001005301,1150000-11001005301,5051,7.8,4.6,"(38.91077900310, -77.0389514661)",38.91077900310,-77.0389514661
DC,Washington,1150000,11001008200,1150000-11001008200,2918,8.6,5.4,"(38.89183026320, -77.0006227874)",38.89183026320,-77.0006227874
DC,Washington,1150000,11001002802,1150000-11001002802,4277,12.7,10,"(38.92943021330, -77.0346297537)",38.92943021330,-77.0346297537
DC,Washington,1150000,11001002801,1150000-11001002801,3773,12.3,9.3,"(38.93494775550, -77.0345165596)",38.93494775550,-77.0345165596
DC,Washington,1150000,11001002600,1150000-11001002600,2166,6.9,6.9,"(38.94527421470, -77.0425303053)",38.94527421470,-77.0425303053
DC,Washington,1150000,11001008001,1150000-11001008001,2784,8.2,6,"(38.89619386560, -76.9866545148)",38.89619386560,-76.9866545148
DC,Washington,1150000,11001008002,1150000-11001008002,3031,8.5,6.2,"(38.89153778140, -76.9827632447)",38.89153778140,-76.9827632447
DC,Washington,1150000,11001000300,1150000-11001000300,6233,9.1,5.3,"(38.91755327990, -77.0756590546)",38.91755327990,-77.0756590546
DC,Washington,1150000,11001007603,1150000-11001007603,4044,12.9,13.1,"(38.85910914360, -76.9585463501)",38.85910914360,-76.9585463501
DC,Washington,1150000,11001007601,1150000-11001007601,4355,13.8,14.1,"(38.87151029050, -76.9799978917)",38.87151029050,-76.9799978917
DC,Washington,1150000,11001007605,1150000-11001007605,3447,14.2,14,"(38.86604330110, -76.9752566331)",38.86604330110,-76.9752566331
DC,Washington,1150000,11001007604,1150000-11001007604,3644,12.1,12.5,"(38.86608688260, -76.9637959927)",38.86608688260,-76.9637959927
DC,Washington,1150000,11001001002,1150000-11001001002,3442,11.1,6.9,"(38.93842167890, -77.0788872939)",38.93842167890,-77.0788872939
DC,Washington,1150000,11001008803,1150000-11001008803,2037,18,12.2,"(38.91042972860, -76.9913365682)",38.91042972860,-76.9913365682
DC,Washington,1150000,11001001200,1150000-11001001200,5008,7.5,5.5,"(38.94622652170, -77.0705246905)",38.94622652170,-77.0705246905
DC,Washington,1150000,11001008410,1150000-11001008410,1489,8.4,6.3,"(38.90155300960, -76.9911172684)",38.90155300960,-76.9911172684
DC,Washington,1150000,11001000702,1150000-11001000702,3364,9.9,6,"(38.92410668820, -77.0778120531)",38.92410668820,-77.0778120531
DC,Washington,1150000,11001000701,1150000-11001000701,4620,7.7,6.6,"(38.92954396030, -77.0766671740)",38.92954396030,-77.0766671740
DC,Washington,1150000,11001003500,1150000-11001003500,3740,12.6,6.9,"(38.92237883350, -77.0243413499)",38.92237883350,-77.0243413499
DC,Washington,1150000,11001009811,1150000-11001009811,4365,17,14.7,"(38.82664976890, -76.9984610365)",38.82664976890,-76.9984610365
DC,Washington,1150000,11001003400,1150000-11001003400,4347,13,6.7,"(38.92149069540, -77.0177203380)",38.92149069540,-77.0177203380
DC,Washington,1150000,11001006802,1150000-11001006802,2084,8.7,6.8,"(38.88317498990, -76.9814681769)",38.88317498990,-76.9814681769
DC,Washington,1150000,11001002002,1150000-11001002002,3813,10.4,10,"(38.95250060880, -77.0310820002)",38.95250060880,-77.0310820002
DC,Washington,1150000,11001006801,1150000-11001006801,1949,9.6,7.5,"(38.88772996990, -76.9801035038)",38.88772996990,-76.9801035038
DC,Washington,1150000,11001001902,1150000-11001001902,1969,9.3,9.7,"(38.96396666310, -77.0156075435)",38.96396666310,-77.0156075435
DC,Washington,1150000,11001006804,1150000-11001006804,3670,18.3,15.1,"(38.88787397780, -76.9712768610)",38.88787397780,-76.9712768610
