StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_TractID,Population2010,ACCESS2_CrudePrev,ACCESS2_Crude95CI,ARTHRITIS_CrudePrev,ARTHRITIS_Crude95CI,BINGE_CrudePrev,BINGE_Crude95CI,BPHIGH_CrudePrev,BPHIGH_Crude95CI,BPMED_CrudePrev,BPMED_Crude95CI,CANCER_CrudePrev,CANCER_Crude95CI,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CHD_CrudePrev,CHD_Crude95CI,CHECKUP_CrudePrev,CHECKUP_Crude95CI,CHOLSCREEN_CrudePrev,CHOLSCREEN_Crude95CI,COLON_SCREEN_CrudePrev,COLON_SCREEN_Crude95CI,COPD_CrudePrev,COPD_Crude95CI,COREM_CrudePrev,COREM_Crude95CI,COREW_CrudePrev,COREW_Crude95CI,CSMOKING_CrudePrev,CSMOKING_Crude95CI,DENTAL_CrudePrev,DENTAL_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,HIGHCHOL_CrudePrev,HIGHCHOL_Crude95CI,KIDNEY_CrudePrev,KIDNEY_Crude95CI,LPA_CrudePrev,LPA_Crude95CI,MAMMOUSE_CrudePrev,MAMMOUSE_Crude95CI,MHLTH_CrudePrev,MHLTH_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI,PAPTEST_CrudePrev,PAPTEST_Crude95CI,PHLTH_CrudePrev,PHLTH_Crude95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,STROKE_CrudePrev,STROKE_Crude95CI,TEETHLOST_CrudePrev,TEETHLOST_Crude95CI,Geolocation
DC,Washington,1150000,11001005900,1150000-11001005900,"2,998",5.3,"( 4.0,  7.5)",9.9,"( 9.3, 10.6)",30.8,"(29.6, 32.0)",16.2,"(15.5, 17.0)",64.6,"(62.7, 66.2)",2.9,"( 2.8,  3.0)",8.8,"( 8.1, 10.0)",2.1,"( 1.9,  2.3)",73.4,"(71.6, 74.9)",74.2,"(70.1, 76.4)",70.4,"(67.0, 72.9)",2.7,"( 2.2,  3.4)",31.7,"(26.8, 36.2)",29.9,"(25.2, 33.7)",12.9,"( 9.9, 17.9)",81.7,"(76.6, 84.7)",4.4,"( 4.1,  4.8)",21.9,"(21.1, 22.9)",1.5,"( 1.4,  1.6)",10.4,"( 8.8, 13.0)",84.2,"(81.6, 86.4)",9.4,"( 8.0, 11.9)",18.2,"(17.1, 19.6)",85.6,"(81.0, 87.9)",5.3,"( 4.6,  6.5)",32.2,"(30.4, 34.5)",1.3,"( 1.2,  1.5)",8.4,"( 5.0, 14.6)","(38.89600496120, -77.0149463959)"
DC,Washington,1150000,11001001301,1150000-11001001301,"3,955",3,"( 2.7,  3.9)",15.1,"(14.5, 15.8)",27.1,"(26.3, 27.9)",20,"(19.3, 20.8)",73.6,"(72.5, 74.7)",5.9,"( 5.6,  6.1)",7.9,"( 7.6,  8.2)",3.2,"( 3.0,  3.5)",77.6,"(76.7, 78.5)",83.3,"(81.7, 84.3)",76.4,"(74.4, 77.9)",2.8,"( 2.6,  3.2)",43.7,"(39.0, 48.1)",36.9,"(32.7, 40.5)",8.1,"( 7.3,  9.8)",88.9,"(87.2, 89.8)",4.7,"( 4.5,  5.0)",29,"(28.3, 29.8)",1.8,"( 1.7,  1.9)",8.6,"( 7.9,  9.6)",81.5,"(78.8, 83.4)",6.9,"( 6.5,  7.6)",15.5,"(14.8, 16.2)",87.6,"(85.6, 88.8)",5,"( 4.7,  5.5)",27.7,"(26.6, 28.8)",1.5,"( 1.4,  1.7)",4.1,"( 3.2,  7.1)","(38.95383569820, -77.0545997657)"
DC,Washington,1150000,11001008803,1150000-11001008803,"2,037",13,"(10.8, 15.8)",15.3,"(14.4, 16.2)",22.7,"(21.5, 24.0)",26.5,"(25.3, 27.6)",67.7,"(66.0, 69.5)",2.6,"( 2.4,  2.7)",12.3,"(11.4, 13.6)",4.2,"( 3.7,  4.7)",74.6,"(72.8, 76.2)",58.5,"(54.9, 62.1)",51.5,"(46.0, 56.6)",6.8,"( 5.9,  7.9)",18.5,"(13.4, 24.6)",18.5,"(14.6, 22.4)",27.6,"(22.9, 31.9)",56.6,"(51.3, 61.8)",9.7,"( 8.9, 10.5)",29,"(27.4, 30.7)",2.8,"( 2.6,  3.0)",24.6,"(21.4, 27.8)",82.3,"(79.1, 85.2)",18,"(15.7, 20.4)",30.5,"(28.8, 32.0)",83.2,"(80.2, 86.0)",12.2,"(10.9, 13.8)",41.5,"(39.2, 43.6)",3.4,"( 3.0,  3.9)",29.5,"(19.6, 40.3)","(38.91042972860, -76.9913365682)"
DC,Washington,1150000,11001007604,1150000-11001007604,"3,644",9,"( 6.9, 11.4)",25.8,"(24.2, 27.6)",17.8,"(17.1, 18.5)",41.1,"(39.5, 42.8)",80.5,"(79.3, 81.7)",5.9,"( 5.6,  6.1)",11.7,"(10.8, 12.8)",6.5,"( 5.8,  7.3)",85,"(84.2, 85.8)",83.1,"(81.1, 84.9)",65.1,"(60.4, 69.3)",7.3,"( 6.1,  8.6)",25.2,"(20.0, 30.6)",24.1,"(19.6, 28.6)",21.2,"(17.7, 25.1)",68.1,"(63.7, 72.2)",14.9,"(13.6, 16.3)",36,"(34.7, 37.4)",3.8,"( 3.5,  4.1)",23.4,"(20.2, 26.8)",82.8,"(79.1, 85.9)",12.1,"(10.6, 13.8)",34,"(32.1, 36.0)",88.1,"(85.8, 90.2)",12.5,"(10.8, 14.4)",43,"(40.9, 45.1)",5,"( 4.3,  5.7)",19.3,"(12.6, 26.9)","(38.86608688260, -76.9637959927)"
DC,Washington,1150000,11001006804,1150000-11001006804,"3,670",21.1,"(17.0, 25.7)",15.7,"(14.5, 16.9)",23.8,"(22.1, 25.6)",39.2,"(36.9, 41.2)",63.3,"(60.7, 65.9)",2.2,"( 2.1,  2.3)",11.6,"(10.4, 13.2)",4.6,"( 4.1,  5.2)",75.3,"(73.3, 77.3)",52.1,"(47.9, 56.3)",42,"(36.1, 47.8)",7.8,"( 6.6,  9.2)",16.4,"(11.6, 22.4)",16.6,"(13.1, 21.1)",38.2,"(32.8, 43.3)",42.3,"(36.5, 48.7)",11.4,"(10.5, 12.4)",34.2,"(32.0, 36.4)",3.1,"( 2.8,  3.4)",31.2,"(27.0, 35.1)",80.7,"(76.4, 84.2)",18.3,"(16.0, 21.1)",39.6,"(37.5, 41.8)",85.8,"(83.9, 87.6)",15.1,"(13.2, 17.3)",49.5,"(46.8, 51.9)",4.1,"( 3.5,  4.7)",36.3,"(24.3, 47.4)","(38.88787397780, -76.9712768610)"
DC,Washington,1150000,11001005600,1150000-11001005600,"6,756",5.5,"( 4.3,  7.5)",14.1,"(13.4, 14.9)",27.3,"(26.0, 28.6)",18.6,"(17.8, 19.5)",70.8,"(69.0, 72.3)",4.5,"( 4.3,  4.7)",8.9,"( 8.3,  9.9)",3.9,"( 3.5,  4.3)",74.3,"(72.7, 75.9)",70.7,"(66.9, 73.3)",69.9,"(67.4, 72.2)",4,"( 3.4,  4.7)",36.3,"(31.5, 41.2)",29.5,"(26.0, 33.2)",13.3,"(10.4, 17.2)",80.1,"(75.7, 82.9)",5.4,"( 5.0,  5.7)",27,"(26.0, 28.3)",2,"( 1.9,  2.2)",12.7,"(11.0, 15.1)",78.5,"(75.6, 81.0)",10.4,"( 9.0, 12.6)",16.6,"(15.4, 17.9)",82.1,"(77.4, 84.9)",6.6,"( 5.9,  7.6)",30.5,"(28.4, 32.8)",1.9,"( 1.7,  2.2)",9.9,"( 6.4, 15.4)","(38.90020798930, -77.0538622585)"
DC,Washington,1150000,11001007407,1150000-11001007407,"2,587",11.3,"( 8.9, 13.9)",22.3,"(20.9, 23.8)",18.8,"(17.8, 19.7)",39.3,"(37.6, 40.9)",76.1,"(74.7, 77.4)",4.4,"( 4.2,  4.6)",12.6,"(11.6, 13.7)",5.3,"( 4.8,  5.9)",83,"(81.9, 84.1)",75,"(72.2, 77.6)",60.3,"(55.7, 64.8)",7.2,"( 6.2,  8.4)",22.5,"(17.7, 28.2)",21.8,"(17.5, 26.3)",25.8,"(21.7, 29.7)",62,"(57.4, 66.8)",13.2,"(12.1, 14.3)",34.3,"(32.8, 35.9)",3.5,"( 3.2,  3.7)",25.5,"(22.1, 28.8)",82.7,"(79.3, 85.8)",14.5,"(12.7, 16.2)",36,"(34.0, 37.9)",87.9,"(85.7, 89.9)",13,"(11.4, 14.6)",45.8,"(43.6, 48.0)",4.5,"( 4.0,  5.1)",24.4,"(16.4, 33.2)","(38.85746698500, -76.9850581951)"
DC,Washington,1150000,11001000201,1150000-11001000201,"3,916",10.6,"( 8.6, 13.2)",4.8,"( 4.3,  5.4)",28.3,"(25.7, 31.0)",9.1,"( 8.1, 10.2)",25.5,"(23.2, 27.8)",0.9,"( 0.8,  0.9)",11.7,"(10.7, 12.8)",1.2,"( 1.1,  1.3)",68.3,"(64.7, 71.6)",39.4,"(34.8, 43.4)",58.6,"(54.8, 61.9)",3.9,"( 3.2,  4.4)",26.8,"(22.6, 31.3)",21.3,"(17.8, 25.6)",22.1,"(17.7, 26.0)",64.3,"(58.4, 69.6)",1.7,"( 1.6,  1.9)",13.2,"(12.1, 14.5)",1.1,"( 1.0,  1.2)",17.3,"(14.4, 20.9)",77.1,"(73.9, 80.2)",19.2,"(17.1, 21.0)",16.8,"(14.7, 18.9)",70.7,"(65.9, 75.1)",7,"( 6.0,  7.8)",34.9,"(31.7, 38.1)",0.7,"( 0.6,  0.7)",26.9,"(22.2, 32.4)","(38.90933854630, -77.0748289955)"
DC,Washington,1150000,11001000902,1150000-11001000902,"2,092",2.9,"( 2.4,  3.6)",20.7,"(19.6, 21.9)",24.1,"(23.3, 24.8)",25.2,"(24.1, 26.5)",76.6,"(75.3, 77.7)",7.6,"( 7.3,  8.0)",8,"( 7.7,  8.5)",4.6,"( 4.2,  5.1)",80.1,"(79.1, 80.9)",89.7,"(88.7, 90.5)",74.8,"(71.8, 77.1)",4.1,"( 3.5,  5.0)",41.8,"(36.3, 46.4)",37.7,"(33.5, 41.9)",9.8,"( 7.9, 12.2)",88.5,"(86.5, 89.9)",6.5,"( 6.0,  7.0)",35.4,"(34.4, 36.6)",2.2,"( 2.1,  2.4)",10.3,"( 9.0, 11.9)",80.5,"(77.4, 83.0)",7.2,"( 6.5,  8.2)",18.3,"(17.2, 19.5)",88.5,"(86.4, 89.8)",6.7,"( 6.0,  7.8)",28.1,"(26.7, 29.6)",2,"( 1.8,  2.3)",4.7,"( 3.2,  7.8)","(38.92799599100, -77.1075153424)"
DC,Washington,1150000,11001010700,1150000-11001010700,"1,838",4.4,"( 3.8,  5.5)",9.6,"( 9.3, 10.0)",31.2,"(30.2, 32.1)",13.6,"(13.2, 14.2)",60.4,"(58.8, 61.8)",3.1,"( 3.0,  3.2)",8.4,"( 8.1,  9.0)",2.2,"( 2.0,  2.3)",72,"(70.7, 73.2)",71,"(68.2, 72.9)",71.3,"(69.3, 72.9)",2.6,"( 2.4,  3.0)",38.8,"(34.5, 42.5)",33,"(30.0, 35.7)",11.4,"( 9.7, 14.1)",83.4,"(80.9, 85.0)",3.4,"( 3.2,  3.5)",22.1,"(21.4, 22.9)",1.4,"( 1.3,  1.4)",9.3,"( 8.4, 10.5)",81.6,"(79.7, 83.1)",9.3,"( 8.5, 10.5)",15.6,"(14.8, 16.5)",84.8,"(82.5, 86.4)",4.9,"( 4.5,  5.5)",29.7,"(28.3, 31.1)",1.1,"( 1.0,  1.2)",6.2,"( 4.6,  9.1)","(38.90399891560, -77.0419808973)"
